year,seraient_VERB au_ADP
1800,1.7921738049153646e-07
1801,1.4048977448055666e-07
1802,2.0588129245879827e-07
1803,1.8138155155611457e-07
1804,2.2493843232496147e-07
1805,1.6772978028711805e-07
1806,2.247701900159882e-07
1807,2.761546511464985e-07
1808,1.7222161829977267e-07
1809,2.3268013649158092e-07
1810,2.433731935980177e-07
1811,3.0335630185618356e-07
1812,2.4004873466765275e-07
1813,1.8404746526812232e-07
1814,2.2970742463712668e-07
1815,2.022917726662854e-07
1816,1.715026911597306e-07
1817,2.506566261217813e-07
1818,2.384235529007128e-07
1819,2.8154855158391e-07
1820,2.9428872494463576e-07
1821,2.7316323780723906e-07
1822,3.2081970857689157e-07
1823,2.2433698632084997e-07
1824,3.680026168240147e-07
1825,3.707091593696532e-07
1826,2.2372280739091366e-07
1827,4.147772756368795e-07
1828,3.457957689079194e-07
1829,4.1236975789615826e-07
1830,2.3795985271135578e-07
1831,2.759643393801525e-07
1832,3.5177919244233635e-07
1833,3.567757573819108e-07
1834,4.993974016542779e-07
1835,2.987419804867386e-07
1836,3.0982658927314333e-07
1837,3.3537034482833405e-07
1838,2.840472745901934e-07
1839,3.719464700679964e-07
1840,2.955535478577076e-07
1841,3.428573052133288e-07
1842,3.4614646438058116e-07
1843,3.1956389534570917e-07
1844,3.885901378453127e-07
1845,3.722012138496211e-07
1846,3.7058993029859266e-07
1847,3.5757074101638864e-07
1848,3.346812320614845e-07
1849,4.751128130919824e-07
1850,2.912479430960957e-07
1851,3.0505844961226103e-07
1852,3.040424587652524e-07
1853,3.1651239851271384e-07
1854,2.7069413022218214e-07
1855,2.9028944936726475e-07
1856,2.95617496703926e-07
1857,3.01677260949873e-07
1858,2.6474788228370016e-07
1859,2.642837841904111e-07
1860,3.355075932631735e-07
1861,3.060660560549877e-07
1862,2.6610939585225424e-07
1863,2.7070845476373506e-07
1864,2.838478962985391e-07
1865,3.021794157120894e-07
1866,2.7782650136032316e-07
1867,3.115505080586445e-07
1868,3.1466998962059733e-07
1869,2.158515428618557e-07
1870,2.9186307415329793e-07
1871,3.260701362250984e-07
1872,2.4794090336399677e-07
1873,2.813422099734453e-07
1874,2.8618379133149574e-07
1875,3.0209662327251863e-07
1876,3.180203691499628e-07
1877,2.2698274904087157e-07
1878,2.9229190090518387e-07
1879,3.1096465136215556e-07
1880,2.97146272032478e-07
1881,3.102765901985549e-07
1882,3.3143817290692823e-07
1883,2.9574505333584966e-07
1884,2.8915431471432385e-07
1885,2.8683078312496946e-07
1886,3.110569650743855e-07
1887,3.0881813017913373e-07
1888,2.675739381174935e-07
1889,2.9007583179918583e-07
1890,2.733179087499593e-07
1891,2.218228587480553e-07
1892,2.9462009365488484e-07
1893,3.011465707913885e-07
1894,3.043643346245517e-07
1895,2.864860562112881e-07
1896,2.9721024930040585e-07
1897,3.0124110139695404e-07
1898,2.772594029920583e-07
1899,2.592434213966044e-07
1900,2.4242217477876693e-07
1901,2.716127198709728e-07
1902,2.7890411047337693e-07
1903,2.889117922677542e-07
1904,2.8754243430739734e-07
1905,2.812613786318252e-07
1906,2.5309387297056674e-07
1907,2.705135671021708e-07
1908,2.8977194688195596e-07
1909,2.596464128146181e-07
1910,2.3086731459898147e-07
1911,2.8517206374090165e-07
1912,2.6099201022589114e-07
1913,2.492405144494114e-07
1914,2.1563515417710732e-07
1915,2.5799869263209985e-07
1916,2.702915651298099e-07
1917,2.1932848426331475e-07
1918,2.366193569969255e-07
1919,2.670276160188223e-07
1920,2.498836408904026e-07
1921,2.877644078580488e-07
1922,2.810993464663625e-07
1923,2.1231896596418665e-07
1924,2.4751918203946843e-07
1925,2.5075846110667044e-07
1926,2.1289125129442255e-07
1927,2.341337221878348e-07
1928,2.2052259396332374e-07
1929,2.261502487499456e-07
1930,2.0902170660974662e-07
1931,2.40653037053562e-07
1932,2.0713524406801298e-07
1933,1.8926593270407466e-07
1934,1.9889422731012019e-07
1935,1.8909888410689746e-07
1936,2.400693404069898e-07
1937,1.8760765385650302e-07
1938,2.3078081312633003e-07
1939,2.0494027808126702e-07
1940,1.6736167651743017e-07
1941,2.538292278586596e-07
1942,1.9115533689273434e-07
1943,1.945167582562135e-07
1944,2.634812688029342e-07
1945,1.8517283706387389e-07
1946,1.8375857280261698e-07
1947,2.0980732529096713e-07
1948,2.337455953238532e-07
1949,2.1008398221056268e-07
1950,2.0313540005645336e-07
1951,2.2388944387330412e-07
1952,1.8137062340883858e-07
1953,2.133217833488743e-07
1954,2.0326875471710082e-07
1955,2.046062519411862e-07
1956,1.761670631594825e-07
1957,1.8818630564965133e-07
1958,2.2417779632633028e-07
1959,1.968689957720926e-07
1960,1.9516750171533204e-07
1961,2.0497070352121227e-07
1962,1.8074575791615644e-07
1963,1.9721461796962103e-07
1964,2.16589270962686e-07
1965,1.9206872536869923e-07
1966,1.938676206236778e-07
1967,2.0362286079489422e-07
1968,1.8639376264673047e-07
1969,2.39804819557321e-07
1970,2.0740249340178707e-07
1971,2.1735421285029588e-07
1972,1.877633764024722e-07
1973,2.100530593907024e-07
1974,1.8733153694938665e-07
1975,1.9476146917440929e-07
1976,2.079723770975761e-07
1977,1.7924185158335604e-07
1978,1.8059397177694336e-07
1979,2.1418222218017036e-07
1980,2.0352840124360227e-07
1981,1.8850137450954207e-07
1982,1.942948273381262e-07
1983,1.9766939374221693e-07
1984,2.4007894694477727e-07
