year,pouvaient_VERB armer_VERB,pouvaient_VERB charmer_VERB
1800,5.973912209356058e-08,3.144164484325529e-09
1801,4.286128785224719e-08,4.7623651688866175e-09
1802,0.0,6.713520406265161e-09
1803,5.851017448321727e-09,0.0
1804,5.9324420931261557e-08,4.943701892301533e-09
1805,0.0,1.1371510844071508e-08
1806,2.881669125542885e-09,2.881669125542885e-09
1807,4.27043254092041e-08,0.0
1808,9.064295980465431e-09,0.0
1809,9.036122072814123e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,2.9339290108509886e-08,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,2.490997452753163e-08,1.556873407970727e-09
1818,0.0,0.0
1819,2.5877625375869684e-08,0.0
1820,1.0679833017945839e-08,0.0
1821,7.88919063410276e-09,2.9584463767662328e-09
1822,4.0102463572111446e-08,1.7043547018147365e-08
1823,5.929612356680991e-09,9.882686891060644e-10
1824,8.421112696055388e-10,0.0
1825,0.0,8.805443041381977e-10
1826,1.7615968683770689e-09,3.5231937367541377e-09
1827,2.949527377893446e-08,0.0
1828,4.586150570418113e-09,0.0
1829,1.0287811491593857e-08,3.429270423183084e-09
1830,2.0873671680021744e-09,4.174734336004349e-09
1831,2.182768810143898e-08,0.0
1832,0.0,0.0
1833,5.791814139399776e-09,3.4750886612755494e-09
1834,9.334531370086552e-09,6.534171426153534e-09
1835,7.563087933704082e-09,1.5882484660778573e-08
1836,2.688300027031687e-09,0.0
1837,8.349468672008697e-09,1.3915781860163179e-09
1838,2.1461350030449466e-08,3.1560809521380406e-09
1839,1.0487212875887053e-08,6.9914751765765e-10
1840,1.52872523528913e-08,3.821813088222825e-09
1841,1.2841097074556274e-08,5.1364388298225094e-09
1842,2.2137275124123335e-08,6.708265054555795e-09
1843,5.31621990873532e-09,2.953455480181333e-09
1844,1.2074834465636286e-08,1.097712254427563e-09
1845,2.0088821273134272e-08,9.48638767539478e-09
1846,7.610851504580296e-09,5.269050973311096e-09
1847,2.2651539310913904e-08,4.314578916364553e-09
1848,4.82713291560799e-09,1.126331028444838e-08
1849,5.02764896381791e-09,1.005529792763582e-08
1850,6.1100964288129944e-09,1.3577992064028876e-09
1851,1.096404567135778e-08,8.384270167027807e-09
1852,7.812654523320361e-09,1.3021090872200602e-09
1853,1.4332636411040767e-08,6.569124799682413e-09
1854,8.313063126763609e-09,1.558699391779328e-09
1855,7.960405667972736e-09,4.776243400783642e-09
1856,1.6049286344355096e-08,3.1063134287023786e-09
1857,1.513267733344037e-08,3.4170564155999728e-09
1858,1.2234189661342043e-08,9.787352039936081e-10
1859,1.323965115318515e-08,4.582956236731661e-09
1860,1.0985241161165504e-08,4.577183909670879e-10
1861,1.226150558863992e-08,4.715963730639317e-10
1862,4.9697850279528666e-09,9.035972525772706e-10
1863,8.490855130105501e-09,7.491931519609807e-09
1864,3.835782358407869e-09,7.671564716815737e-09
1865,2.4946274379544775e-08,1.882737743486018e-09
1866,3.113992264047738e-08,9.731225825149181e-10
1867,1.1161466417775046e-08,3.88224918879132e-09
1868,5.9278488784286765e-09,9.87974813071446e-10
1869,7.325278605918584e-09,9.278686263769487e-09
1870,3.4404292748035914e-09,4.587239033071455e-09
1871,0.0,1.0621177271019633e-09
1872,6.652073114565837e-09,1.2094678591978436e-09
1873,6.584604861359367e-09,5.986004469882289e-10
1874,5.377148060148329e-09,1.0156835372754358e-08
1875,8.58229043387837e-09,4.577221712764867e-09
1876,4.836811839936672e-09,6.04601479992084e-10
1877,1.2369632429454214e-08,1.2369631985365004e-09
1878,2.4156354694326865e-09,4.831270938865373e-09
1879,2.443730107160036e-09,6.10932526790009e-10
