year,tant_ADV eu_VERB
1800,5.973912209356058e-08
1801,9.762848662830947e-08
1802,3.3567602031325805e-08
1803,7.606323038089613e-08
1804,9.145848167690929e-08
1805,1.0802935435094696e-07
1806,9.797675204481493e-08
1807,1.537355700520493e-07
1808,7.024829073998262e-08
1809,6.777091243748146e-08
1810,9.828532654410083e-08
1811,6.016983888912364e-08
1812,4.000812481308458e-08
1813,1.7254450312975678e-07
1814,3.1466772298927026e-08
1815,5.1247248222807684e-08
1816,8.343373991692715e-08
1817,8.874178547557676e-08
1818,6.914282835168706e-08
1819,8.384350280721264e-08
1820,1.2459804565878585e-07
1821,1.0255947557880063e-07
1822,8.321261191213125e-08
1823,8.499110748516614e-08
1824,1.3894836570216285e-07
1825,1.0478477463493618e-07
1826,9.336463335785083e-08
1827,7.92685455053288e-08
1828,1.0181254594954225e-07
1829,1.2602568233432976e-07
1830,4.174734158368665e-08
1831,5.3010101197514814e-08
1832,1.1500473817704915e-07
1833,5.3284690437749305e-08
1834,8.214387037241977e-08
1835,6.277362984974388e-08
1836,1.2702217588866915e-07
1837,8.071153700939249e-08
1838,9.531364497661343e-08
1839,9.29866175169991e-08
1840,5.286841542329057e-08
1841,5.072233477676491e-08
1842,6.641182181965632e-08
1843,5.316219997553162e-08
1844,6.586273570974299e-08
1845,6.138250796539069e-08
1846,1.0245377524142896e-07
1847,6.094342808182773e-08
1848,5.229394162142853e-08
1849,6.619738002200393e-08
1850,8.825694663983086e-08
1851,5.482023013314574e-08
1852,6.901178295493082e-08
1853,6.449686651421871e-08
1854,7.741540031247496e-08
1855,7.323573214534917e-08
1856,9.111852961041222e-08
1857,1.2301403273795586e-07
1858,8.514996352460003e-08
1859,6.110607841947058e-08
1860,7.598125506547149e-08
1861,8.630213699234446e-08
1862,5.963742211179124e-08
1863,5.6439215967429845e-08
1864,6.472883029573495e-08
1865,6.777855787731824e-08
1866,8.174230003987759e-08
1867,5.046923945428716e-08
1868,6.026646559575966e-08
1869,5.567211758261692e-08
1870,4.4152177025580386e-08
1871,5.2043770182308435e-08
1872,3.930770375859538e-08
1873,5.6268440573603584e-08
1874,4.600449088343339e-08
1875,4.63443683429432e-08
1876,4.836811839936672e-08
1877,4.7004601100297805e-08
1878,3.0799352401800206e-08
1879,6.659164597522249e-08
1880,5.455169471701993e-08
1881,4.741305303923582e-08
1882,4.9249848643739824e-08
1883,4.3603439081607576e-08
1884,4.8192386969958534e-08
1885,5.0920522909336796e-08
1886,5.549978965291302e-08
1887,4.6355363991779086e-08
1888,5.389522428345117e-08
1889,4.322944491264025e-08
1890,4.3258950199742685e-08
1891,4.52569608455633e-08
1892,5.2655504845233736e-08
1893,4.187723234849727e-08
1894,5.608369946230596e-08
1895,4.634333095054899e-08
1896,4.776593343081004e-08
1897,4.836172351474488e-08
1898,4.866185321361627e-08
1899,4.753717419703207e-08
1900,3.114631752509922e-08
1901,4.191554126009578e-08
1902,3.780918689244572e-08
1903,4.050165358648883e-08
1904,2.6335662539622717e-08
1905,3.612531429553201e-08
1906,5.452835694086389e-08
1907,4.6285588695127444e-08
1908,4.174680867663483e-08
1909,5.721022944271681e-08
1910,3.954671612405036e-08
1911,3.8838731342139e-08
1912,3.334029585744247e-08
1913,3.8711824856818566e-08
1914,2.678697441638178e-08
1915,4.7123048574349014e-08
1916,3.625862632361532e-08
1917,4.8252267959014716e-08
1918,5.743188324913717e-08
1919,2.8544329566670967e-08
1920,3.180337415642498e-08
1921,3.4077363153528495e-08
1922,3.39385017866789e-08
1923,6.051090650771584e-08
1924,5.9301473953610184e-08
1925,6.818870446068104e-08
1926,4.904300965336006e-08
1927,5.351628118432927e-08
1928,4.6846768242403414e-08
1929,5.124586976990031e-08
1930,3.571225093423891e-08
1931,3.079446386777818e-08
1932,4.822195975862087e-08
1933,3.326492148403304e-08
1934,2.6359476379411717e-08
1935,3.590485420090772e-08
1936,3.15242587589637e-08
1937,2.7700460591972842e-08
1938,4.019216603978748e-08
1939,3.058810094103137e-08
1940,3.550096039361961e-08
1941,6.788455664263893e-08
1942,7.58552971547033e-08
1943,4.645176332473966e-08
1944,4.4984606262232774e-08
1945,6.099811145077183e-08
1946,3.201854070766785e-08
1947,3.5762614203349585e-08
1948,3.370285384107774e-08
1949,2.1597418964347526e-08
1950,3.403315673722318e-08
1951,3.5182626589858046e-08
1952,2.6362009464264702e-08
1953,4.417269394707546e-08
1954,3.518113089739927e-08
1955,2.1586897602787758e-08
1956,2.9651880950609666e-08
1957,2.47381048978923e-08
1958,2.4816730004317833e-08
1959,2.5577467255288866e-08
1960,3.391208380776334e-08
1961,3.543561177821175e-08
1962,2.663621678777872e-08
1963,2.133797494252576e-08
1964,3.224503331011874e-08
1965,3.0643441562006046e-08
1966,3.323444985880997e-08
1967,3.3526280418527676e-08
1968,2.784677910483424e-08
1969,3.088395317263348e-08
1970,3.4030566808951335e-08
1971,3.0316545718278576e-08
1972,3.283293992240033e-08
1973,4.465695013777804e-08
1974,2.5877628928583363e-08
1975,2.1703623787061588e-08
1976,2.856763359204706e-08
1977,1.9981058585472056e-08
1978,2.1386128423728223e-08
1979,3.5697038214266286e-08
1980,3.240536017301565e-08
1981,3.0362638625547334e-08
1982,2.9175261317959666e-08
1983,2.2103606056589342e-08
1984,2.3775934110403796e-08
1985,3.549179083961462e-08
1986,1.7384007122700496e-08
1987,2.4443266966045485e-08
1988,2.5185526553173077e-08
1989,2.798942233539492e-08
1990,2.45189291092629e-08
1991,2.4032006606944378e-08
1992,2.5345743281945943e-08
1993,2.2710750613441633e-08
1994,2.8484603120659813e-08
1995,2.0063067651676647e-08
1996,1.7081895009596337e-08
1997,1.8220598363427598e-08
1998,2.43174582692518e-08
1999,2.6050146928469076e-08
2000,2.385736941334926e-08
2001,3.5487815353008045e-08
2002,2.541108479192644e-08
2003,2.541822929913451e-08
2004,2.114299846311951e-08
2005,2.2068373795036678e-08
2006,3.211954080484247e-08
2007,2.5165221018141892e-08
2008,2.8950589481269162e-08
2009,3.147006921722095e-08
2010,2.220182793166714e-08
2011,2.4855816960211996e-08
2012,3.3702100665777834e-08
2013,2.7612337305527035e-08
2014,3.594638897652658e-08
2015,3.3913604369217865e-08
2016,3.728412067971476e-08
2017,2.440143020976393e-08
2018,2.5556520455438658e-08
2019,3.7244422657067844e-08
