year,eut_VERB assez_ADV,eut_VERB chassé_VERB
1800,6.571303856617305e-07,8.803660733747165e-08
1801,5.905332614020153e-07,1.1905913055443307e-07
1802,7.116331630641071e-07,1.4545960880241182e-07
1803,7.879370400587504e-07,1.0336798084153997e-07
1804,7.934641530482622e-07,3.9549615138412264e-08
1805,8.130630249070236e-07,9.381496113292087e-08
1806,5.965055152046261e-07,6.916005901302924e-08
1807,6.491057433777314e-07,7.117387923472052e-08
1808,8.611081057097181e-07,1.0877155176558517e-07
1809,8.019558208616218e-07,9.93973401364201e-08
1810,9.945538295141887e-07,8.658469141664682e-08
1811,1.0680147397579276e-06,1.7549537290051376e-07
1812,7.121445833035978e-07,3.7340914360584065e-08
1813,8.771012289798819e-07,4.888760685162197e-08
1814,7.552025067525392e-07,7.866692897096073e-08
1815,4.855002657677687e-07,1.348611817775236e-07
1816,7.184572154983471e-07,4.1716869958463576e-08
1817,7.426286288136907e-07,8.251429051142622e-08
1818,8.16600675079826e-07,1.0133000927226021e-07
1819,1.0268241794619826e-06,1.0454560595007933e-07
1820,9.303321348852478e-07,8.187871713971617e-08
1821,8.441434147243854e-07,5.818278125957477e-08
1822,7.880133807702805e-07,1.2933044502005941e-07
1823,8.093920769169927e-07,1.0673301886754416e-07
1824,8.008478289411869e-07,1.0947446327236321e-07
1825,1.1367826573405182e-06,1.4528980329941987e-07
1826,5.945389602857176e-07,1.0129181760021311e-07
1827,8.461456673103385e-07,4.977327350275118e-08
1828,7.291979500223533e-07,6.695779575238703e-08
1829,6.584199354620068e-07,9.944884027390799e-08
1830,7.61888998113136e-07,7.723258477199124e-08
1831,6.23648247710662e-07,6.860130952190957e-08
1832,5.655527388626069e-07,5.682587200794842e-08
1833,5.455888754113403e-07,6.950177322551099e-08
1834,7.8876786346882e-07,6.534171603789218e-08
1835,7.010982585597958e-07,1.3008511245971022e-07
1836,7.708700309194683e-07,7.930485423912614e-08
1837,7.584101240354357e-07,1.2037151009280933e-07
1838,8.060630989348283e-07,9.783850885014544e-08
1839,7.019440886324446e-07,9.718150550952487e-08
1840,6.42064605926862e-07,9.044958204640352e-08
1841,5.232747071204358e-07,6.22793194793303e-08
1842,5.748983085140935e-07,7.982835370512475e-08
1843,5.836027980876679e-07,5.2571508035725856e-08
1844,6.536876639984257e-07,6.092302839988406e-08
1845,5.2454140586633e-07,5.412821124650691e-08
1846,5.754974949923053e-07,5.561776106333127e-08
1847,5.857040719092765e-07,6.310071398729633e-08
1848,5.639700475512655e-07,9.49336182998195e-08
1849,2.765206943422527e-07,6.200767188602185e-08
1850,4.650462415156653e-07,6.177986477950981e-08
1851,4.985416239833285e-07,9.41618054639548e-08
1852,4.1016437535290606e-07,6.445439737490233e-08
1853,5.90624040341936e-07,6.151089593231518e-08
1854,5.226838197813777e-07,8.468933287986147e-08
1855,5.397155291575473e-07,6.792879503336735e-08
1856,4.897621010968578e-07,8.024642994541864e-08
1857,6.131175496193464e-07,9.030792114117503e-08
1858,5.970284746581456e-07,7.29157747514364e-08
1859,5.468994004331762e-07,6.416138376152958e-08
1860,4.833506181967095e-07,5.2637613379147297e-08
1861,4.7678392434136185e-07,6.602348889828136e-08
1862,5.362849719858787e-07,4.834245359575107e-08
1863,5.389196076066582e-07,6.343168479361339e-08
