year,ait_VERB armé_VERB,ait_VERB charmé_VERB
1800,9.432493897065797e-09,1.2576657937302116e-08
1801,2.3811825844433088e-09,2.1430643926123594e-08
1802,2.2378401354217203e-08,4.475680270843441e-09
1803,2.7304748684287006e-08,0.0
1804,1.4831105232815389e-08,2.4718509905596875e-08
1805,2.2743021688143017e-08,2.842877711017877e-09
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,1.9928686256776018e-08
1808,3.172503681980743e-08,1.8128591960930862e-08
1809,3.162642769893864e-08,2.4849335034105025e-08
1810,2.3401267590372754e-09,4.680253518074551e-09
1811,5.0141537144554604e-08,0.0
1812,0.0,5.3344164641089264e-09
1813,3.163315831500313e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,3.7081662185300956e-08,0.0
1817,2.6466848268569265e-08,4.670620334934483e-09
1818,7.510341459848746e-08,8.344824387052086e-09
1819,4.45095160728215e-08,1.035105001712111e-09
1820,4.2719332071783356e-08,0.0
1821,1.4792232216898071e-08,1.97229765852569e-09
1822,2.90742860897808e-08,8.02049271442229e-09
1823,2.569498569471307e-08,3.9530747564242574e-09
1824,4.7158231986088595e-08,1.7684335773537896e-08
1825,1.0566531427613768e-08,1.3208164340028361e-08
1826,3.3470339388941284e-08,8.807984341885344e-10
1827,9.217273055917019e-10,1.8434546111834038e-09
1828,1.9261833017480967e-08,9.172301251858528e-10
1829,5.143905745796928e-09,8.57317605795771e-10
1830,3.5485243188304594e-08,1.2524203008013046e-08
1831,9.354723218280014e-09,0.0
1832,1.8941957335982806e-08,1.0823975493678972e-08
1833,9.266902800675325e-09,3.4750886612755494e-09
1834,2.8937046536725575e-08,5.600718555598405e-09
1835,9.075705520444899e-09,0.0
1836,7.392825018825988e-09,0.0
1837,8.349468672008697e-09,2.7831563720326358e-09
1838,5.680945491803868e-09,6.312161904276081e-09
1839,2.027527834513876e-08,9.788065469251706e-09
1840,4.458782232319436e-09,7.64362617644565e-09
1841,6.420548537278137e-09,1.926164561183441e-09
1842,2.683306021822318e-09,6.708265054555795e-10
1843,5.31621990873532e-09,1.7720733769266417e-09
1844,3.841992946007622e-09,4.390849017710252e-09
1845,5.580227835366713e-09,3.348136878855712e-09
1846,2.3418005312692003e-09,5.269050973311096e-09
1847,4.314578916364553e-09,4.853901280910122e-09
1848,8.84974404868899e-09,2.413566457803995e-09
1849,1.1731181359664333e-08,5.02764896381791e-09
1850,1.1541293254424545e-08,8.82569484161877e-09
1851,9.029214709244116e-09,6.449438760824933e-10
1852,1.7578472011337e-08,2.6042181744401205e-09
1853,5.3747388761848924e-09,1.1943863675867306e-09
1854,4.1565315633818045e-09,1.0391328908454511e-09
1855,1.8043586180738203e-08,3.1841622671890946e-09
1856,1.1907535402144731e-08,2.5885946719483854e-09
1857,1.7085282522089074e-08,4.393358121745905e-09
1858,1.9574704079872163e-09,7.829881631948865e-09
1859,9.675129142294736e-09,4.073738679721828e-09
1860,1.5562426014525954e-08,6.408057640072684e-09
1861,1.226150558863992e-08,3.772770984511453e-09
1862,1.1746764450037972e-08,1.581295272501393e-08
1863,8.490855130105501e-09,9.989241434027463e-09
1864,4.315255264231155e-09,1.102787461348953e-08
1865,3.294791106611683e-09,0.0
1866,1.6056523222118813e-08,5.352174259343201e-09
1867,1.649955905236311e-08,3.396968040192405e-09
1868,1.2349684830326169e-08,4.44588676984381e-09
1869,1.8557372527538973e-08,1.953407657850903e-09
1870,1.204150201772336e-08,2.2936195165357276e-09
1871,0.0,1.0621177271019633e-09
1872,9.675742873582749e-09,4.8378714367913744e-09
1873,2.3944017879529156e-09,2.9930022904522957e-09
1874,5.974609251779839e-09,2.3898436563030145e-09
1875,9.154443425529735e-09,4.577221712764867e-09
1876,7.255217759905008e-09,7.859819461941697e-09
1877,2.4739263970730008e-09,8.658742167710898e-09
1878,1.8117265465633636e-09,3.6234530931267273e-09
1879,3.665595160740054e-09,7.331190321480108e-09
1880,7.059631101924424e-09,5.134277003548959e-09
1881,3.4862537301449947e-09,7.669758161910067e-09
1882,3.9932310791357395e-09,6.655385131892899e-10
1883,1.2638677882037541e-09,5.687405213450347e-09
