year,tout_DET chantier_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,4.210556348027694e-09
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,1.1583628500844156e-09
1834,1.8669061851994684e-09
1835,0.0
1836,0.0
1837,4.174734336004349e-09
1838,6.312161904276081e-10
1839,0.0
1840,1.9109065441114126e-09
1841,0.0
1842,1.341653010911159e-09
1843,0.0
1844,0.0
1845,5.580227946389016e-10
1846,5.854501328173001e-09
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,1.2898877521649865e-09
1852,0.0
1853,5.971931837933653e-10
1854,0.0
1855,1.0613874223963649e-09
1856,2.5885946719483854e-09
1857,9.763018171682347e-10
1858,3.9149408159744326e-09
1859,0.0
1860,4.577183909670879e-10
1861,1.8863854922557266e-09
1862,0.0
1863,0.0
1864,4.794727948009836e-10
1865,7.530950973944073e-09
1866,4.865612912574591e-10
1867,1.455843445796745e-09
1868,9.87974813071446e-10
1869,4.883519144627257e-10
1870,5.734048791339319e-10
1871,4.248470908407853e-09
1872,4.8378714367913744e-09
1873,5.387403856360606e-09
1874,0.0
1875,5.721527140956084e-10
1876,0.0
1877,0.0
1878,1.0870359723469392e-08
1879,7.331190321480108e-09
1880,6.417846254436199e-10
1881,3.8348792585907177e-08
1882,1.3310770263785798e-09
1883,1.8958017378167824e-09
1884,2.2445769687351458e-08
1885,2.578254332252783e-09
1886,6.4534639854230136e-09
1887,8.487601954598745e-09
1888,1.0144983741966485e-08
1889,8.144677543509005e-09
1890,6.554386478008212e-10
1891,5.099376032546843e-09
1892,5.014809900671935e-09
1893,6.774258043407144e-09
1894,1.8904617871129403e-09
1895,2.1065151400989635e-08
1896,1.2383761072154442e-08
1897,8.157399200570126e-09
1898,3.960848538042683e-09
1899,1.3818945987509323e-08
1900,6.22926377147337e-09
1901,6.147612641171918e-09
1902,1.0802624572647801e-08
1903,2.1600881083827517e-09
1904,1.5586413049106795e-08
1905,1.5998352531632065e-08
1906,5.658602919567102e-09
1907,1.131425531042396e-08
1908,2.7503778810000767e-08
1909,1.5952851484257735e-08
1910,2.992724434935923e-08
1911,5.213966502992662e-08
1912,2.7609931674277277e-08
1913,5.1438998838193584e-08
1914,2.6117301210604182e-08
1915,1.4136914527895783e-08
1916,3.5159878564172686e-08
1917,3.3995916304263574e-08
1918,1.4932289182922887e-08
1919,1.4732557396257562e-08
1920,2.0445024784265797e-08
1921,1.3630945483456003e-08
1922,2.4347187377316004e-08
1923,1.9108707061121777e-08
1924,4.640984752057875e-08
1925,1.0998177923937646e-08
