year,voulant_VERB armer_VERB,voulant_VERB charmer_VERB
1800,0.0,0.0
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,1.5664880947952042e-08,6.713520406265161e-09
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,9.064295980465431e-09,0.0
1809,0.0,0.0
1810,1.1700633351097167e-08,1.4040760554223652e-08
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,1.7254450312975678e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,1.401186100480345e-08
1818,2.384235475716423e-09,3.5763532135746345e-09
1819,1.035105001712111e-09,1.3456364911235141e-08
1820,2.3732962262101864e-09,8.306536791735653e-09
1821,3.94459531705138e-09,1.97229765852569e-09
1822,1.7043547018147365e-08,2.0051231786055723e-09
1823,6.917880934764753e-09,6.917880934764753e-09
1824,0.0,2.5263338088166165e-09
1825,0.0,0.0
1826,0.0,8.807984341885344e-10
1827,7.373818444733615e-09,4.608636583469661e-09
1828,1.2841221419535032e-08,0.0
1829,8.57317605795771e-10,1.714635211591542e-09
1830,4.174734336004349e-09,8.349468672008697e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,1.3529969367098715e-09
1833,4.6334514003376626e-09,0.0
1834,8.401077611353003e-09,0.0
1835,5.294161553592858e-09,0.0
1836,2.688300027031687e-09,1.0081125045857675e-08
1837,8.349468672008697e-09,2.087367279024477e-09
1838,0.0,1.2624323808552163e-09
1839,3.2859933440931854e-08,0.0
1840,9.554533331179726e-09,1.2739377330817092e-09
1841,3.2102742686390684e-09,0.0
1842,0.0,0.0
1843,2.953455480181333e-09,1.1813822142769936e-09
1844,0.0,5.488561272137815e-10
1845,3.9061593959388574e-09,5.580228057411318e-09
1846,4.6836010625384006e-09,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,6.788996032014438e-10
1851,3.8696632564949596e-09,2.579775504329973e-09
1852,3.906327261660181e-09,0.0
1853,5.971931837933653e-09,3.5831591027601917e-09
1854,0.0,7.27393034694046e-09
1855,2.653468555990912e-09,6.8990182455763716e-09
1856,2.588594560926083e-09,0.0
1857,4.881509085841174e-10,4.881509085841174e-10
1858,4.893676019968041e-10,0.0
1859,1.5276520048956854e-09,1.018434669930457e-09
1860,2.288591982591015e-09,2.288591982591015e-09
1861,4.2443675241088386e-09,3.301174722469824e-09
1862,1.3553959066214816e-09,4.517986262886353e-10
1863,2.4973103585068657e-09,4.994620828036034e-10
1864,0.0,4.794727948009836e-10
1865,1.882737743486018e-09,9.41368871743009e-10
1866,1.9462451650298362e-09,2.432806400776144e-09
1867,6.79393608038481e-09,0.0
1868,4.93987406535723e-10,9.87974813071446e-10
1869,1.4650557433881772e-09,0.0
1870,1.1468097582678638e-09,1.1468097582678638e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,2.4189357183956872e-09
1873,0.0,5.986004469882289e-10
1874,3.5847653734322193e-09,3.584765539965673e-09
1875,0.0,4.577221712764867e-09
1876,6.04601479992084e-10,6.04601479992084e-09
1877,1.2369631985365004e-09,2.4739263970730008e-09
1878,1.2078177347163432e-09,3.6234532041490297e-09
1879,0.0,6.10932526790009e-10
1880,3.2089231272180996e-09,1.9253538763308597e-09
1881,0.0,1.3945015142624584e-09
1882,1.9966155395678697e-09,1.3310770263785798e-09
1883,3.159669414998234e-09,6.319338941018771e-10
1884,3.300848483434038e-09,1.3203393933736152e-09
1885,0.0,2.5782542767416317e-09
1886,1.936039106809062e-09,6.453463874400711e-10
1887,1.3057849246322917e-09,6.528924623161458e-10
1888,0.0,2.53624587998047e-09
1889,2.5060546970934183e-09,6.265136742733546e-10
1890,0.0,0.0
1891,2.5496880162734215e-09,5.099376032546843e-09
1892,6.268512375839919e-09,1.2537024751679837e-09
1893,3.695050043717174e-09,6.158416554491453e-10
1894,6.301539290376468e-10,1.8904617871129403e-09
