year,peuvent_VERB armer_VERB,peuvent_VERB charmer_VERB
1800,6.288328968651058e-09,3.144164484325529e-09
1801,0.0,6.667310969987739e-08
1802,1.5664880947952042e-08,8.951360541686881e-09
1803,3.90067853572873e-08,7.216254971353919e-08
1804,1.9774807569206132e-08,1.9774807569206132e-08
1805,4.5486043376286034e-08,1.421438877713399e-08
1806,3.1698359492793315e-08,1.152667650217154e-08
1807,6.263301344233696e-08,1.9928686256776018e-08
1808,2.4926814390369145e-08,1.8128591960930862e-08
1809,2.710836710662079e-08,2.0331274441787173e-08
1810,1.8721014072298203e-08,1.1700633351097167e-08
1811,5.0141535368197765e-09,4.512738271955641e-08
1812,5.3344164641089264e-09,5.3344164641089264e-09
1813,0.0,2.3005932492381476e-08
1814,6.293354282149721e-09,3.1466771410748606e-09
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,3.476405652236281e-08,2.0858434979231788e-08
1817,3.113746815941454e-09,1.5568733857662664e-08
1818,1.9073883805731384e-08,4.053200441944682e-08
1819,4.45095160728215e-08,5.175525008560555e-09
1820,2.3732962262101864e-08,1.542642635854463e-08
1821,3.94459531705138e-09,1.676452932031225e-08
1822,1.7043547018147365e-08,2.90742860897808e-08
1823,0.0,4.249555551893991e-08
1824,4.210556348027694e-09,2.4421227706739046e-08
1825,6.163809906922779e-09,3.169959583715354e-08
1826,1.7615968683770689e-09,1.5854372037438225e-08
1827,1.6591091167583727e-08,2.1199728195142598e-08
1828,1.6510142586412258e-08,1.9261832406858304e-08
1829,1.628903412154159e-08,2.7434163218931218e-08
1830,2.6092090266160994e-08,9.393152256009785e-09
1831,2.182768810143898e-08,1.2472964883158966e-08
1832,3.111892965534935e-08,9.470978667991403e-09
1833,6.950177322551099e-09,1.9692167896323554e-08
1834,1.4935249481595747e-08,1.0267983796552471e-08
1835,1.2100940693926532e-08,1.4369867074037757e-08
1836,2.4866775305554256e-08,2.6210924986003192e-08
1837,1.7394727436226276e-08,2.2265250976261086e-08
1838,6.312161904276081e-09,1.9567702125300457e-08
1839,1.1885507689157748e-08,1.1885507689157748e-08
1840,3.1848443882154243e-09,1.592422194107712e-08
1841,1.2841097074556274e-08,2.5040139739473943e-08
1842,4.024959032733477e-09,2.1466447286400125e-08
1843,8.860366662588604e-09,1.3585895519696578e-08
1844,1.2074834465636286e-08,1.4270259640625227e-08
1845,8.37034175305007e-09,1.674068350610014e-08
1846,8.196302303531411e-09,2.985795788390533e-08
1847,1.4561703842730367e-08,1.294373674909366e-08
1848,9.65426583121598e-09,2.091757700384278e-08
1849,2.6814127807028854e-08,1.8434713311421547e-08
1850,1.0183494048021657e-08,2.5119284430275002e-08
1851,1.7413483988093503e-08,3.095730671809349e-08
1852,4.557382027314816e-09,1.5625309046640723e-08
1853,7.763511611358354e-09,1.2541056637616066e-08
1854,2.5978321716024766e-09,1.6626126253527218e-08
1855,6.368324534378189e-09,2.653468555990912e-09
1856,8.801221973442352e-09,2.1226476021318774e-08
1857,2.9289055625270066e-09,2.6848300027637606e-08
1858,3.9149408159744326e-09,2.0064071293290908e-08
1859,9.165912473463322e-09,1.2221216039165483e-08
1860,1.1442959468865865e-08,1.3731552117590695e-08
1861,1.226150558863992e-08,1.4147890858851042e-08
1862,2.0782737308877586e-08,2.1234535907410645e-08
1863,2.3474717281146695e-08,2.447364266799923e-08
1864,1.2466292886870178e-08,1.4863656194741282e-08
1865,9.88437331983505e-09,2.4946275378745497e-08
1866,1.0217787504984699e-08,2.1895258939252926e-08
1867,6.308654931785895e-09,2.038180824115443e-08
1868,2.4699371437009177e-09,1.4819621974027086e-08
1869,5.860222973552709e-09,1.3673853160867111e-08
1870,8.601073631098188e-09,8.027668307875047e-09
1871,1.0621177271019633e-09,2.3366590440332402e-08
1872,1.0885210954825197e-08,5.442605477412599e-09
1873,5.986004469882289e-10,2.334541804316359e-08
1874,2.3898436563030145e-09,1.3144139998644278e-08
1875,6.865832347102696e-09,5.7215269744226305e-09
1876,1.3301232115736639e-08,1.0278225381910033e-08
1877,1.2369631985365004e-09,1.0514187298582556e-08
1878,3.0195443923020093e-09,7.850815109122777e-09
1879,8.55305515301552e-09,8.55305515301552e-09
1880,2.5671385017744797e-09,1.5402831010646878e-08
1881,1.8128519130300447e-08,2.370652651961791e-08
1882,2.6621540527571597e-09,3.1945848633085916e-08
1883,8.21514056781325e-09,6.951272890631799e-09
1884,4.621187876807653e-09,9.902545450302114e-09
1885,1.6114089618213256e-08,3.86738152613475e-09
1886,1.097088819790315e-08,7.744156427236248e-09
1887,7.1818169189441505e-09,1.697520346510828e-08
1888,1.268122939990235e-08,1.775372027168487e-08
1889,2.5060546970934183e-09,1.50363277384713e-08
1890,6.554386478008212e-10,1.1797895993481688e-08
1891,1.3385862196457765e-08,7.649063604731055e-09
1892,1.8805537127519756e-09,1.002961980134387e-08
1893,8.005941687372342e-09,1.23168328869383e-08
1894,7.561847148451761e-09,1.5753848003896564e-08
1895,9.629783193076946e-09,1.2639090662958097e-08
1896,5.89702897624278e-10,7.076434549446731e-09
1897,2.330685422435863e-09,1.1070755867592652e-08
1898,3.3950129374460403e-09,7.355861253444118e-09
1899,1.0502398950507086e-08,4.9748205555033564e-09
1900,3.633737311048435e-09,7.26747462209687e-09
1901,6.706486921359556e-09,3.912117296778206e-09
1902,6.38336894454028e-09,3.928227076954727e-09
1903,2.7001101354784396e-09,4.860198465905796e-09
1904,5.912087708281888e-09,1.1286712897629059e-08
1905,1.0321517862621477e-08,2.580379465655369e-09
1906,5.144184522798412e-10,5.144184522798412e-09
1907,5.142843484406967e-09,8.228549397415463e-09
1908,7.858222517143076e-09,1.964555629285769e-09
1909,1.0451868703853506e-08,8.251475058784763e-09
1910,4.809735720812114e-09,1.068830179917768e-08
1911,5.852411444351446e-09,6.384448969498635e-09
1912,6.772247651554153e-09,2.6047106693738442e-09
1913,7.954484182448596e-09,7.954484182448596e-09
1914,8.705766774141921e-09,9.37544086809794e-09
1915,2.3561524287174507e-08,9.424609537234119e-09
1916,6.592477230782379e-09,1.4283700444650549e-08
1917,2.4126133979507358e-08,6.57985488317081e-09
1918,1.1486376294556067e-09,1.1486376294556067e-09
1919,9.207848372660976e-10,8.287063479883727e-09
1920,4.543339038320937e-09,1.817335615328375e-08
1921,2.2718242842501013e-09,7.572747762196741e-09
1922,2.2133805899215986e-09,4.426761179843197e-09
