year,petit_ADJ chantier_NOUN
1800,3.458580977167003e-08
1801,0.0
1802,4.475680270843441e-09
1803,3.1205427575287104e-08
1804,0.0
1805,3.4114531644036106e-08
1806,2.881669125542885e-09
1807,3.9857372513552036e-08
1808,2.4926814390369145e-08
1809,4.518061036407062e-09
1810,0.0
1811,7.521229861140455e-09
1812,2.6672082320544632e-09
1813,0.0
1814,0.0
1815,0.0
1816,1.622322720606917e-08
1817,9.341240669868967e-09
1818,0.0
1819,4.140420006848444e-09
1820,1.1866481131050932e-09
1821,8.875339574387908e-09
1822,3.0076847679083585e-09
1823,9.882686891060644e-10
1824,2.5263338088166165e-09
1825,7.924898959288385e-09
1826,4.403992281964975e-09
1827,9.217273055917019e-10
1828,1.1923991849460691e-08
1829,1.7146351893870815e-08
1830,5.218417697960831e-09
1831,1.5591206548037917e-08
1832,2.705993873419743e-09
1833,1.50587169400751e-08
1834,6.534171426153534e-09
1835,0.0
1836,2.688300027031687e-09
1837,1.1132625488130543e-08
1838,8.837027110075724e-09
1839,1.3982950353153e-09
1840,5.095750932326837e-09
1841,0.0
1842,6.037438549100216e-09
1843,0.0
1844,6.586273748609983e-09
1845,3.9061593959388574e-09
1846,0.0
1847,1.0786447290911383e-08
1848,2.413566457803995e-09
1849,0.0
1850,6.788996032014438e-10
1851,1.2898877521649865e-09
1852,6.510545436100301e-10
1853,3.5831591027601917e-09
1854,5.7152309551611324e-09
1855,0.0
1856,2.5885946719483854e-09
1857,4.881508974818871e-09
1858,9.787352039936081e-10
1859,5.092173349652285e-09
1860,2.288591982591015e-09
1861,2.0750240636857598e-08
1862,3.162590411776023e-09
1863,9.989241434027463e-09
1864,3.835782469430171e-09
1865,3.294791106611683e-09
1866,3.4059290943133647e-09
1867,3.88224918879132e-09
1868,1.975949626142892e-09
1869,2.441759683335931e-09
1870,3.4404292748035914e-09
1871,2.1242354542039266e-09
1872,3.628403577593531e-09
1873,8.380406590902112e-09
1874,1.1351757756017378e-08
1875,2.8607636259891933e-09
1876,9.06902175579205e-09
1877,6.184815992682502e-10
1878,1.1474268646338714e-08
1879,4.276527687530063e-09
1880,8.984985200299889e-09
1881,6.2752567586699115e-09
1882,4.6587693702804245e-09
1883,7.58320695126713e-09
1884,3.9610181801208455e-09
1885,1.2891271383708158e-09
1886,4.5174246565693466e-09
1887,4.570247291724172e-09
1888,2.53624587998047e-09
1889,5.638623068460191e-09
1890,5.243509182406569e-09
1891,7.649063604731055e-09
1892,7.522214628963297e-09
1893,1.539604177480669e-08
1894,1.8904617871129403e-09
1895,1.2639090662958097e-08
1896,4.1279202278587945e-09
1897,8.740070001067579e-09
1898,4.52668391659472e-09
1899,1.8241008703512307e-08
1900,1.5054053892349373e-08
1901,1.4530721070826758e-08
1902,7.365425880312415e-09
1903,8.640352211486402e-09
1904,6.987012746151322e-09
1905,8.77329037196617e-09
1906,1.1317205839134203e-08
1907,9.771402353919711e-09
1908,1.2769612034446709e-08
1909,7.701377313651392e-09
1910,1.4429206829369434e-08
