year,tant_ADV armé_VERB,tant_ADV charmé_VERB
1800,0.0,3.144164484325529e-09
1801,0.0,7.143547975374531e-09
1802,0.0,2.2378401354217203e-08
1803,0.0,3.900678446910888e-09
1804,0.0,0.0
1805,0.0,7.960057502032214e-08
1806,0.0,2.881669125542885e-09
1807,0.0,5.693910232196231e-09
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,7.521229861140455e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,2.3176038865813098e-09
1817,3.113746815941454e-09,1.556873407970727e-09
1818,0.0,7.152706427149269e-09
1819,0.0,1.035105001712111e-09
1820,0.0,3.5599443393152796e-09
1821,6.903041693817613e-09,2.2681422962023134e-08
1822,2.0051231786055723e-09,1.604098542884458e-08
1823,0.0,3.854247765389118e-08
1824,1.0947446504872005e-08,2.2737005167527968e-08
1825,1.584979791857677e-08,1.1447076175841175e-08
1826,6.1655889282974385e-09,1.145037931138404e-08
1827,0.0,9.217273166939322e-09
1828,0.0,8.255071293206129e-09
1829,0.0,4.2865881511033876e-08
1830,0.0,8.349468672008697e-09
1831,0.0,2.494592976631793e-08
1832,0.0,2.1647950987357945e-08
1833,0.0,3.938433579264711e-08
1834,0.0,1.5868701908061666e-08
1835,2.2689263801112247e-09,1.4369867074037757e-08
1836,2.016224964762614e-09,6.048674894287842e-09
1837,1.3915781860163179e-09,1.87863058442872e-08
1838,0.0,6.312161904276081e-09
1839,6.9914751765765e-10,8.38977065598101e-09
1840,0.0,7.0066574764382494e-09
1841,1.2841097074556274e-09,2.3756030032018316e-08
1842,6.708265054555795e-10,1.408735705865638e-08
1843,1.1813822142769936e-09,1.063243981747064e-08
1844,0.0,2.195424464446205e-08
1845,0.0,1.3392547515422848e-08
1846,5.854501328173001e-10,1.8734404250153602e-08
1847,5.393223645455691e-10,1.1865092020002521e-08
1848,3.218088684420195e-09,2.091757700384278e-08
1849,0.0,2.513824481908955e-09
1850,0.0,5.431196825611551e-09
1851,0.0,7.739326512989919e-09
1852,6.510545436100301e-10,1.5625309046640723e-08
1853,0.0,2.6276499198729653e-08
1854,5.195664454227256e-10,1.610655964157104e-08
1855,0.0,3.131092896069276e-08
1856,0.0,7.765783571755946e-09
1857,0.0,3.758761835115365e-08
1858,4.893676019968041e-10,1.9085335978274998e-08
1859,0.0,1.629495471888731e-08
1860,4.119465657481669e-09,1.6020143434047895e-08
1861,5.659156698811785e-09,2.4051415081771665e-08
1862,9.035972858839614e-09,1.400575744270327e-08
1863,4.994620828036034e-10,1.9479021062807078e-08
1864,0.0,1.6302074357099627e-08
1865,9.41368871743009e-10,3.153585836912498e-08
1866,9.731225825149181e-10,1.3623716377253459e-08
1867,3.88224918879132e-09,1.552899675516528e-08
1868,4.93987406535723e-10,1.4819621974027086e-08
1869,1.4650557433881772e-09,1.5138908793232986e-08
1870,1.1468097582678638e-09,1.9495765002375265e-08
1871,0.0,1.805600113868877e-08
1872,3.0236697590169115e-09,7.861540751719076e-09
1873,1.1972008939764578e-09,1.5563610844537834e-08
1874,5.377148060148329e-09,7.169530746864439e-09
1875,0.0,1.7736734747586524e-08
1876,0.0,1.5115036333668286e-08
1877,0.0,2.968711676487601e-08
1878,8.4547240319921e-09,1.0870359723469392e-08
1879,6.10932526790009e-10,7.94212251520321e-09
1880,2.5671385017744797e-09,1.0910338410496934e-08
1881,6.972507571312292e-10,6.2752567586699115e-09
1882,0.0,1.1979693681496428e-08
1883,0.0,8.847074184359371e-09
1884,0.0,2.5746619058963915e-08
1885,0.0,2.1915161241281567e-08
1886,0.0,2.5813855941692054e-08
