year,tout_DET entier_ADJ,tout_DET chantier_NOUN
1800,3.3328143445032765e-07,0.0
1801,3.762268363516341e-07,0.0
1802,2.730164965214499e-07,0.0
1803,3.588624224448722e-07,0.0
1804,3.781931923185766e-07,2.4718509461507665e-09
1805,1.6772978028711805e-07,0.0
1806,2.9104859322615084e-07,0.0
1807,2.4768510797912313e-07,0.0
1808,1.9941451512295316e-07,0.0
1809,1.603911670144953e-07,0.0
1810,2.9485596542144776e-07,0.0
1811,2.807925909564801e-07,0.0
1812,1.8403736135041981e-07,0.0
1813,3.36461766892171e-07,0.0
1814,3.429878177030332e-07,0.0
1815,2.643278946834471e-07,0.0
1816,5.098728479424608e-07,0.0
1817,2.849078271083272e-07,0.0
1818,3.361772087373538e-07,0.0
1819,3.229527578696434e-07,0.0
1820,3.595543773826648e-07,0.0
1821,3.204983727300714e-07,0.0
1822,2.747018754689634e-07,0.0
1823,3.063632902922109e-07,0.0
1824,4.261083006440458e-07,4.210556348027694e-09
1825,3.10832149352791e-07,0.0
1826,3.109218482677534e-07,0.0
1827,2.89422359855962e-07,0.0
1828,3.0085146818237263e-07,0.0
1829,2.4776477403065655e-07,0.0
1830,2.640519483065873e-07,0.0
1831,2.1204040479005926e-07,0.0
1832,2.9089434860907204e-07,0.0
1833,3.3013341749210667e-07,1.1583628500844156e-09
1834,2.8563664500325103e-07,1.8669061851994684e-09
1835,3.5622144878288964e-07,0.0
1836,3.48806935335233e-07,0.0
1837,2.024746237339059e-07,4.174734336004349e-09
1838,2.5816743232098815e-07,6.312161904276081e-10
1839,2.516931090212893e-07,0.0
1840,3.458740991391096e-07,1.9109065441114126e-09
1841,2.542537345107121e-07,0.0
1842,3.5822134236696e-07,1.341653010911159e-09
1843,2.2328123350234819e-07,0.0
1844,2.8869831680822244e-07,0.0
1845,3.3090751117015316e-07,5.580227946389016e-10
1846,3.114594733233389e-07,5.854501328173001e-09
1847,2.831442316164612e-07,0.0
1848,3.3629027029746794e-07,0.0
1849,2.639515628288791e-07,0.0
1850,2.6001853825619037e-07,0.0
1851,2.9280451485647063e-07,1.2898877521649865e-09
1852,3.828200760835898e-07,0.0
1853,2.854583556199941e-07,5.971931837933653e-10
1854,3.7252914353302913e-07,0.0
1855,3.767925420561369e-07,1.0613874223963649e-09
1856,4.038207634948776e-07,2.5885946719483854e-09
1857,3.5244494256403414e-07,9.763018171682347e-10
1858,3.0487601065942727e-07,3.9149408159744326e-09
1859,3.39647954206157e-07,0.0
1860,4.270512476978183e-07,4.577183909670879e-10
1861,4.352834537257877e-07,1.8863854922557266e-09
1862,3.6550508752952737e-07,0.0
1863,4.4851694269709697e-07,0.0
1864,3.6391983826433716e-07,4.794727948009836e-10
1865,3.473651020158286e-07,7.530950973944073e-09
1866,4.2184862536487344e-07,4.865612912574591e-10
1867,3.6735784192387655e-07,1.455843445796745e-09
1868,3.951899145704374e-07,9.87974813071446e-10
1869,3.2670743621565634e-07,4.883519144627257e-10
1870,3.7615359360643197e-07,5.734048791339319e-10
1871,3.813002535935084e-07,4.248470908407853e-09
1872,3.6586402529792394e-07,4.8378714367913744e-09
1873,2.969058243706968e-07,5.387403856360606e-09
1874,3.011203091318748e-07,0.0
1875,3.226941203138267e-07,5.721527140956084e-10
1876,3.3555383538441674e-07,0.0
1877,2.919233281772904e-07,0.0
1878,3.3577333624634775e-07,1.0870359723469392e-08
1879,2.9446948701661313e-07,7.331190321480108e-09
1880,3.285937282271334e-07,6.417846254436199e-10
1881,3.3537762078594824e-07,3.8348792585907177e-08
1882,3.0947541063142125e-07,1.3310770263785798e-09
1883,3.778964696721232e-07,1.8958017378167824e-09
1884,3.4988994457307854e-07,2.2445769687351458e-08
1885,3.680457894006395e-07,2.578254332252783e-09
1886,2.8782449135178467e-07,6.4534639854230136e-09
1887,2.9119004807398596e-07,8.487601954598745e-09
1888,3.316141601317213e-07,1.0144983741966485e-08
1889,3.1388336196869204e-07,8.144677543509005e-09
1890,2.857712502191134e-07,6.554386478008212e-10
1891,3.282723355368944e-07,5.099376032546843e-09
1892,3.3787281950026227e-07,5.014809900671935e-09
1893,2.999148875915125e-07,6.774258043407144e-09
1894,3.175975678004761e-07,1.8904617871129403e-09
