year,seront_VERB au_ADP
1800,8.457802707084738e-07
1801,6.6196873871327e-07
1802,8.123359691580845e-07
1803,5.753500573746351e-07
1804,7.613301189479671e-07
1805,7.505196961687943e-07
1806,1.6108530047631575e-06
1807,1.053373374304556e-06
1808,1.0582565792560672e-06
1809,9.646060448176286e-07
1810,1.0975194300044677e-06
1811,1.574444240759476e-06
1812,1.1042241965242283e-06
1813,9.029828760276359e-07
1814,8.33869467697923e-07
1815,7.255531566663365e-07
1816,8.760542904440172e-07
1817,9.216690628477409e-07
1818,1.0037631525960933e-06
1819,9.005413694751496e-07
1820,6.585896770161526e-07
1821,7.287639789410605e-07
1822,6.346214718178089e-07
1823,6.670813652576157e-07
1824,7.157945844937785e-07
1825,7.599097529009669e-07
1826,9.87375031513693e-07
1827,1.2535491293874657e-06
1828,7.796455934183655e-07
1829,9.610530575798748e-07
1830,1.0645572672274284e-06
1831,7.265501764663895e-07
1832,8.266811093449178e-07
1833,7.992703601189532e-07
1834,1.2452264002149604e-06
1835,8.65217259615747e-07
1836,1.045748742711794e-06
1837,7.222290658859265e-07
1838,7.372605033140189e-07
1839,7.466895617369573e-07
1840,7.981220022656998e-07
1841,7.916536368668403e-07
1842,6.091104403083136e-07
1843,7.389545828573318e-07
1844,7.157084134234992e-07
1845,6.740915603486997e-07
1846,6.60387765805126e-07
1847,8.246238678566442e-07
1848,8.39921169060176e-07
1849,7.734199769515726e-07
1850,8.126428454602319e-07
1851,7.287865742000577e-07
1852,7.363426881568103e-07
1853,6.354135209107881e-07
1854,6.281558491139094e-07
1855,5.869472730068992e-07
1856,6.404182997243879e-07
1857,4.852220030215904e-07
1858,5.241126856958545e-07
1859,5.418072217544534e-07
1860,5.620782044246653e-07
1861,6.159048577814019e-07
1862,5.611339028988027e-07
1863,5.828722642320372e-07
1864,5.734494781250987e-07
1865,4.862170071007199e-07
1866,4.602869778658203e-07
1867,5.808815615182539e-07
1868,6.056285695166252e-07
1869,5.718600997184353e-07
1870,5.11477166398322e-07
1871,5.246861656260648e-07
1872,4.71692465087159e-07
1873,4.920495628724098e-07
1874,5.17998590687796e-07
1875,5.286690818451234e-07
1876,5.858588156826272e-07
1877,5.257093853572314e-07
1878,5.57407863865933e-07
1879,6.549196776006738e-07
1880,8.137829095034022e-07
1881,5.626813486259152e-07
1882,5.770218951539619e-07
1883,5.188177549797501e-07
1884,5.789688088952971e-07
1885,5.485236167501739e-07
1886,5.730676040371918e-07
1887,7.16223046204334e-07
1888,7.171235374414664e-07
1889,5.801516858028322e-07
1890,5.715425102081895e-07
1891,6.393342584232187e-07
1892,5.754494292187218e-07
1893,5.813545289612421e-07
1894,6.654425419583276e-07
1895,5.681572239346622e-07
1896,6.309820754779594e-07
1897,6.694893750491815e-07
1898,6.111023433952312e-07
1899,6.489376929152968e-07
1900,5.938564622276488e-07
1901,7.052988668654336e-07
1902,5.808865979339828e-07
1903,6.042846241172128e-07
1904,6.008831148207605e-07
1905,6.301286967769215e-07
1906,6.064993760546145e-07
1907,6.474839575609792e-07
1908,6.561615935041232e-07
1909,5.462476444506592e-07
1910,6.669500089984126e-07
1911,6.379128483224861e-07
1912,5.923111845440587e-07
1913,5.827985916084799e-07
1914,6.140914075025705e-07
1915,7.292291659410921e-07
1916,6.021129355104904e-07
1917,4.2549726586571524e-07
1918,5.226301080796247e-07
1919,6.123218905806915e-07
1920,6.868013908700732e-07
1921,5.853733973104625e-07
1922,5.762167809564289e-07
1923,5.276126202602427e-07
1924,5.014842079376081e-07
1925,4.4762584217039603e-07
1926,4.2578249992430983e-07
1927,4.939106346135702e-07
1928,4.741807244634799e-07
1929,5.091165695692013e-07
1930,3.949354923094006e-07
1931,4.413873071484886e-07
1932,4.493410008521437e-07
1933,4.6112061835579254e-07
1934,3.9898662507198424e-07
1935,4.212836106631812e-07
1936,3.95265693509117e-07
1937,4.4698470835768944e-07
1938,3.4098514711811134e-07
1939,3.3646910857498824e-07
1940,3.955821217260791e-07
1941,3.8664684076650246e-07
1942,3.5196856629227113e-07
1943,4.877435069161606e-07
1944,3.4702409656972577e-07
1945,4.531288282372259e-07
1946,3.563802710715436e-07
1947,4.17230495930454e-07
1948,4.044342207798479e-07
1949,4.378385685122055e-07
1950,3.616022867802826e-07
1951,3.731490698655193e-07
1952,3.564143753465032e-07
1953,2.8873856505740036e-07
1954,3.5962932853905727e-07
1955,3.3788188602557057e-07
1956,3.671600476984338e-07
1957,4.170137679615493e-07
1958,3.5157034528054965e-07
1959,3.9606321600160754e-07
1960,3.5019415683956723e-07
1961,3.4393388115283585e-07
1962,3.4246565983053756e-07
1963,3.653319993190962e-07
1964,4.015419125535935e-07
1965,4.2353616791501736e-07
1966,3.9992120037801726e-07
1967,4.1513424786643327e-07
1968,3.961428877985451e-07
1969,6.771760698853768e-07
1970,4.948228216061779e-07
1971,4.264869951642325e-07
1972,4.5196593689844633e-07
1973,4.454668558473429e-07
1974,4.067288337239461e-07
