year,aurait_VERB assez_ADV,aurait_VERB chassé_VERB
1800,7.231578535993322e-08,0.0
1801,1.0000967165524344e-07,2.6193008650921e-08
1802,6.937304419807333e-08,2.0140561218795483e-08
1803,1.5797748176282767e-07,2.145373123596528e-08
1804,9.88740396223875e-08,9.887403784603066e-09
1805,8.24434565060983e-08,5.685755422035754e-09
1806,5.4751712497136396e-08,1.4408345627714425e-08
1807,2.0213381901612593e-07,1.7081731584767113e-08
1808,4.5321478125970316e-08,2.4926814390369145e-08
1809,4.0662548883574345e-08,9.036122072814123e-09
1810,1.8721013361755467e-07,4.680253518074551e-09
1811,1.3036799373367103e-07,3.259199843341776e-08
1812,1.4669645054254943e-07,4.000812481308458e-08
1813,1.581657897986588e-07,6.039057609541487e-08
1814,1.6677388714469998e-07,5.664018942752591e-08
1815,1.7531952778426785e-07,4.315557688983063e-08
1816,1.1588019788177917e-07,4.6352077731626196e-09
1817,1.8371106591530406e-07,4.0478710161551135e-08
1818,1.513989502655022e-07,1.9073883805731384e-08
1819,2.0495079411375627e-07,1.2421260464634543e-08
1820,2.183432457059098e-07,3.9159388620646496e-08
1821,2.169527419937367e-07,6.409967312492881e-08
1822,1.87479017199621e-07,1.9048670196752937e-08
1823,1.8678278479455912e-07,6.423746157224741e-08
1824,1.658959263295401e-07,6.315834610859383e-08
1825,1.6906450639453396e-07,2.4655239627691117e-08
1826,1.9994124045297212e-07,6.517908701653141e-08
1827,2.0001482425868744e-07,3.871254605769536e-08
1828,2.008734014680158e-07,2.4765213879618386e-08
1829,1.9546841656392644e-07,2.914879893012312e-08
1830,1.8264462653405644e-07,4.4878394334091354e-08
1831,1.683850285871813e-07,1.091384405071949e-08
1832,1.8130158707663213e-07,2.1647950987357945e-08
1833,1.7259606011066353e-07,3.243415847009601e-08
1834,1.8575715898805356e-07,3.173740381612333e-08
1835,2.518508210869186e-07,4.159698363537245e-08
1836,1.901972268569807e-07,3.8980349614803345e-08
1837,1.5168201628057432e-07,4.800944708449606e-08
1838,1.7042836475411605e-07,5.680945847075236e-08
1839,2.1393914551026683e-07,6.711816524784808e-08
1840,1.9172762222297024e-07,6.369688776430849e-08
1841,2.1187810261835693e-07,6.035315891494974e-08
1842,2.2003109734214377e-07,3.3541326160957396e-08
1843,1.8843046234451322e-07,3.307870244384503e-08
1844,1.8222023356884165e-07,6.092302839988406e-08
1845,2.031202939178911e-07,6.696273402440056e-08
1846,1.6919508993851196e-07,4.039605983052752e-08
1847,1.9685266750002484e-07,9.492073616002017e-08
1848,1.359642425313723e-07,6.677534258869855e-08
1849,1.508294644736452e-07,1.75967720394965e-08
1850,1.5411021081490617e-07,3.93761752093269e-08
1851,1.4446743534790585e-07,2.96674187438839e-08
1852,1.6471679487040092e-07,4.101643469311966e-08
1853,1.2063301824127848e-07,4.538668108011734e-08
1854,2.156200764602545e-07,3.013485283531736e-08
1855,2.0378638510010205e-07,4.139410947345823e-08
1856,1.1959306789322e-07,5.332504926514048e-08
1857,1.6353055798390415e-07,4.246912865824015e-08
1858,1.7959790454824542e-07,3.963877404089544e-08
1859,1.3850711866325582e-07,4.073738679721828e-08
1860,1.6386317724936816e-07,5.813023662426531e-08
1861,1.5091083582774445e-07,4.2443673464731546e-08
1862,1.8478563390544878e-07,4.427626620895353e-08
1863,1.4584293239749968e-07,4.295374012031061e-08
1864,1.261013409248335e-07,1.0548401263577034e-08
1865,1.4167601136705343e-07,2.2122168985561075e-08
1866,1.284521857769505e-07,4.81695678899996e-08
1867,1.4558435168510186e-07,2.717574432153924e-08
1868,1.5708799594449374e-07,4.3964877960434023e-08
1869,1.6555129889184172e-07,4.199826619810665e-08
1870,1.0034585073981361e-07,3.4404294524392753e-08
1871,1.625040084718421e-07,2.3366590440332402e-08
1872,1.30622524352475e-07,2.1770421909650395e-08
1873,1.1732569049627273e-07,2.5141218884527916e-08
1874,1.7864081769403128e-07,2.1508592240593316e-08
1875,1.253014403346242e-07,3.20405533216217e-08
1876,1.529641764363987e-07,4.292670396921494e-08
1877,1.3111809948895825e-07,4.762308236649915e-08
1878,1.660749404663875e-07,3.4422804162659304e-08
1879,1.2463023324471578e-07,3.787781821529279e-08
1880,1.3092406447867688e-07,4.2357786611546544e-08
1881,1.6036767647165107e-07,4.392679642251096e-08
1882,1.397630882138401e-07,3.9932309903178975e-08
1883,1.1753970596828367e-07,2.7805091562527195e-08
1884,1.577805619490391e-07,2.772712726084592e-08
1885,1.0764211566538506e-07,1.6114089618213256e-08
1886,1.2261581616712647e-07,2.5813855941692054e-08
1887,9.66280850889234e-08,2.0892558794116667e-08
1888,1.0969263541937835e-07,2.4728397107764977e-08
1889,9.773613385277713e-08,2.5060547415023393e-08
1890,1.2256703030288918e-07,2.4251230357208442e-08
1891,1.4851933372028725e-07,4.716922674674606e-08
1892,1.0280360385195308e-07,3.2596265242545996e-08
1893,1.1208317829414227e-07,6.959010789842068e-08
1894,1.1531816568322029e-07,3.7809236630437226e-08
1895,1.1736297977904542e-07,1.9861428057765806e-08
1896,1.1676117139813869e-07,2.7716035688740703e-08
1897,1.1129022681188872e-07,1.9228155068162778e-08
1898,1.2391797099553514e-07,3.734514208986184e-08
1899,1.1994845294793777e-07,1.879376654301268e-08
1900,1.2614259503607173e-07,3.0627212765921286e-08
1901,1.251877534969026e-07,3.856229824350521e-08
1902,1.0115184778669573e-07,2.5042448115186744e-08
1903,1.0638434133625196e-07,2.6461078661554893e-08
1904,1.0319280363546568e-07,2.2573425795258117e-08
1905,9.186150862205977e-08,2.4771644291377015e-08
1906,7.613392938310426e-08,2.41776678677752e-08
1907,1.1417112233402804e-07,2.828563872014911e-08
1908,1.1885561690405666e-07,3.732655784460803e-08
1909,1.0451869059124874e-07,1.8153246017504898e-08
1910,1.0207327960642942e-07,1.977335806202518e-08
1911,8.35298763490755e-08,3.1922244403403965e-08
1912,1.1773291674899156e-07,4.063348413296808e-08
1913,1.1825667201037504e-07,2.333315407554437e-08
1914,7.500352694478352e-08,4.018046340092951e-08
1915,6.832841847881355e-08,3.2986132936230206e-08
1916,9.229468389548856e-08,2.4172416956957932e-08
1917,1.1953402179187833e-07,1.7546279096336548e-08
1918,9.993147642717304e-08,2.2972752589112133e-08
1919,9.299926517769563e-08,3.591060959706738e-08
1920,1.0601124245113169e-07,3.9375606775138294e-08
