year,voulut_VERB armer_VERB,voulut_VERB charmer_VERB
1800,9.432493897065797e-09,0.0
1801,1.4287095950749062e-08,0.0
1802,8.951360541686881e-09,0.0
1803,3.900678446910888e-09,0.0
1804,1.4831105232815389e-08,0.0
1805,0.0,0.0
1806,8.645007376628655e-09,2.881669125542885e-09
1807,8.540865792383556e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,3.008491944456182e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,1.7881765401739358e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,1.898636980968149e-08,0.0
1821,2.1695274909916407e-08,0.0
1822,2.0051231786055723e-09,0.0
1823,9.882686669016039e-09,0.0
1824,1.0105335235266466e-08,0.0
1825,1.7610886970942374e-08,0.0
1826,1.2331177856594877e-08,0.0
1827,2.7651818612639545e-08,0.0
1828,1.0089530988466322e-08,0.0
1829,3.429270423183084e-09,0.0
1830,9.39315203396518e-09,0.0
1831,6.236482441579483e-09,0.0
1832,8.117981842303834e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,2.8003592777992026e-09,9.334530925997342e-10
1835,6.806779140333674e-09,0.0
1836,4.032449929525228e-09,2.688300027031687e-09
1837,5.5663127440652715e-09,0.0
1838,6.312161904276081e-09,0.0
1839,2.3771015378315496e-08,0.0
1840,1.6561189752906103e-08,0.0
1841,4.494383976094696e-09,0.0
1842,1.2745703159566801e-08,6.708265054555795e-10
1843,6.497602011990011e-09,1.1813822142769936e-09
1844,1.1525978393933656e-08,0.0
1845,1.674068439427856e-09,0.0
1846,5.854501328173001e-10,0.0
1847,2.6966118227278457e-09,0.0
1848,4.02261068899179e-09,0.0
1849,5.02764896381791e-09,0.0
1850,2.7155984128057753e-09,0.0
1851,1.2898877521649865e-09,5.159551008659946e-09
1852,3.2552727180501506e-09,1.3021090872200602e-09
1853,1.1346670270029335e-08,5.971931837933653e-10
1854,5.7152309551611324e-09,2.5978321716024766e-09
1855,7.429711956774554e-09,0.0
1856,1.0872097000458325e-08,0.0
1857,2.4407544874094356e-09,2.9289055625270066e-09
1858,5.3830437884982985e-09,4.893676019968041e-10
1859,1.018434669930457e-08,5.092173349652285e-10
1860,5.950338888283113e-09,0.0
1861,9.903524222920623e-09,0.0
1862,1.8071945051545413e-09,0.0
1863,1.4983863039219614e-09,0.0
