year,eût_VERB armé_VERB,eût_VERB charmé_VERB
1800,2.5153315874604232e-08,3.144164484325529e-09
1801,9.524730337773235e-09,9.524730337773235e-09
1802,2.4616241489638924e-08,4.475680270843441e-09
1803,5.851017448321727e-09,0.0
1804,2.9662210465630778e-08,4.943701892301533e-09
1805,1.9900143755080535e-08,2.842877711017877e-09
1806,4.8988376022407465e-08,1.4408345627714425e-08
1807,2.8469550272802735e-08,0.0
1808,5.891792298484688e-08,4.5321479902327155e-09
1809,2.9367397402779716e-08,0.0
1810,4.680253340438867e-08,0.0
1811,4.512738271955641e-08,3.760615285841595e-08
1812,8.00162425207418e-09,8.00162425207418e-09
1813,9.489947672136623e-08,1.7254450312975678e-08
1814,3.1466772298927026e-08,1.2586708564299443e-08
1815,7.012781111370714e-08,0.0
1816,3.476405652236281e-08,0.0
1817,7.472992535895173e-08,0.0
1818,8.702459552978326e-08,1.5497530370112145e-08
1819,2.3807414706311647e-08,9.315945348475907e-09
1820,9.01852530432734e-08,3.5599443393152796e-09
1821,3.0570614484304315e-08,2.9584463767662328e-09
1822,4.6117833107928163e-08,1.804610860745015e-08
1823,2.174191138237802e-08,7.906149512848515e-09
1824,3.536867154707579e-08,1.2631669044083083e-08
1825,2.6416328680056722e-08,7.924898959288385e-09
1826,3.3470339388941284e-08,8.807984341885344e-10
1827,1.1060727445055818e-08,1.474763688946723e-08
1828,8.255071293206129e-09,1.9261833017480967e-08
1829,3.6864655328372464e-08,9.430493719264632e-09
1830,1.878630406793036e-08,4.174734336004349e-09
1831,3.1182413096075834e-08,9.354723218280014e-09
1832,6.764984572527055e-09,1.3529969367098715e-09
1833,3.01174338801502e-08,2.6642345218874652e-08
1834,9.334531370086552e-09,1.6802156110884425e-08
1835,9.832014313815307e-09,7.563087933704082e-10
1836,2.4866775305554256e-08,6.720750067579218e-10
1837,1.530736071231331e-08,6.957891152126194e-09
1838,3.3454458758797045e-08,1.8936485712828244e-09
1839,9.088918062616358e-09,1.3283802502428443e-08
1840,2.6752692505738196e-08,3.1848443882154243e-09
1841,1.2841097074556274e-08,1.2841097074556274e-09
1842,1.6770663080478698e-08,1.0733224087289273e-08
1843,1.3585895075607368e-08,2.953455480181333e-09
