year,pouvait_VERB armer_VERB,pouvait_VERB charmer_VERB
1800,1.5720821977538435e-08,0.0
1801,2.6193008650921e-08,9.524730337773235e-09
1802,4.475680270843441e-09,4.475680270843441e-09
1803,4.290746247193056e-08,3.900678446910888e-09
1804,2.9662210465630778e-08,9.887403784603066e-09
1805,3.980028751016107e-08,1.421438877713399e-08
1806,7.492339904047185e-08,0.0
1807,6.263301344233696e-08,0.0
1808,2.4926814390369145e-08,0.0
1809,2.0331274441787173e-08,2.0331274441787173e-08
1810,3.7442028144596406e-08,4.680253518074551e-09
1811,3.259199843341776e-08,2.5070767684098882e-09
1812,9.068507722531649e-08,1.3336041604361526e-08
1813,8.339650747757332e-08,1.4378708002027452e-08
1814,4.090680150170556e-08,0.0
1815,2.1577788444915313e-08,2.697223555614414e-09
1816,2.5493642752394408e-08,4.6352077731626196e-09
1817,6.383181272440197e-08,6.227493631882908e-09
1818,1.1921176934492905e-08,1.9073883805731384e-08
1819,4.7614829412623294e-08,1.3456364911235141e-08
1820,8.306536614099969e-08,9.493184904840746e-09
1821,7.59334568556369e-08,4.930744257336528e-09
1822,6.817418807258946e-08,2.0051231786055723e-09
1823,7.906149512848515e-09,2.075364236020505e-08
1824,3.705289586264371e-08,1.0105335235266466e-08
1825,4.9310479255382234e-08,1.7610886970942374e-08
1826,4.492072136486058e-08,7.0463874735082754e-09
1827,4.516463647519231e-08,1.3825909306319772e-08
1828,5.595103758082587e-08,1.1006761724274838e-08
1829,8.144517238406479e-08,8.57317605795771e-10
1830,6.053365098068753e-08,9.39315203396518e-09
1831,2.8064171431196883e-08,1.5591206103948707e-09
1832,5.411987658021644e-08,4.058990921151917e-09
1833,3.4750886612755494e-08,3.243415847009601e-08
1834,3.080395316601425e-08,1.8669061851994684e-09
1835,3.932805725526123e-08,1.285724948729694e-08
1836,3.8980349614803345e-08,1.2769425516978572e-08
1837,4.800944708449606e-08,4.174734336004349e-09
1838,5.807189040751837e-08,3.1560809521380406e-09
1839,5.5232654005976656e-08,8.38977065598101e-09
1840,4.33138822586443e-08,3.1848443882154243e-09
1841,4.4301785351308354e-08,9.630822361827995e-09
1842,7.71450459069456e-08,2.0124795163667386e-09
1843,4.666459574309556e-08,2.0674189471492355e-08
