year,faudrait_VERB armer_VERB,faudrait_VERB charmer_VERB
1969,4.5417578031781147e-10,0.0
1970,1.3796175313274261e-09,0.0
1971,0.0,0.0
1972,0.0,0.0
1973,5.513203782392395e-10,0.0
1974,1.1251143350321513e-09,0.0
1975,0.0,1.1422960355389478e-09
1976,0.0,0.0
1977,1.7630346071939584e-09,0.0
1978,0.0,0.0
1979,2.3407893401383717e-09,0.0
1980,5.685150683554241e-10,0.0
1981,6.325549528618524e-10,0.0
1982,6.207502289967692e-10,0.0
1983,6.315316047889041e-10,0.0
1984,5.799008495621649e-10,0.0
1985,0.0,6.015558051686298e-10
1986,5.994485463567401e-10,5.994485463567401e-10
1987,6.110816852533674e-10,6.110816852533674e-10
1988,0.0,5.996553809062277e-10
1989,5.488122178931576e-10,0.0
1990,2.179460389939436e-09,0.0
1991,0.0,0.0
1992,1.1019888335184191e-09,0.0
1993,5.539207426075166e-10,2.2156829704300662e-09
1994,5.274926606624319e-10,5.274926606624319e-10
1995,5.422450821690461e-10,0.0
1996,0.0,0.0
1997,4.79489448146353e-10,0.0
1998,4.768129224785866e-10,1.43043876743576e-09
1999,4.570201161957499e-10,0.0
2000,4.4180314962005696e-10,4.4180314962005696e-10
2001,2.190605918883648e-09,0.0
2002,0.0,0.0
2003,0.0,0.0
2004,4.404791253964646e-10,0.0
2005,0.0,0.0
2006,4.1178899179428186e-10,0.0
2007,0.0,0.0
2008,8.514879357157668e-10,0.0
2009,4.76819250749827e-10,0.0
2010,4.723793023408973e-10,0.0
2011,1.529588788962144e-09,3.82397197240536e-10
2012,6.808505426114664e-10,0.0
2013,1.3945624655065103e-09,0.0
2014,2.1654451842767486e-10,4.330890368553497e-10
2015,1.329945265027277e-09,0.0
2016,1.0356699942093428e-09,0.0
2017,1.2578056374223934e-09,7.54683426862357e-10
2018,3.872199894061623e-09,0.0
2019,2.5509878653906526e-09,0.0
