year,est_VERB au_ADP,est_VERB chaud_ADJ
1800,4.08081104978919e-05,1.2230799484314048e-06
1801,3.792747520492412e-05,1.2763138101945515e-06
1802,4.0422106394544244e-05,1.3158499996279716e-06
1803,3.9829828892834485e-05,1.02197770956991e-06
1804,3.906018901034258e-05,1.3125528539603692e-06
1805,4.106821143068373e-05,6.169044581838534e-07
1806,3.417371408431791e-05,6.512572099381941e-07
1807,3.8431047869380563e-05,7.259735639308929e-07
1808,4.890414129476994e-05,6.254364279811853e-07
1809,3.3169344533234835e-05,1.0097866152136703e-06
1810,3.2211843063123524e-05,7.511806643378804e-07
1811,3.727020157384686e-05,1.1306916576359072e-06
1812,2.952599425043445e-05,1.0028702490672003e-06
1813,3.4169563150499016e-05,5.722725973100751e-07
1814,3.208981433999725e-05,4.4997483428232954e-07
1815,2.6087545847985893e-05,5.286557893668942e-07
1816,2.9621294743265025e-05,5.909889750910224e-07
1817,3.1356987165054306e-05,7.566404747194611e-07
1818,2.7731042791856453e-05,6.77122898196103e-07
1819,2.8443650080589578e-05,3.157070125325845e-07
1820,2.8998119887546636e-05,6.063771706976695e-07
1821,2.9741262551397085e-05,7.238332386805268e-07
1822,2.9567547244369052e-05,4.1205282741429983e-07
1823,2.6730691388365813e-05,3.775186314669554e-07
1824,2.6309240638511255e-05,4.126345345412119e-07
1825,2.8165090043330565e-05,3.927227680833312e-07
1826,2.6703166440711357e-05,4.386376133425074e-07
1827,2.738636248977855e-05,4.1662073613224493e-07
1828,2.7096812118543312e-05,4.833802904613549e-07
1829,2.669429886736907e-05,5.281076482788194e-07
1830,2.7450965717434883e-05,4.98880751820252e-07
1831,2.617763493617531e-05,6.174117856971861e-07
1832,3.066432327614166e-05,5.209038249631703e-07
1833,2.9118924430804327e-05,5.015710939915152e-07
1834,2.8295764423091896e-05,6.076779754948802e-07
1835,2.9092174372635782e-05,5.747946829615103e-07
1836,2.743410186667461e-05,5.242184784037818e-07
1837,2.7213702196604572e-05,5.441070811684767e-07
1838,2.5998531782533973e-05,5.819813395646634e-07
1839,2.483511889295187e-05,5.215640612732386e-07
1840,2.5396586352144368e-05,4.439673091383156e-07
1841,2.569118259998504e-05,4.3788139691969263e-07
1842,2.4905104510253295e-05,4.762868286434241e-07
1843,2.583033165137749e-05,5.351661229724414e-07
1844,2.5329161871923134e-05,5.773966336164449e-07
1845,2.5393384930794127e-05,5.117069008520048e-07
1846,2.6247485948260874e-05,5.23977860211744e-07
1847,2.3872025849414058e-05,4.1204228296010115e-07
1848,2.8931421184097417e-05,3.4111741342712776e-07
1849,2.569296157162171e-05,3.360145512942836e-07
1850,2.5122000806732103e-05,4.053030693285109e-07
1851,2.5224400815204717e-05,3.908359929027938e-07
1852,2.4791506803012453e-05,4.4206603888596874e-07
1853,2.6622872610460036e-05,5.106001594867848e-07
1854,2.581465923867654e-05,4.057814066982246e-07
1855,2.529710764065385e-05,4.4578271740647324e-07
1856,2.554373349994421e-05,4.4420283984436537e-07
1857,2.5801704396144487e-05,3.583027705644781e-07
1858,2.600108018668834e-05,5.14325336098409e-07
1859,2.51196906901896e-05,3.559429160304717e-07
1860,2.493787178536877e-05,3.382538977803051e-07
1861,2.608682552818209e-05,5.522393280443794e-07
1862,2.5174220354529098e-05,4.0571515569354233e-07
1863,2.4695902538951486e-05,4.090594529770897e-07
1864,2.6334084395784885e-05,4.425533859375719e-07
1865,2.565559589129407e-05,4.25028048312015e-07
1866,2.6896135750575922e-05,4.325529801008088e-07
1867,2.612899334053509e-05,3.935629990792222e-07
1868,2.5259058020310476e-05,3.78394361177925e-07
1869,2.5620895030442625e-05,3.638221812707343e-07
1870,2.561858309491072e-05,3.7902063354522397e-07
1871,2.4558286895626225e-05,4.885741304860858e-07
1872,2.509162004571408e-05,3.235326460071519e-07
1873,2.5441117031732574e-05,4.770845407620072e-07
