year,avait_VERB assez_ADV,avait_VERB chassé_VERB
1800,8.646452442917507e-07,1.7292904885835014e-07
1801,7.619784128110041e-07,2.9764782993879635e-07
1802,2.5958945570891956e-07,1.3874608839614666e-07
1803,4.680814242874476e-07,2.925508795215137e-07
1804,8.799789270597103e-07,2.3729768372504623e-07
1805,6.311188371910248e-07,3.9231713344634045e-07
1806,6.685472158096673e-07,1.7290014397985942e-07
1807,8.256170076492708e-07,4.0996152961270127e-07
1808,5.982435595797142e-07,2.4246992325061e-07
1809,6.483417678282422e-07,4.721373727534228e-07
1810,6.365144713527116e-07,1.708292529656319e-07
1811,8.072786954471667e-07,4.638092150344164e-07
1812,8.161657092387031e-07,2.6138641828765685e-07
1813,9.950066441888339e-07,3.6521919355436694e-07
1814,8.307227403747675e-07,3.083743536080874e-07
1815,8.307448524647043e-07,2.9939181445115537e-07
1816,9.571704140398651e-07,2.0394914201915526e-07
1817,9.746026989887469e-07,5.153250981493329e-07
1818,1.0359502766732476e-06,5.412214250100078e-07
1819,8.653477721054514e-07,6.10711936133157e-07
1820,1.155795303020568e-06,6.289234875112015e-07
1821,1.0985697826981777e-06,4.536284734513174e-07
1822,1.1750021258194465e-06,5.022833420298412e-07
1823,1.1434268571974826e-06,6.611517733290384e-07
1824,1.1966401416430017e-06,5.389512125475449e-07
1825,1.3498744237949722e-06,6.533638838845945e-07
1826,1.0701701285142917e-06,7.03757962128293e-07
1827,1.1715153505065246e-06,4.839068310502626e-07
1828,1.304301235904859e-06,5.906961746404704e-07
1829,1.7660743196756812e-06,7.398650723189348e-07
1830,1.297298695135396e-06,6.230790745576087e-07
1831,1.216114128510526e-06,5.425739573183819e-07
1832,1.3272899650473846e-06,5.993776426294062e-07
1833,1.118978502745449e-06,6.614251901737589e-07
1834,1.5084601727721747e-06,6.646185966019402e-07
1835,1.545138843539462e-06,6.814342441430199e-07
1836,1.1526086609592312e-06,7.79607034928631e-07
1837,1.2677277254624642e-06,6.380386139426264e-07
1838,1.290205887016782e-06,8.029069817894197e-07
1839,1.387807856190193e-06,7.431938229274238e-07
1840,1.3777636240774882e-06,8.917564287003188e-07
1841,1.1158913366671186e-06,5.033709840063239e-07
1842,1.5636966281817877e-06,7.171135507633153e-07
1843,1.1866984550579218e-06,6.308580964287103e-07
1844,1.3842151247445145e-06,8.754255418352841e-07
1845,1.417377916368423e-06,5.730894372391049e-07
1846,1.3605861113319406e-06,6.568750450242078e-07
1847,1.2722614428639645e-06,7.113662263691367e-07
1848,9.243959766536136e-07,5.671881240232324e-07
1849,1.3189198853069684e-06,5.438240577859688e-07
1850,1.1609183729888173e-06,6.646426982115372e-07
1851,1.3040764770266833e-06,5.817393571305729e-07
1852,1.348985051663476e-06,5.306094408297213e-07
1853,1.2762018286593957e-06,4.89101239509182e-07
1854,1.1549961982382229e-06,5.865905450264108e-07
1855,1.2301479728193954e-06,5.370620215217059e-07
1856,1.2694467841356527e-06,5.927881829848047e-07
1857,1.3155666920283693e-06,5.193925858293369e-07
