year,petit_ADJ hommage_NOUN,petit_ADJ chômage_NOUN
1800,2.2009151834367913e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,4.475680270843441e-09,0.0
1803,3.315576790896557e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877755426798e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,0.0,0.0
1808,3.852325747288887e-08,0.0
1809,1.129515236897305e-08,0.0
1810,7.020380277111826e-09,0.0
1811,2.5070767684098882e-09,0.0
1812,1.600324850414836e-08,0.0
1813,8.627225156487839e-09,0.0
1814,3.776012391654149e-08,0.0
1815,1.0788894222457657e-08,0.0
1816,4.6352077731626196e-09,0.0
1817,3.89218364205135e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,1.3456364911235141e-08,0.0
1820,5.933240565525466e-09,0.0
1821,5.5224333550540905e-08,0.0
1822,1.4035862250239006e-08,0.0
1823,1.087095569118901e-08,0.0
1824,9.263223965660927e-09,0.0
1825,9.68598712347557e-09,0.0
1826,1.9377566218281572e-08,0.0
1827,1.935627302884768e-08,0.0
1828,1.0089530988466322e-08,0.0
1829,1.457439946506156e-08,0.0
1830,1.7742621594152297e-08,0.0
1831,5.9246584527272717e-08,0.0
1832,8.117981842303834e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,9.334530925997342e-10,0.0
1835,1.663879345414898e-08,0.0
1836,4.032449929525228e-09,0.0
1837,1.0436836284100082e-08,0.0
1838,5.680945491803868e-09,0.0
1839,9.788065469251706e-09,0.0
1840,1.9109065441114126e-09,0.0
1841,3.852329122366882e-09,0.0
1842,4.024959032733477e-09,0.0
1843,4.134837805480629e-09,0.0
1844,2.195424508855126e-09,0.0
1845,1.1160455892778032e-09,0.0
1846,7.025401593807601e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,8.379414939696517e-10,0.0
1850,6.788996032014438e-09,0.0
1851,3.2247193804124663e-09,0.0
1852,6.510545436100301e-09,0.0
1853,1.6124216628554677e-08,0.0
1854,2.5978321716024766e-09,0.0
1855,9.552486801567284e-09,0.0
1856,3.6240324075009767e-09,0.0
1857,1.4644527812635033e-09,0.0
1858,1.2723557318849998e-08,0.0
1859,1.2730433596175317e-08,0.0
1860,1.7851017636294486e-08,0.0
1861,9.431927239234028e-09,0.0
1862,1.2198563048571032e-08,0.0
1863,9.489779628779615e-09,0.0
1864,6.233146443435089e-09,0.0
1865,5.177528628053096e-09,0.0
1866,5.838735717134114e-09,0.0
1867,4.85281148598915e-09,0.0
1868,2.4699371437009177e-09,0.0
1869,1.12320943657096e-08,0.0
1870,6.880858549607183e-09,5.734048791339319e-10
1871,2.1242354542039266e-09,0.0
1872,7.256807155187062e-09,0.0
1873,1.3169209500674128e-08,0.0
1874,4.182226287507973e-09,0.0
1875,1.1443054503956773e-08,0.0
1876,5.441413541973361e-09,0.0
