year,serait_VERB aux_ADP,serait_VERB chaud_ADJ
1800,9.118077315406481e-08,0.0
1801,8.096020565062645e-08,0.0
1802,7.161088433349505e-08,2.2378401354217203e-09
1803,5.851017803593095e-08,0.0
1804,1.7055771195373381e-07,0.0
1805,2.2743021688143017e-08,0.0
1806,7.204172902675055e-08,0.0
1807,1.4804166426074516e-07,0.0
1808,9.970725756147658e-08,0.0
1809,1.1521055398588942e-07,1.3554183553310395e-08
1810,1.310471020588011e-07,4.680253518074551e-09
1811,1.7048121492280188e-07,2.5070767684098882e-09
1812,8.268345652595599e-08,0.0
1813,1.8979895344273245e-07,1.4378708002027452e-08
1814,1.0069366851439554e-07,0.0
1815,1.0519171667056071e-07,0.0
1816,8.1116134253989e-08,0.0
1817,1.370048607896024e-07,0.0
1818,1.6332012364728143e-07,0.0
1819,2.0391568966715568e-07,0.0
1820,1.6019750148643652e-07,0.0
1821,1.8046523564407835e-07,1.97229765852569e-09
1822,2.2357123441452131e-07,0.0
1823,1.9370065729162889e-07,9.882686669016039e-09
1824,1.3389569630817277e-07,0.0
1825,2.2718043624081474e-07,0.0
1826,1.5766292449370667e-07,0.0
1827,2.571619290847593e-07,4.608636583469661e-09
1828,1.742737225640667e-07,4.586150570418113e-09
1829,2.417635585061362e-07,0.0
1830,1.6385831713705556e-07,0.0
1831,2.2919073217053665e-07,0.0
1832,1.97537559643024e-07,0.0
1833,2.490480142114393e-07,0.0
1834,2.8563664500325103e-07,0.0
1835,2.3596834353156737e-07,2.2689263801112247e-09
1836,1.9893420244443405e-07,0.0
1837,2.1082409773498512e-07,6.957890930081589e-10
1838,2.1335107192044234e-07,0.0
1839,1.7268943963699712e-07,0.0
1840,2.496917943517474e-07,0.0
1841,2.471911102475133e-07,0.0
1842,2.555848936935945e-07,5.366612043644636e-09
1843,2.0260705468899687e-07,5.906911071384968e-10
1844,2.4094782702377415e-07,2.7442805805577564e-09
1845,2.148387778788674e-07,5.580227946389016e-10
1846,1.6216968390381226e-07,4.6836010625384006e-09
1847,1.9900994630006608e-07,3.775256551818984e-09
1848,2.0756671403887594e-07,8.045221711050488e-10
1849,1.9105065973690216e-07,0.0
1850,2.5594513886062487e-07,0.0
1851,2.27665182706005e-07,7.739326512989919e-09
1852,2.0833745395520964e-07,0.0
1853,1.7079725012081326e-07,2.388772735173461e-09
1854,2.0159177438472398e-07,0.0
1855,1.6186157836273196e-07,0.0
1856,1.868965284756996e-07,0.0
1857,1.8256844214192824e-07,5.369659827891837e-09
1858,1.453421845099001e-07,0.0
1859,1.7415233344308945e-07,1.018434669930457e-09
1860,1.922417283140021e-07,1.8308735638683515e-09
1861,2.0750240992128965e-07,9.431927461278633e-10
1862,2.222849246891201e-07,4.517986429419807e-09
1863,1.7231441518106294e-07,9.989241656072068e-10
1864,1.4575972784314217e-07,4.794727948009836e-10
1865,1.3461574610573734e-07,0.0
1866,1.591055394101204e-07,1.0217787504984699e-08
1867,1.921713419505977e-07,0.0
1868,1.5856996071761387e-07,9.87974813071446e-10
1869,2.1829330876244057e-07,3.4184632902167778e-09
1870,2.0069170147962723e-07,5.734048791339319e-10
1871,2.3685225869485294e-07,4.248470908407853e-09
1872,1.6448763062726357e-07,0.0
1873,2.4901777351260534e-07,4.788803575905831e-09
1874,1.463779284449629e-07,5.974609140757536e-10
1875,1.9338762058396242e-07,5.721527140956084e-10
1876,1.6445160611056053e-07,0.0
1877,1.737933246204193e-07,6.184815992682502e-10
1878,1.9445865007128305e-07,0.0
1879,1.808360252653074e-07,0.0
1880,1.6943114644618618e-07,6.417846254436199e-10
1881,2.0917522647323494e-07,2.091752326904839e-09
1882,1.8036094218132348e-07,1.3310770263785798e-09
1883,1.5355993809862412e-07,6.319338941018771e-10
1884,1.6834327709602803e-07,6.601696966868076e-10
1885,1.7016478182085848e-07,0.0
1886,1.4778431989270757e-07,6.453463874400711e-10
1887,1.7040493105469068e-07,1.9586774424595887e-09
1888,1.4837038975201722e-07,0.0
1889,1.434716381254475e-07,6.265136742733546e-10
1890,1.625487868750497e-07,6.554386478008212e-10
1891,2.1736090616286674e-07,0.0
1892,1.8805536683430546e-07,0.0
1893,1.6319803819442313e-07,1.847525021858587e-09
1894,1.795938686655063e-07,1.8904617871129403e-09
1895,2.0102172015867836e-07,0.0
1896,1.6570650984704116e-07,1.7691086373616827e-09
1897,1.701400407227993e-07,0.0
1898,1.4768306755286176e-07,0.0
1899,1.7135492669240193e-07,1.6582735185011188e-09
1900,1.7961043852210423e-07,2.595526460424935e-09
1901,1.8666388257315703e-07,2.794369402536745e-09
1902,1.4239823542538943e-07,0.0
1903,1.6956691695213522e-07,2.7001101354784396e-09
1904,1.6607592101536284e-07,3.7622376325430196e-09
1905,1.553388528918731e-07,0.0
