year,aurait_VERB armé_VERB,aurait_VERB charmé_VERB
1800,3.458580977167003e-08,0.0
1801,4.7623651688866175e-09,0.0
1802,0.0,0.0
1803,0.0,1.950339223455444e-09
1804,4.943701892301533e-09,0.0
1805,8.528632911009026e-09,0.0
1806,5.76333825108577e-09,2.881669125542885e-09
1807,1.9928686256776018e-08,0.0
1808,0.0,1.3596443970698147e-08
1809,1.581321384946932e-08,0.0
1810,0.0,0.0
1811,3.760615285841595e-08,0.0
1812,1.600324850414836e-08,5.3344164641089264e-09
1813,4.3136125782439194e-08,0.0
1814,0.0,9.440030979135372e-09
1815,2.4275012222574333e-08,0.0
1816,4.1716869958463576e-08,0.0
1817,2.0239355080775567e-08,0.0
1818,3.695565098382758e-08,1.0729059418679299e-08
1819,3.415846450138815e-08,6.210630232317271e-09
1820,6.763894333516873e-08,3.5599443393152796e-09
1821,2.1695274909916407e-08,9.861488514673056e-09
1822,2.105379337535851e-08,2.0051231786055723e-09
1823,1.680056804787e-08,9.882686669016039e-09
1824,1.8526447931321854e-08,7.57900142644985e-09
1825,2.6416328680056722e-08,0.0
1826,9.688783109140786e-09,2.642395191543301e-09
1827,2.2121454890111636e-08,1.8434546111834038e-09
1828,4.3109814384934e-08,9.172301251858528e-10
1829,1.628903412154159e-08,2.571952872898464e-09
1830,2.922314124020886e-08,0.0
1831,6.236482441579483e-09,0.0
1832,1.0823975493678972e-08,0.0
1833,1.6217079235048004e-08,1.1583628500844156e-09
1834,1.7735608537350345e-08,6.534171426153534e-09
1835,6.806779140333674e-09,6.806779140333674e-09
1836,2.5538851033957144e-08,8.064899859050456e-09
1837,7.653680356156656e-09,5.5663127440652715e-09
1838,2.0830134062066463e-08,5.680945491803868e-09
1839,2.1673573158409454e-08,3.4957374772659477e-09
1840,3.9492068282243054e-08,1.9109065441114126e-09
1841,2.1829865914924085e-08,1.219904177673925e-08
1842,1.0733224087289273e-08,1.341653010911159e-09
1843,1.0041748765843295e-08,5.906911071384968e-10
1844,7.683985892015244e-09,7.683985892015244e-09
1845,1.1718478631905782e-08,3.348136878855712e-09
1846,5.854501328173001e-09,5.854501328173001e-10
1847,4.368511241636952e-08,1.0786447290911383e-09
1848,1.930853166243196e-08,2.413566457803995e-09
1849,3.267971848686102e-08,4.8600607982507427e-08
1850,4.752297222410107e-09,4.073397619208663e-09
1851,1.0319102017319892e-08,7.094382858952031e-09
1852,1.4974254725075298e-08,1.9531636752390114e-08
1853,9.555090940693844e-09,8.360704129017904e-09
1854,8.313063126763609e-09,5.7152309551611324e-09
1855,1.1144567935161831e-08,2.2819829581521844e-08
1856,3.1063134287023786e-09,8.801221973442352e-09
1857,1.513267733344037e-08,9.274867096564776e-09
1858,1.2234189661342043e-08,1.1744822003834088e-08
1859,9.675129142294736e-09,4.582956236731661e-09
1860,7.323494255473406e-09,1.876645328025006e-08
1861,1.226150558863992e-08,2.8295783494058924e-09
1862,1.355395884417021e-08,1.3553959066214816e-09
1863,1.548332484446746e-08,8.990317823531768e-09
1864,3.835782358407869e-09,7.1920918109924514e-09
1865,2.0710114512212385e-08,1.882737743486018e-09
1866,1.1677471434268227e-08,3.8924903300596725e-09
1867,4.367530337390235e-09,5.82337378318698e-09
1868,1.0867722721741302e-08,3.457911734727759e-09
1869,8.30198221279943e-09,6.348574999037737e-09
1870,1.6628741050794815e-08,5.734048791339319e-09
