year,seront_VERB aux_ADP
1800,2.3581234387393124e-07
1801,1.142967676059925e-07
1802,1.0741632650024258e-07
1803,1.170203516309698e-07
1804,1.97748079244775e-07
1805,2.5301611117356515e-07
1806,3.832619892563116e-07
1807,2.448381430930624e-07
1808,2.991217762371434e-07
1809,3.185232952951367e-07
1810,1.3338721949196497e-07
1811,2.6575014544505393e-07
1812,2.213782899218586e-07
1813,2.5881673559879914e-07
1814,1.32160433263806e-07
1815,1.1867783911156948e-07
1816,2.688420579488593e-07
1817,2.164054064834886e-07
1818,1.871624846216946e-07
1819,1.500902300222151e-07
1820,1.2578470620638882e-07
1821,1.6370070765603373e-07
1822,1.4637399203820678e-07
1823,9.388552690836605e-08
1824,1.9368558845656025e-07
1825,1.0742640621508315e-07
1826,2.6423953158882796e-07
1827,1.926410089225783e-07
1828,1.715220367959347e-07
1829,1.5174521905692018e-07
1830,1.6072726793936454e-07
1831,1.2784789360509308e-07
1832,1.1094574858816486e-07
1833,1.5406225806202656e-07
1834,2.0629313812747796e-07
1835,1.686568680270284e-07
1836,1.4180783125539165e-07
1837,1.5237780903731846e-07
1838,1.4707336992714204e-07
1839,1.8457494754819948e-07
1840,1.8535793611107465e-07
1841,1.4510439072523695e-07
1842,1.3282364363931265e-07
1843,1.3054273584334197e-07
1844,1.4819114824149437e-07
1845,1.3894768091660126e-07
1846,1.0245377368711672e-07
1847,1.6611129449728423e-07
1848,1.7377678407370922e-07
1849,1.173118073793944e-07
1850,9.572484316322516e-08
1851,1.1995956228361138e-07
1852,1.3086195838063475e-07
1853,9.256494593046227e-08
1854,1.1482418216246515e-07
1855,1.0083180512765466e-07
1856,9.991974864176356e-08
1857,8.103305237927572e-08
1858,1.6149130432907555e-07
1859,1.3545181332119682e-07
1860,1.281611484438283e-07
1861,1.678883096989381e-07
1862,1.432201637285857e-07
1863,8.540801843537338e-08
1864,1.1986819714593366e-07
1865,6.871992597190513e-08
1866,9.050040006286508e-08
1867,9.171813353248126e-08
