year,devait_VERB armer_VERB,devait_VERB charmer_VERB
1800,0.0,9.432493897065797e-09
1801,9.524730337773235e-09,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,1.950339223455444e-09
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,3.458002950651462e-08,0.0
1807,6.832692633906845e-08,0.0
1808,6.798221985349073e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,1.0028307073639553e-08,1.7549536934780008e-08
1812,5.3344166417446104e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,2.1796227045456362e-08,0.0
1818,4.768470951432846e-09,1.0729059418679299e-08
1819,3.2088255608186955e-08,7.24573512300708e-09
1820,2.254631326081835e-08,9.493184904840746e-09
1821,1.577838126820552e-08,1.97229765852569e-09
1822,1.303330066093622e-08,0.0
1823,6.917880934764753e-09,0.0
1824,3.2842340402794434e-08,1.0947446504872005e-08
1825,1.2327619813845558e-08,0.0
1826,2.290075862276808e-08,3.5231937367541377e-09
1827,2.5808365222701468e-08,3.6869092223668076e-09
1828,1.3758452155343548e-08,3.668920500743411e-09
1829,3.600733933240008e-08,1.714635211591542e-09
1830,1.2524203008013046e-08,5.218417697960831e-09
1831,3.1182412207897414e-09,3.1182412207897414e-09
1832,8.117981842303834e-09,1.0823975493678972e-08
1833,1.2741991461950875e-08,9.266902800675325e-09
1834,2.8003592777992026e-09,1.0267983796552471e-08
1835,1.9664028627630614e-08,1.3613558280667348e-08
1836,1.4113575197427508e-08,1.344150035720304e-08
1837,7.653680356156656e-09,5.5663127440652715e-09
1838,1.7042836475411605e-08,1.3886756633496589e-08
1839,5.103776956616457e-08,6.9914749545318955e-09
1840,2.6115722917552375e-08,1.9746034141121527e-08
1841,1.0272877659645019e-08,9.630822361827995e-09
1842,1.2745703159566801e-08,1.6770663080478698e-08
1843,2.9534556134080958e-08,1.7720733325177207e-08
1844,2.195424464446205e-08,5.488561272137815e-10
1845,1.8414752389617206e-08,5.022205318283568e-09
1846,1.7563504428608212e-08,1.1123552745573306e-08
1847,1.1325769655456952e-08,5.3932236454556914e-09
1848,2.333114323960217e-08,3.218088684420195e-09
1849,1.5920887719289567e-08,2.011059585527164e-08
1850,2.7155984128057753e-09,8.146795238417326e-09
1851,9.029214709244116e-09,1.483370937194195e-08
1852,2.929745512858517e-08,1.1718981340891332e-08
1853,9.555090940693844e-09,2.09017620989016e-08
1854,9.352196350675968e-09,1.1430461910322265e-08
1855,2.9188154115900034e-08,1.8043586180738203e-08
1856,3.6240324075009767e-09,1.1907535402144731e-08
1857,9.763017949637742e-09,1.8549734193129552e-08
1858,1.3212924976357954e-08,1.8595969208945462e-08
1859,1.5276519604867644e-08,9.165912473463322e-09
1860,1.6935580049448618e-08,1.6935580049448618e-08
1861,1.1789909493131745e-08,5.187560159214399e-09
1862,1.355395884417021e-08,1.445755604123633e-08
1863,1.2486552236623538e-08,3.3963420520422005e-08
1864,1.0548401263577034e-08,1.6302074357099627e-08
1865,1.3649848362717876e-08,2.4946274379544775e-08
1866,2.238181906477621e-08,8.75810357570117e-09
1867,1.0190904120577216e-08,1.1161466417775046e-08
1868,1.7289560005906424e-08,1.1361710683388537e-08
1869,6.8369265804335555e-09,1.904572499711321e-08
1870,1.0321287824410774e-08,8.601073631098188e-09
1871,1.1683295220166201e-08,1.0621176826930423e-08
1872,1.8746751706544273e-08,1.3304146229131675e-08
1873,1.7958013742713774e-08,1.6760813181804224e-08
1874,1.1949218503559678e-08,1.3144139998644278e-08
1875,1.2587359599081083e-08,2.1169650921137873e-08
1876,1.269663130187837e-08,5.441413541973361e-09
1877,1.1751150275074451e-08,6.184816214727107e-09
1878,1.0870359723469392e-08,1.3889904337816006e-08
1879,1.9549840857280287e-08,8.55305515301552e-09
1880,4.492492600149944e-09,1.4119262203848848e-08
1881,8.367009307619355e-09,3.765154232837631e-08
1882,1.2645231528551903e-08,1.3310770263785798e-08
1883,1.1374810426900694e-08,1.64302811356265e-08
