year,est_VERB aux_ADP,est_VERB chaud_ADJ
1800,3.0466953830909915e-06,1.2230799484314048e-06
1801,3.155066906401771e-06,1.2763138101945515e-06
1802,2.7637324819806963e-06,1.3158499996279716e-06
1803,2.7967864753009053e-06,1.02197770956991e-06
1804,3.5396906241658144e-06,1.3125528539603692e-06
1805,3.104422376054572e-06,6.169044581838534e-07
1806,3.0660960419481853e-06,6.512572099381941e-07
1807,2.8184856546431547e-06,7.259735639308929e-07
1808,3.1498427688347874e-06,6.254364279811853e-07
1809,2.713095682338462e-06,1.0097866152136703e-06
1810,2.557758534749155e-06,7.511806643378804e-07
1811,2.7477560706756776e-06,1.1306916576359072e-06
1812,2.7152179882250493e-06,1.0028702490672003e-06
1813,2.4961436793091707e-06,5.722725973100751e-07
1814,2.608595423225779e-06,4.4997483428232954e-07
1815,2.23599840865063e-06,5.286557893668942e-07
1816,2.0047273210366257e-06,5.909889750910224e-07
1817,2.522134991522762e-06,7.566404747194611e-07
1818,2.416422603346291e-06,6.77122898196103e-07
1819,2.8020292575092753e-06,3.157070125325845e-07
1820,2.5311203444289276e-06,6.063771706976695e-07
1821,2.824330294970423e-06,7.238332386805268e-07
1822,2.9515413189074025e-06,4.1205282741429983e-07
1823,2.432129349472234e-06,3.775186314669554e-07
1824,2.4892808596632676e-06,4.126345345412119e-07
1825,2.9850452847313136e-06,3.927227680833312e-07
1826,2.379917305006529e-06,4.386376133425074e-07
1827,2.5089416340051685e-06,4.1662073613224493e-07
1828,2.3398540633934317e-06,4.833802904613549e-07
1829,2.7897115160158137e-06,5.281076482788194e-07
1830,2.490229007889866e-06,4.98880751820252e-07
1831,2.7237836093263468e-06,6.174117856971861e-07
1832,3.0050061923247995e-06,5.209038249631703e-07
1833,2.8611561901925597e-06,5.015710939915152e-07
1834,2.9357099720073165e-06,6.076779754948802e-07
1835,2.8732169994327705e-06,5.747946829615103e-07
1836,2.7185433282284066e-06,5.242184784037818e-07
1837,2.620341774672852e-06,5.441070811684767e-07
1838,2.687718506422243e-06,5.819813395646634e-07
1839,2.4672915515111526e-06,5.215640612732386e-07
1840,2.791834504023427e-06,4.439673091383156e-07
1841,2.6683799205784453e-06,4.3788139691969263e-07
1842,2.6189065920334542e-06,4.762868286434241e-07
1843,2.7248581773164915e-06,5.351661229724414e-07
1844,2.6756736133393133e-06,5.773966336164449e-07
1845,2.58308750744618e-06,5.117069008520048e-07
1846,2.676092663023155e-06,5.23977860211744e-07
1847,2.7311284611641895e-06,4.1204228296010115e-07
1848,2.950182761196629e-06,3.4111741342712776e-07
1849,2.84900102087704e-06,3.360145512942836e-07
1850,2.792314035104937e-06,4.053030693285109e-07
1851,2.8138902052887715e-06,3.908359929027938e-07
1852,3.117249207207351e-06,4.4206603888596874e-07
1853,2.968647322632023e-06,5.106001594867848e-07
1854,2.8612523692572722e-06,4.057814066982246e-07
1855,3.027076900252723e-06,4.4578271740647324e-07
1856,2.917863866969128e-06,4.4420283984436537e-07
1857,2.9733271276199957e-06,3.583027705644781e-07
1858,3.0389728635782376e-06,5.14325336098409e-07
1859,3.2498251130164135e-06,3.559429160304717e-07
1860,3.0905146104487358e-06,3.382538977803051e-07
1861,3.6124281450611306e-06,5.522393280443794e-07
1862,3.3306594104942633e-06,4.0571515569354233e-07
1863,3.3404023724870058e-06,4.090594529770897e-07
1864,3.3481585433037253e-06,4.425533859375719e-07
1865,3.2392501907452242e-06,4.25028048312015e-07
1866,3.2044927138485946e-06,4.325529801008088e-07
1867,3.4454960768925957e-06,3.935629990792222e-07
1868,3.233641564293066e-06,3.78394361177925e-07
1869,3.1117783692025114e-06,3.638221812707343e-07
1870,2.99661382996419e-06,3.7902063354522397e-07
1871,3.1959123134583933e-06,4.885741304860858e-07
1872,3.2867289974092273e-06,3.235326460071519e-07
1873,3.126490128124715e-06,4.770845407620072e-07
1874,3.011800572494394e-06,4.2001502720268036e-07
1875,3.2355235362047097e-06,3.9306891608248407e-07
1876,3.3186574910359923e-06,5.610701805380813e-07
1877,3.3002177133312216e-06,5.86320538786822e-07
1878,3.1264362405636348e-06,3.6536485481519776e-07
1879,3.2330549402104225e-06,3.5372994489080156e-07
1880,3.209564965800382e-06,3.151162388803641e-07
1881,3.2150232982530724e-06,5.494335937328287e-07
1882,3.426857801969163e-06,3.460800144239329e-07
1883,3.648154461188824e-06,5.997052880957199e-07
1884,3.0618671189586166e-06,4.6475946646751254e-07
1885,3.2408656807092484e-06,3.648229665031977e-07
1886,3.388068535059574e-06,3.7881832781749836e-07
1887,3.2651153105689446e-06,3.963057224609656e-07
1888,3.2514672057004645e-06,3.880456063143356e-07
1889,3.5786461012321524e-06,4.147520655806147e-07
1890,3.429910520935664e-06,3.6770109090866754e-07
1891,3.3400913252989994e-06,4.0731265471549705e-07
1892,3.2213883969234303e-06,3.3411171784791804e-07
1893,3.3877449823194183e-06,5.641109623866214e-07
1894,3.5943980947195087e-06,3.125563523553865e-07
1895,3.545565732565592e-06,3.5570010936680774e-07
1896,3.22744404002151e-06,3.803583581429848e-07
1897,2.975702500407351e-06,3.6591760022020026e-07
1898,3.221301540179411e-06,3.9891401115710323e-07
1899,3.184990646332153e-06,3.919053028766939e-07
1900,3.207551799278008e-06,3.2963188800749776e-07
1901,3.1805514026927995e-06,3.403542052637931e-07
1902,2.986925665027229e-06,3.94786809465586e-07
