year,soit_VERB aux_ADP,soit_VERB chaud_ADJ
1800,4.842013368033804e-07,1.477757365364596e-07
1801,4.2385050846860395e-07,1.5953922627431893e-07
1802,5.303680836732383e-07,1.0741632650024258e-07
1803,5.343929387890967e-07,1.0336798084153997e-07
1804,5.957160738034872e-07,1.087614407424553e-07
1805,3.809456075032358e-07,5.685755510853596e-08
1806,5.07173751884693e-07,4.610670600868616e-08
1807,5.864727654625312e-07,1.4234775136401367e-08
1808,4.44150515477304e-07,2.4926814390369145e-08
1809,6.822272098361282e-07,3.162642769893864e-08
1810,4.914266469313588e-07,2.574139479349924e-08
1811,4.1868182165671897e-07,2.757784400841956e-08
1812,6.347955832097796e-07,5.067695596494559e-08
1813,4.227340184570494e-07,1.00650957790549e-07
1814,3.9648131178182666e-07,3.4613449884091096e-08
1815,3.695196255648625e-07,5.394447111228828e-09
1816,4.4266235477152804e-07,4.1716869958463576e-08
1817,5.137682137501542e-07,6.227493631882908e-09
1818,4.1128060956907575e-07,2.384235386898581e-08
1819,4.482004669625894e-07,6.210630232317271e-09
1820,3.9159388620646496e-07,6.526564533260171e-08
1821,3.9643182958570833e-07,1.2819934447350079e-08
1822,4.6819627641525585e-07,3.208197085768916e-08
1823,4.2693207547017664e-07,2.4706716672540097e-08
1824,4.5895063749412657e-07,2.947389532437228e-08
1825,5.521012553799665e-07,1.2327619813845558e-08
1826,3.91955296663582e-07,5.284790383086602e-09
1827,5.244628482614644e-07,4.424290978022327e-08
1828,4.4944275146008295e-07,2.7516904310687096e-08
1829,5.229637167758483e-07,2.4862210068476998e-08
1830,5.552396942221094e-07,4.696576283436116e-08
1831,4.459084834707028e-07,4.8332740476553226e-08
1832,4.5866596565247164e-07,4.6001897402447867e-08
1833,5.015710939915152e-07,4.054269808762001e-08
1834,5.862085572516662e-07,3.267085801894609e-08
1835,4.749619222366164e-07,3.479020449503878e-08
1836,5.537897891372268e-07,3.36037508930076e-08
1837,4.7522394197585527e-07,2.2961039292113128e-08
1838,4.734121432647953e-07,1.7674054220151447e-08
1839,5.579196908911399e-07,2.23727205650448e-08
1840,5.274102363728161e-07,3.121147429396842e-08
1841,6.362763542711036e-07,5.008027770259105e-08
1842,5.829482461194857e-07,2.0795621225033756e-08
1843,5.274871455185348e-07,3.307870244384503e-08
1844,5.905691864427354e-07,2.8540519281250454e-08
1845,5.948522812104784e-07,3.013322924516615e-08
1846,5.47981301224354e-07,3.2785209214125643e-08
1847,6.11591588040028e-07,1.833696039454935e-08
1848,6.910845513630193e-07,1.528592186161859e-08
1849,6.217525765350729e-07,1.508294644736452e-08
1850,6.979087743275159e-07,2.7834882843080777e-08
1851,5.720652325180708e-07,2.192809134271556e-08
1852,6.608203761970799e-07,3.7761164861649377e-08
1853,5.858465215169417e-07,3.4040009921909586e-08
1854,5.954231596660975e-07,2.1302223984775992e-08
1855,5.742106168327155e-07,3.237231638308913e-08
1856,6.616447763008182e-07,4.866558001026533e-08
1857,5.555157258640975e-07,2.245494101771328e-08
1858,5.378149694479362e-07,2.4468379322684086e-08
1859,5.866183983016526e-07,1.2730433596175317e-08
1860,6.971051220716618e-07,1.327383358784573e-08
1861,7.144685127968842e-07,2.4051415081771665e-08
1862,6.953180786695157e-07,3.5692092836825395e-08
1863,6.083448056415364e-07,3.596127129412707e-08
1864,7.072223979776027e-07,1.4863656971897399e-08
1865,7.272074640241044e-07,2.3063536858103362e-08
1866,6.500458766822703e-07,1.6543083347642096e-08
1867,6.721143677168584e-07,2.329349513274792e-08
1868,7.365352416854876e-07,2.420538258718352e-08
1869,6.582984042324824e-07,2.1487483792270723e-08
1870,6.215709049683937e-07,1.204150201772336e-08
1871,8.018988637559232e-07,2.1242353653860846e-08
1872,7.625694706803188e-07,4.656451224605007e-08
1873,7.620183737344632e-07,1.496501056408306e-08
1874,7.127708840926061e-07,4.361464789326419e-08
1875,7.111858053576725e-07,1.602027666081085e-08
1876,7.140343427636253e-07,2.1765654167893445e-08
1877,8.003152061064611e-07,4.391219476929109e-08
1878,6.316886924651044e-07,1.6305540029293297e-08
1879,6.927974709469709e-07,9.163987790827832e-09
1880,6.725902608195611e-07,1.5402831010646878e-08
1881,7.878933274696465e-07,1.9523021421719022e-08
1882,6.968188017708599e-07,1.3976308999019693e-08
1883,7.690635470680718e-07,1.1374810426900694e-08
1884,6.628103506045591e-07,1.7164412113856997e-08
1885,7.373807306976232e-07,6.445635580831777e-09
1886,6.814858011239266e-07,9.034849313138693e-09
1887,7.318924417631933e-07,1.7628096316002484e-08
1888,7.285366336873267e-07,4.4384300679212174e-09
1889,7.042013976388262e-07,1.50363277384713e-08
1890,8.664898700772028e-07,1.4419650362640368e-08
1891,6.23398705101863e-07,1.4023283867459213e-08
1892,8.255630632447719e-07,1.6298132621272998e-08
1893,7.815030471647333e-07,3.0176241949675386e-08
1894,6.635521003772737e-07,1.1972924873759894e-08
1895,6.981592832744354e-07,1.745398137131815e-08
1896,7.819460279279156e-07,1.2383760683576384e-08
1897,8.262279607151868e-07,6.992056267307589e-09
1898,8.125397812364099e-07,1.2448380992680086e-08
1899,7.810468218849564e-07,1.2160672469008205e-08
1900,7.418015002258471e-07,1.142031713641245e-08
1901,8.299277283185802e-07,1.1736351446245408e-08
1902,7.610939860569488e-07,1.816805017540446e-08
1903,8.084129490271152e-07,1.1880484152015924e-08
1904,7.395484544758801e-07,1.9886112312406112e-08
1905,9.820925015446846e-07,8.257214467732865e-09
1906,8.842853276291862e-07,1.4403716441790948e-08
1907,8.377691642635909e-07,2.7771354993433306e-08
1908,7.146070970520668e-07,1.8663278922304016e-08
1909,7.096268745954148e-07,1.320236009405562e-08
1910,8.139141414176265e-07,1.2291546447329438e-08
1911,8.315744821629778e-07,1.0108711201439746e-08
1912,7.959995400597109e-07,1.5628263128064646e-08
1913,7.896151714703592e-07,1.2196876397752021e-08
1914,7.587410664200434e-07,8.705766774141921e-09
1915,8.22297181457543e-07,2.3561524287174507e-08
1916,7.943934861032176e-07,1.4283700444650549e-08
1917,7.665530574740842e-07,3.289927441585405e-09
1918,8.947887408794486e-07,6.89182577673364e-09
1919,7.881918122620846e-07,1.2890987832747669e-08
1920,7.254197953443509e-07,2.3473917920568965e-08
1921,7.194109912234126e-07,1.5902768879527684e-08
1922,6.65489778839401e-07,1.475587119159627e-08
1923,6.879134275550314e-07,1.0615948120573648e-08
1924,7.361117582149745e-07,1.5469948877466777e-08
1925,6.796873890380084e-07,1.5397448649423495e-08
1926,7.557081858067249e-07,2.452150482668003e-08
1927,6.042880045242782e-07,5.574612327308159e-09
1928,6.158635983410932e-07,2.0566874425753667e-08
1929,7.196702540568367e-07,6.684243825105796e-09
1930,6.858853112134966e-07,1.3654684494213143e-08
1931,6.843213782303792e-07,1.710803587684495e-08
1932,6.80587220358575e-07,3.287861094491973e-09
1933,8.098287480606814e-07,8.02946331646126e-09
1934,6.589868917217245e-07,1.0783422155213884e-08
1935,6.450904947996605e-07,8.377798899061872e-09
1936,7.456699222530005e-07,4.849885826274658e-09
1937,7.479123951270594e-07,1.888667711114067e-08
1938,7.182728722909815e-07,1.0372171566075394e-08
1939,6.851734610791027e-07,1.8352860564618823e-08
1940,6.821256306466239e-07,7.607348528892999e-09
1941,7.319726478272059e-07,1.7709016475464523e-08
1942,6.523555384774227e-07,1.517105907566929e-08
1943,7.490347115890472e-07,1.4516175816936538e-08
1944,6.137185550869617e-07,1.6065930807940276e-08
1945,8.64866080974025e-07,6.535512131478072e-09
1946,5.763337185271666e-07,9.744772988540262e-09
