year,auraient_VERB eu_VERB,auraient_VERB chu_VERB
1800,7.48311151710368e-07,0.0
1801,5.357661052585172e-07,0.0
1802,7.541520972154103e-07,0.0
1803,8.327948535225005e-07,0.0
1804,1.1815448033303255e-06,0.0
1805,8.69920597779128e-07,0.0
1806,8.78909077073331e-07,0.0
1807,1.412089773111802e-06,0.0
1808,1.0355958011132316e-06,0.0
1809,1.04819014268287e-06,0.0
1810,1.4742798839506577e-06,0.0
1811,1.3262435913929949e-06,0.0
1812,1.0028702490672003e-06,0.0
1813,1.1761783298425144e-06,0.0
1814,1.0037899755843682e-06,0.0
1815,1.2245394600540749e-06,0.0
1816,1.0753682317954372e-06,0.0
1817,1.2813068224204471e-06,0.0
1818,1.3494773156708106e-06,0.0
1819,1.538166088721482e-06,0.0
1820,1.7253863688893034e-06,0.0
1821,1.5640320043530664e-06,0.0
1822,1.4025836208020337e-06,0.0
1823,1.6434908047813224e-06,0.0
1824,1.5065370462252758e-06,0.0
1825,1.463464627704525e-06,0.0
1826,1.4039926554687554e-06,0.0
1827,1.944844598256168e-06,0.0
1828,2.1995178940414917e-06,0.0
1829,1.9949779925809707e-06,0.0
1830,1.8441888869347167e-06,0.0
1831,1.8023433767666575e-06,0.0
1832,1.692599198577227e-06,0.0
1833,1.813996277633123e-06,0.0
1834,1.6923504517762922e-06,0.0
1835,1.8121158973372076e-06,0.0
1836,1.6143242191901663e-06,0.0
1837,1.6128391280290089e-06,0.0
1838,1.8463073274688213e-06,0.0
1839,1.6800514686110546e-06,0.0
1840,1.8351073549638386e-06,0.0
1841,1.968540118468809e-06,0.0
1842,1.7421364191250177e-06,0.0
1843,1.9073415842285613e-06,0.0
1844,1.7267013845412293e-06,0.0
1845,1.829198708946933e-06,0.0
1846,1.8236771666124696e-06,0.0
1847,1.9458750557532767e-06,0.0
1848,1.955793322849786e-06,0.0
1849,2.066363776975777e-06,0.0
1850,2.0027537175337784e-06,0.0
1851,1.917418103403179e-06,0.0
1852,1.759149427016382e-06,0.0
1853,1.6834875395943527e-06,0.0
1854,1.7436649386581848e-06,0.0
1855,1.777823968041048e-06,0.0
1856,1.7705987147564883e-06,0.0
1857,1.7182911733470974e-06,0.0
1858,1.7034885786415543e-06,0.0
1859,1.709951789052866e-06,0.0
1860,1.7178170992337982e-06,0.0
1861,1.7519805624033324e-06,0.0
1862,1.661715373302286e-06,0.0
1863,1.6871829302544938e-06,0.0
1864,1.559724978505983e-06,0.0
1865,1.7796578504203353e-06,0.0
1866,1.8786131477099843e-06,0.0
1867,1.621809587959433e-06,0.0
1868,1.5975552969393902e-06,0.0
1869,1.7595319832253153e-06,0.0
1870,1.6949848031799775e-06,0.0
1871,2.039266064457479e-06,0.0
1872,1.8535095023253234e-06,0.0
1873,1.7119972426371532e-06,0.0
1874,1.5808815305717872e-06,0.0
1875,1.695288460723532e-06,0.0
1876,1.7557626961206552e-06,0.0
1877,1.4967254173825495e-06,0.0
1878,1.7012113175951527e-06,0.0
1879,1.6800644289105549e-06,0.0
1880,1.5434919760082266e-06,0.0
1881,1.551382979414484e-06,0.0
1882,1.6139308627316495e-06,0.0
1883,1.6815761227917392e-06,0.0
1884,1.543476741971972e-06,0.0
1885,1.6081861531347386e-06,0.0
1886,1.5669010053898091e-06,0.0
1887,1.5924047147564124e-06,0.0
1888,1.575008695908764e-06,0.0
1889,1.632068119761243e-06,0.0
1890,1.5750190414109966e-06,0.0
1891,1.5553097227893886e-06,0.0
1892,1.5896947616056423e-06,0.0
1893,1.6492239183207857e-06,0.0
1894,1.5564802424705704e-06,0.0
1895,1.6316463415932958e-06,0.0
1896,1.722522142699745e-06,0.0
1897,1.5644725408492377e-06,0.0
1898,1.5639692492186441e-06,0.0
1899,1.525611651231884e-06,0.0
1900,1.508000991634617e-06,0.0
1901,1.604526914888993e-06,0.0
1902,1.2639070519071538e-06,0.0
1903,1.3921768413638347e-06,0.0
1904,1.3108710845699534e-06,0.0
1905,1.4522375977321644e-06,0.0
1906,1.4748377452633576e-06,0.0
1907,1.5119959471121547e-06,0.0
1908,1.4518066109303618e-06,0.0
1909,1.4011004623171175e-06,0.0
1910,1.5353745084212278e-06,0.0
1911,1.3694642575501348e-06,0.0
1912,1.2862061566920602e-06,0.0
1913,1.4238527228371822e-06,0.0
1914,1.4418088767342851e-06,0.0
1915,1.6987859225991997e-06,0.0
1916,1.42946885262063e-06,2.197492410260793e-09
1917,1.511173309154401e-06,0.0
1918,1.5230934877763502e-06,0.0
1919,1.5524432228630758e-06,0.0
1920,1.4288801821749075e-06,0.0
1921,1.3691527556147776e-06,0.0
1922,1.29335205656389e-06,0.0
1923,1.3386710406848579e-06,0.0
1924,1.3497531199391233e-06,0.0
1925,1.2229974117872189e-06,0.0
1926,1.1547399481059983e-06,0.0
1927,1.1662089036690304e-06,0.0
1928,1.1186094752702047e-06,0.0
1929,1.2755765510519268e-06,0.0
1930,1.1207345096408972e-06,1.0503603542488804e-09
1931,1.1473788390503614e-06,2.2810713318222042e-09
1932,1.3151443454262335e-06,0.0
1933,1.1550956742212293e-06,0.0
1934,1.1658077028187108e-06,0.0
1935,9.7421832379041e-07,0.0
1936,1.064549906004686e-06,0.0
1937,1.1332006124575855e-06,0.0
1938,1.1616832580330083e-06,0.0
1939,1.1852889656438492e-06,0.0
