year,petit_ADJ an_NOUN,petit_ADJ chant_NOUN
1800,0.0,1.5720821977538435e-08
1801,7.143547975374531e-09,2.3811825844433088e-09
1802,8.951360541686881e-09,6.713520406265161e-09
1803,0.0,2.5354410126965377e-08
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,1.7057265822018053e-08
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,1.8128591960930862e-08
1809,2.259030518203531e-09,1.3554183553310395e-08
1810,7.020380277111826e-09,0.0
1811,7.521229861140455e-09,0.0
1812,5.3344164641089264e-09,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,8.091670444798638e-09,0.0
1816,2.3176038865813098e-09,6.952811304472561e-08
1817,6.227493631882908e-09,4.670620334934483e-09
1818,2.384235475716423e-09,3.5763532135746345e-09
1819,4.140420006848444e-09,2.070210003424222e-09
1820,0.0,0.0
1821,9.86148829262845e-10,1.4792232327920374e-08
1822,3.0076847679083585e-09,1.0025615893027862e-08
1823,1.9765373782121287e-09,8.894418535021487e-09
1824,8.421112696055388e-10,2.5263338088166165e-09
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,0.0,3.5231937367541377e-09
1827,9.217273055917019e-10,3.6869092223668076e-09
1828,1.8344602503717056e-09,1.3758452155343548e-08
1829,2.571952872898464e-09,2.571952872898464e-09
1830,3.1310507520032616e-09,4.174734336004349e-09
1831,0.0,4.677361609140007e-09
1832,0.0,2.1647950987357945e-08
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,0.0,6.534171426153534e-09
1835,3.025235173481633e-09,6.806779140333674e-09
1836,1.3441500135158435e-09,7.392825018825988e-09
1837,5.566312633042969e-09,9.045257876039159e-09
1838,1.0099459268886335e-08,3.787297142565649e-09
1839,3.4957376993105527e-09,3.4957374772659477e-09
1840,6.369688665408546e-10,6.3696887764308485e-09
1841,0.0,2.5682194149112547e-08
1842,1.341653010911159e-09,9.391571076378114e-09
1843,4.134837805480629e-09,5.906910960362666e-09
1844,1.6465684371524958e-09,3.2931368743049916e-09
1845,3.9061593959388574e-09,2.7901139176833567e-09
