year,soit_VERB au_ADP,soit_VERB chaud_ADJ
1800,3.1347320104124776e-06,1.477757365364596e-07
1801,2.5478652787569445e-06,1.5953922627431893e-07
1802,2.7928245174280164e-06,1.0741632650024258e-07
1803,3.032777378564333e-06,1.0336798084153997e-07
1804,3.0304892404409145e-06,1.087614407424553e-07
1805,2.9338498526154666e-06,5.685755510853596e-08
1806,2.9652376269950764e-06,4.610670600868616e-08
1807,3.254069753211297e-06,1.4234775136401367e-08
1808,2.6943619784169925e-06,2.4926814390369145e-08
1809,3.0745405459331465e-06,3.162642769893864e-08
1810,3.0023825181579866e-06,2.574139479349924e-08
1811,3.028548626105021e-06,2.757784400841956e-08
1812,2.77656375047286e-06,5.067695596494559e-08
1813,3.315730121133953e-06,1.00650957790549e-07
1814,2.6935556434182217e-06,3.4613449884091096e-08
1815,2.503023448063857e-06,5.394447111228828e-09
1816,2.6281627469870728e-06,4.1716869958463576e-08
1817,3.0359032292537336e-06,6.227493631882908e-09
1818,2.722796800247451e-06,2.384235386898581e-08
1819,2.804099367481605e-06,6.210630232317271e-09
1820,3.0413791911598764e-06,6.526564533260171e-08
1821,3.1073549018323376e-06,1.2819934447350079e-08
1822,3.0377616297982968e-06,3.208197085768916e-08
1823,2.7108210141069122e-06,2.4706716672540097e-08
1824,2.8867574606294966e-06,2.947389532437228e-08
1825,2.831830374638855e-06,1.2327619813845558e-08
1826,2.5657658118127813e-06,5.284790383086602e-09
1827,2.9937702947790967e-06,4.424290978022327e-08
1828,2.7837934668539788e-06,2.7516904310687096e-08
1829,2.7374151365666677e-06,2.4862210068476998e-08
1830,2.9097898661678556e-06,4.696576283436116e-08
1831,2.8812549248691255e-06,4.8332740476553226e-08
1832,2.8453526224048176e-06,4.6001897402447867e-08
1833,2.847255989202324e-06,4.054269808762001e-08
1834,3.009452880231578e-06,3.267085801894609e-08
1835,3.075907898164587e-06,3.479020449503878e-08
1836,3.242089735788767e-06,3.36037508930076e-08
1837,3.0566014013189147e-06,2.2961039292113128e-08
1838,2.8808706784566596e-06,1.7674054220151447e-08
1839,2.9168434556581246e-06,2.23727205650448e-08
1840,2.8536205407547754e-06,3.121147429396842e-08
1841,2.98362894479709e-06,5.008027770259105e-08
1842,3.064335408531349e-06,2.0795621225033756e-08
1843,3.2824705851197677e-06,3.307870244384503e-08
1844,3.1608625183920935e-06,2.8540519281250454e-08
1845,2.962542997142492e-06,3.013322924516615e-08
1846,3.334724026249347e-06,3.2785209214125643e-08
1847,3.143710097575081e-06,1.833696039454935e-08
1848,3.024198783840859e-06,1.528592186161859e-08
1849,3.0903281391658766e-06,1.508294644736452e-08
1850,2.9966629009337e-06,2.7834882843080777e-08
1851,3.1647395886125196e-06,2.192809134271556e-08
1852,2.8945885808262517e-06,3.7761164861649377e-08
1853,3.0122424892198296e-06,3.4040009921909586e-08
1854,3.20780332963011e-06,2.1302223984775992e-08
1855,3.28074845157289e-06,3.237231638308913e-08
1856,3.0623075062408134e-06,4.866558001026533e-08
1857,3.0836494016028837e-06,2.245494101771328e-08
1858,3.1804001139335014e-06,2.4468379322684086e-08
1859,3.208578400304418e-06,1.2730433596175317e-08
1860,3.0232299805810214e-06,1.327383358784573e-08
1861,3.3525786129473545e-06,2.4051415081771665e-08
1862,3.690743001882879e-06,3.5692092836825395e-08
1863,3.1770782200624126e-06,3.596127129412707e-08
1864,2.9746493295235155e-06,1.4863656971897399e-08
1865,3.186062912163834e-06,2.3063536858103362e-08
1866,3.3261330738554307e-06,1.6543083347642096e-08
1867,3.3683364932812765e-06,2.329349513274792e-08
1868,3.0454323018958007e-06,2.420538258718352e-08
1869,3.1098249042571524e-06,2.1487483792270723e-08
1870,3.027577800907011e-06,1.204150201772336e-08
1871,3.46462795519642e-06,2.1242353653860846e-08
1872,3.2843100843393813e-06,4.656451224605007e-08
1873,3.22166770416743e-06,1.496501056408306e-08
1874,3.099029695974309e-06,4.361464789326419e-08
1875,3.370551530323951e-06,1.602027666081085e-08
1876,3.3851636267456797e-06,2.1765654167893445e-08
1877,3.29032208057356e-06,4.391219476929109e-08
1878,3.056382752220088e-06,1.6305540029293297e-08
1879,3.4126691765834494e-06,9.163987790827832e-09
1880,3.2808029359898683e-06,1.5402831010646878e-08
1881,3.368418347804436e-06,1.9523021421719022e-08
1882,3.5692830238076567e-06,1.3976308999019693e-08
1883,3.206432555913352e-06,1.1374810426900694e-08
1884,3.3536621586449655e-06,1.7164412113856997e-08
1885,3.3923381401734787e-06,6.445635580831777e-09
1886,3.3558011764966977e-06,9.034849313138693e-09
1887,3.3232226854806868e-06,1.7628096316002484e-08
1888,3.3953992755186846e-06,4.4384300679212174e-09
1889,3.4163791227115325e-06,1.50363277384713e-08
1890,3.4653042391141753e-06,1.4419650362640368e-08
1891,3.518569478444533e-06,1.4023283867459213e-08
1892,3.483412328364466e-06,1.6298132621272998e-08
1893,3.6186855894015935e-06,3.0176241949675386e-08
1894,3.6114121257924126e-06,1.1972924873759894e-08
1895,3.446860631584059e-06,1.745398137131815e-08
1896,3.6007259396342306e-06,1.2383760683576384e-08
1897,3.584594210792602e-06,6.992056267307589e-09
1898,3.7198025069073992e-06,1.2448380992680086e-08
1899,3.7349847730183683e-06,1.2160672469008205e-08
1900,3.444782976202987e-06,1.142031713641245e-08
1901,3.7014217610931155e-06,1.1736351446245408e-08
1902,4.206149128549441e-06,1.816805017540446e-08
1903,3.6030268688591605e-06,1.1880484152015924e-08
1904,3.7203155471843274e-06,1.9886112312406112e-08
1905,3.75651642059438e-06,8.257214467732865e-09
1906,3.6657458224453876e-06,1.4403716441790948e-08
1907,3.7481042483022975e-06,2.7771354993433306e-08
1908,3.6913999394982966e-06,1.8663278922304016e-08
1909,3.7665233634243123e-06,1.320236009405562e-08
1910,3.7211320744745535e-06,1.2291546447329438e-08
1911,3.816304413817306e-06,1.0108711201439746e-08
1912,3.5595975873548014e-06,1.5628263128064646e-08
1913,3.682926248416152e-06,1.2196876397752021e-08
1914,3.836564403059128e-06,8.705766774141921e-09
1915,3.791049209667108e-06,2.3561524287174507e-08
1916,3.873080387961636e-06,1.4283700444650549e-08
1917,3.931463197659468e-06,3.289927441585405e-09
1918,3.8525307104464446e-06,6.89182577673364e-09
1919,4.114066683769124e-06,1.2890987832747669e-08
1920,4.034485058923565e-06,2.3473917920568965e-08
1921,4.04157530908833e-06,1.5902768879527684e-08
1922,3.545097982282641e-06,1.475587119159627e-08
1923,3.472476663546331e-06,1.0615948120573648e-08
1924,3.819788346959285e-06,1.5469948877466777e-08
1925,3.676690816689643e-06,1.5397448649423495e-08
1926,3.7607071448064744e-06,2.452150482668003e-08
1927,3.391594191270997e-06,5.574612327308159e-09
1928,3.4460939275504643e-06,2.0566874425753667e-08
1929,3.4914033477662088e-06,6.684243825105796e-09
1930,3.6878152229746775e-06,1.3654684494213143e-08
1931,3.574438778741751e-06,1.710803587684495e-08
1932,3.640758123424348e-06,3.287861094491973e-09
1933,3.753200701339665e-06,8.02946331646126e-09
1934,3.4279300535899893e-06,1.0783422155213884e-08
1935,3.545005839100668e-06,8.377798899061872e-09
1936,3.6725761134448476e-06,4.849885826274658e-09
1937,3.969979488260833e-06,1.888667711114067e-08
1938,3.662673023541174e-06,1.0372171566075394e-08
1939,3.635395785295259e-06,1.8352860564618823e-08
1940,3.4435932150245208e-06,7.607348528892999e-09
1941,3.470967101293354e-06,1.7709016475464523e-08
1942,3.337632897171261e-06,1.517105907566929e-08
1943,3.2835590140223303e-06,1.4516175816936538e-08
1944,3.3192213777510915e-06,1.6065930807940276e-08
1945,3.1936868154502918e-06,6.535512131478072e-09
1946,3.3661229892345546e-06,9.744772988540262e-09
1947,3.4391712659953555e-06,8.344609447874518e-09
1948,3.674698049849212e-06,9.784699273041042e-09
1949,3.983741805768659e-06,1.3743811422273211e-08
1950,3.658564338593351e-06,1.595304155443955e-08
1951,3.7901282468055797e-06,1.5992101864981123e-08
1952,3.6168677866044163e-06,1.2653764258629963e-08
1953,3.470249779979895e-06,1.4005975934594517e-08
1954,3.3627297568727954e-06,1.3681550115052232e-08
1955,3.5214801386018735e-06,1.3139850985055546e-08
