year,fallait_VERB armer_VERB,fallait_VERB charmer_VERB
1800,0.0,0.0
1801,7.143547975374531e-09,0.0
1802,0.0,0.0
1803,2.7304748684287006e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,0.0,5.76333825108577e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,3.042164919975221e-08,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,3.1466771410748606e-09,0.0
1815,1.3486118000116676e-08,0.0
1816,0.0,0.0
1817,6.227493631882908e-09,0.0
1818,2.384235475716423e-09,9.536941902865692e-09
1819,6.210630232317271e-09,6.210630232317271e-09
1820,1.779972080839798e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,4.010246357211145e-09,4.010246357211145e-09
1823,0.0,0.0
1824,9.263223965660927e-09,8.421112696055388e-10
1825,6.163809906922779e-09,7.044354433105582e-09
1826,0.0,0.0
1827,1.3825909306319772e-08,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,1.0436835395921662e-08,0.0
1831,1.2472964883158966e-08,0.0
1832,2.0294953273491956e-08,0.0
1833,1.1583628278799551e-08,1.0425265983826648e-08
1834,3.733812370398937e-09,0.0
1835,3.781543966852041e-09,7.563087933704082e-10
1836,6.048674894287842e-09,0.0
1837,3.478945576063097e-09,0.0
1838,1.4517972601879592e-08,0.0
1839,1.957613093850341e-08,0.0
1840,1.592422194107712e-08,0.0
1841,2.1829865914924085e-08,1.926164561183441e-09
1842,4.695785538189057e-09,0.0
1843,8.269675610961258e-09,0.0
1844,5.488561161115513e-09,0.0
1845,1.2276501593078137e-08,5.022205318283568e-09
1846,1.9905304071698993e-08,1.7563503984519002e-09
1847,8.089835468183537e-09,0.0
1848,1.367687652020777e-08,8.045221711050488e-10
1849,0.0,0.0
1850,1.0183494048021657e-08,0.0
1851,1.5478653025979838e-08,0.0
1852,7.812654523320361e-09,0.0
1853,8.360704129017904e-09,4.180352064508952e-09
1854,2.0782657816909023e-09,5.195664454227256e-10
1855,2.653468555990912e-09,0.0
1856,5.694908100650764e-09,0.0
1857,2.4895696171256532e-08,1.4644527812635033e-09
1858,1.663849857891364e-08,4.893676019968041e-10
1859,4.582956236731661e-09,0.0
1860,1.373155145145688e-09,9.154367819341758e-10
1861,2.0750240636857598e-08,7.073945429425521e-09
1862,5.421583626485926e-09,0.0
1863,1.4983863039219614e-09,1.9978483312144135e-09
1864,9.589456340108882e-09,0.0
1865,2.023943146411966e-08,0.0
1866,1.9462451206209153e-08,0.0
1867,1.3102591012170706e-08,2.426405742994575e-09
1868,9.385760613156435e-09,0.0
1869,2.441759683335931e-09,0.0
1870,5.160643912205387e-09,0.0
1871,2.8677177965619194e-08,0.0
1872,1.69325495846806e-08,6.047339295989218e-10
1873,1.0774807712721213e-08,0.0
1874,2.4495896866483235e-08,0.0
1875,1.830888685105947e-08,0.0
1876,9.673623679873344e-09,0.0
1877,7.421779191219002e-09,0.0
1878,1.8117265465633636e-09,0.0
1879,5.498392852132383e-09,6.10932526790009e-10
1880,1.0910338410496934e-08,6.417846254436199e-10
1881,5.5780060570498335e-09,8.367009307619355e-09
1882,1.3976308999019693e-08,6.655385131892899e-10
1883,4.423537092179686e-09,1.8958017378167824e-09
1884,7.2618666635548834e-09,1.9805090900604227e-09
1885,4.511945039809007e-09,4.511945039809007e-09
1886,7.098810428374236e-09,0.0
1887,6.528924512139156e-09,0.0
1888,7.60873763994141e-09,0.0
1889,4.385595886446936e-09,0.0
1890,5.243509182406569e-09,0.0
1891,8.286486163910922e-09,1.2748440081367107e-09
1892,1.3163876211308434e-08,6.268512375839919e-10
1893,1.1085149687062312e-08,0.0
1894,8.192000855444803e-09,6.301539290376468e-10
1895,1.5046536461227333e-08,1.8055843487019274e-09
1896,5.89702897624278e-10,1.7691086373616827e-09
1897,9.905413378419325e-09,0.0
1898,6.224190496340043e-09,0.0
