year,avait_VERB eu_VERB,avait_VERB chu_VERB
1800,1.2391152267809957e-05,0.0
1801,1.138919651566539e-05,0.0
1802,7.617607934662374e-06,0.0
1803,1.0118359568878077e-05,0.0
1804,1.3528439922083635e-05,0.0
1805,1.1561983228602912e-05,0.0
1806,1.0907117939495947e-05,0.0
1807,1.8698801795835607e-05,0.0
1808,1.3834382116328925e-05,0.0
1809,1.7141523130703717e-05,0.0
1810,1.453920776839368e-05,0.0
1811,2.3466238417313434e-05,0.0
1812,2.3106025764718652e-05,0.0
1813,2.3678856450715102e-05,0.0
1814,1.9320597857586108e-05,0.0
1815,1.9770648577832617e-05,0.0
1816,1.8334563719690777e-05,0.0
1817,2.0687733922386542e-05,0.0
1818,2.3510945538873784e-05,0.0
1819,2.3209124265122227e-05,0.0
1820,2.4361885152757168e-05,0.0
1821,2.5530407583573833e-05,0.0
1822,2.5793904569582082e-05,0.0
1823,2.578294152044691e-05,0.0
1824,2.5482286218903027e-05,0.0
1825,2.6175059247179888e-05,0.0
1826,2.7164704079041258e-05,0.0
1827,2.9689757866435684e-05,0.0
1828,2.8421292881830595e-05,0.0
1829,3.514916534186341e-05,0.0
1830,3.099426976405084e-05,0.0
1831,2.8018956072628498e-05,0.0
1832,2.9910703233326785e-05,0.0
1833,2.7746265914174728e-05,0.0
1834,2.833496910170652e-05,1.8669061851994684e-09
1835,2.9176881071180105e-05,1.5126175867408165e-09
1836,2.799259527819231e-05,6.720750067579218e-10
1837,2.9207138140918687e-05,0.0
1838,3.0011173294042237e-05,0.0
1839,2.968230728583876e-05,0.0
1840,3.34848155034706e-05,0.0
1841,2.7531312298378907e-05,0.0
1842,3.311266846139915e-05,0.0
1843,2.855932507372927e-05,0.0
1844,3.128260505036451e-05,0.0
1845,3.197637852281332e-05,0.0
1846,3.0318120479932986e-05,0.0
1847,3.148024552501738e-05,5.393223645455691e-10
1848,2.7911288270843215e-05,0.0
1849,3.179652776452713e-05,0.0
1850,2.8255801225895993e-05,0.0
1851,2.934817166533321e-05,0.0
1852,2.822972419380676e-05,0.0
1853,2.901283914980013e-05,0.0
1854,2.812153434206266e-05,0.0
1855,3.123928399872966e-05,0.0
1856,2.9078200896037742e-05,5.177189232874468e-10
1857,2.884093191823922e-05,0.0
1858,2.979318924190011e-05,2.4468380654951716e-09
1859,3.131839548586868e-05,0.0
1860,3.206225665053353e-05,0.0
1861,2.8915459552081302e-05,0.0
1862,3.0668994440929964e-05,0.0
1863,2.8671620384557173e-05,0.0
1864,2.8052514608134516e-05,0.0
1865,2.97373717330629e-05,0.0
1866,2.990746361319907e-05,4.865612912574591e-10
1867,3.005491817020811e-05,4.85281148598915e-10
1868,2.825360934366472e-05,0.0
1869,2.9599497793242335e-05,0.0
1870,3.0288965717772953e-05,0.0
1871,2.718065479712095e-05,0.0
1872,2.882766602851916e-05,0.0
1873,2.7530233637662604e-05,5.986004469882289e-10
1874,2.8935630325577222e-05,5.974609140757536e-10
1875,2.8183671020087786e-05,0.0
1876,2.71206081379205e-05,6.04601479992084e-10
1877,2.6672018066165037e-05,0.0
1878,2.8108937840443105e-05,0.0
1879,2.8256239602342248e-05,0.0
1880,2.6748941309051588e-05,0.0
1881,2.6584777515381575e-05,4.183504653809678e-09
1882,2.6939002054859884e-05,0.0
1883,2.6016086849267595e-05,6.319338941018771e-10
1884,2.7030648197978735e-05,6.601696966868076e-10
1885,2.6017163690994494e-05,6.445635691854079e-10
1886,2.609458169899881e-05,3.2267319927115068e-09
1887,2.5163128157146275e-05,2.6115698492645834e-09
1888,2.5867171643767506e-05,2.53624587998047e-09
1889,2.4682758521521464e-05,5.012109394186837e-09
1890,2.495844819350168e-05,1.3108772956016423e-09
1891,2.3974078430910595e-05,1.2748440081367107e-09
1892,2.399774530204013e-05,0.0
1893,2.501179369573947e-05,0.0
