year,ont_VERB armé_VERB,ont_VERB charmé_VERB
1800,1.3205490390078012e-07,1.3519907327008696e-07
1801,2.524053570596152e-07,9.762848840466631e-08
1802,1.6112448975036386e-07,2.9091921760482364e-08
1803,1.7748087088875764e-07,4.8758479920252285e-08
1804,2.4471324167052444e-07,1.7302956223375077e-07
1805,1.734155397059567e-07,1.0802935435094696e-07
1806,2.679952295636667e-07,1.556101327793158e-07
1807,1.395008029092537e-07,9.679647661187119e-08
1808,1.5635910699529632e-07,9.290903335568146e-08
1809,1.2198765064752592e-07,8.810219043198231e-08
1810,2.2699229873524018e-07,5.8503168531842675e-08
1811,1.4541045700866562e-07,4.512738271955641e-08
1812,5.601137331723294e-08,6.401299401659344e-08
1813,1.6966876081880855e-07,9.489947427887557e-08
1814,2.8634763005186414e-07,8.496028414128887e-08
1815,3.1018070512089935e-07,3.236668177919455e-08
1816,1.0660977523002657e-07,4.4034472068688046e-08
1817,1.5101672623529794e-07,7.78436684001349e-08
1818,1.5020683452604544e-07,8.821671571013212e-08
1819,1.8114337052566043e-07,3.519356894798875e-08
1820,3.2395493398951203e-07,7.475883201379929e-08
1821,2.6626017302078253e-07,6.80442684419802e-08
1822,1.9349438673543773e-07,4.511527151862538e-08
1823,1.689939459481593e-07,7.41201550136239e-08
1824,2.282121478458521e-07,7.157945525193554e-08
1825,1.1887348261296893e-07,5.4593745302256025e-08
1826,1.2155018724868683e-07,8.279504981612007e-08
1827,1.3180700741965978e-07,5.99122760291948e-08
1828,1.4308789286765489e-07,4.494427585655103e-08
1829,1.0287811136322489e-07,4.372319883927389e-08
1830,1.2002361016172358e-07,5.7402597564149005e-08
1831,1.5591205393405971e-07,4.365537709105638e-08
1832,9.87687754916422e-08,5.817886894465829e-08
1833,1.7491279447057195e-07,6.950177322551099e-08
1834,1.5588666890664626e-07,3.080395205579123e-08
1835,1.505054569861386e-07,5.974839467626225e-08
1836,1.1828520340984028e-07,4.5029025841358816e-08
1837,9.74104708006962e-08,9.045258053674843e-08
1838,1.1488134710191389e-07,4.8603647551104245e-08
1839,1.139610470435315e-07,6.292327392465324e-08
1840,1.4459193797833336e-07,5.477932418784803e-08
1841,1.701445304647109e-07,4.8154113141407606e-08
1842,1.2477372335339965e-07,5.299529526325841e-08
1843,9.510126919298756e-08,6.792947987444009e-08
1844,1.0647808634800526e-07,3.896878647546842e-08
1845,6.975284994048536e-08,5.970844085823046e-08
1846,1.071373738614767e-07,4.7421460758201306e-08
1847,1.0354989399274928e-07,4.6381724239097366e-08
1848,1.2389641312893218e-07,4.183515400768556e-08
1849,1.349085845259168e-07,4.189707314417035e-08
1850,1.1609183037109005e-07,5.363306776473564e-08
1851,9.803146938658358e-08,4.063146263888484e-08
1852,9.310080173463575e-08,1.0677294426386652e-07
1853,7.464915086075052e-08,6.449686651421871e-08
1854,1.0339372347178966e-07,9.715892357320399e-08
1855,1.178140038859965e-07,7.48278168316574e-08
1856,1.0457922483553261e-07,7.196292872713173e-08
1857,6.834112392661851e-08,7.956859571223163e-08
1858,1.120651815789131e-07,1.1793759346900856e-07
1859,1.3596102910184982e-07,1.3239650620278098e-07
1860,1.6294774629610487e-07,6.270741836900129e-08
1861,1.0799557215168676e-07,9.62056573294845e-08
1862,1.3825038536197098e-07,1.0662447813558629e-07
1863,1.0338865080727899e-07,1.1687412637684247e-07
1864,1.1603241700797184e-07,1.0548401818688546e-07
1865,9.507825599053277e-08,8.378182692059255e-08
1866,1.1288222206973231e-07,6.909170480184912e-08
1867,8.298307285770079e-08,6.405711339141362e-08
1868,7.854399863838069e-08,5.9772476745934e-08
1869,6.592750878553488e-08,1.0841412634299274e-07
1870,6.76617770700716e-08,9.059797179133966e-08
1871,1.0302541952889044e-07,6.266494367856978e-08
1872,7.80106761411048e-08,1.0401423888861672e-07
1873,7.003625429602423e-08,5.986004292246605e-08
1874,7.528007550661187e-08,7.64749983339641e-08
1875,7.209124441853731e-08,8.696721209844327e-08
1876,4.9577320693217075e-08,6.95291717534019e-08
1877,7.2362348113586e-08,8.782438776222534e-08
1878,6.824170112329497e-08,1.0568404995581204e-07
1879,7.636656818021947e-08,9.774920151084387e-08
1880,6.417845921369292e-08,8.792449079919606e-08
1881,6.414706860136121e-08,9.97068571040316e-08
1882,7.320923756104492e-08,9.250985200104367e-08
1883,5.9401784824331116e-08,1.2069937693759414e-07
1884,5.6114424218378645e-08,8.120087358065575e-08
1885,6.574548194748786e-08,6.123353557541122e-08
1886,5.549978965291302e-08,8.64764189145717e-08
1887,5.157850324621904e-08,9.466940614766273e-08
1888,8.369611648184616e-08,9.510922249766907e-08
1889,7.267558821411058e-08,7.330209655931341e-08
1890,4.4569826940232815e-08,9.766036157543567e-08
1891,5.16311828846483e-08,1.1792307219593567e-07
1892,6.895363546810529e-08,8.525177008777973e-08
1893,7.574852389780062e-08,8.806535600758281e-08
1894,8.822154740073529e-08,1.0397540139983619e-07
1895,7.40289569645114e-08,1.1134436639359535e-07
1896,5.897028859669362e-08,7.076434588304537e-08
1897,5.127508018176741e-08,7.341659369330955e-08
1898,8.091447512015293e-08,7.638779397911577e-08
1899,7.130576129554811e-08,7.296403481404923e-08
1900,4.4643056029691763e-08,8.565237819002647e-08
1901,4.135666742399735e-08,7.71246002617687e-08
1902,3.928226988136885e-08,7.85645397627377e-08
1903,4.698191591323564e-08,7.668312917985531e-08
1904,6.98701265733348e-08,6.610788716443494e-08
1905,7.276669999889407e-08,5.98648061123086e-08
1906,5.041300954466976e-08,6.173021205313489e-08
1907,6.377125494338998e-08,9.462832001316812e-08
1908,4.272908427083166e-08,7.023286463514467e-08
1909,4.840865430733032e-08,9.021613323056954e-08
1910,4.863177049951872e-08,5.611358089296914e-08
1911,5.160762883704706e-08,6.650467987423525e-08
1912,5.1052328586820295e-08,6.511776778905798e-08
1913,5.5151093969474374e-08,6.575707051093005e-08
1914,6.161004506566314e-08,8.370929549528228e-08
1915,6.479419312199752e-08,4.5944972271172446e-08
1916,7.1418504887788e-08,4.8344833913915863e-08
1917,8.444146715191891e-08,5.373548150888752e-08
1918,6.202643021424592e-08,7.351280828515883e-08
1919,5.893022919645219e-08,9.023691660559052e-08
1920,6.284952291935042e-08,6.66356356759934e-08
1921,3.937828513267405e-08,7.19411019645122e-08
1922,3.467629738906908e-08,5.976127831486266e-08
1923,5.095655097875351e-08,7.325004380831501e-08
1924,2.9650736976805092e-08,7.34822620529485e-08
1925,5.829034321891413e-08,7.258797296572084e-08
1926,4.0126099776216506e-08,7.467912832570534e-08
1927,3.4562596340492746e-08,7.581472916129428e-08
1928,3.085031252680892e-08,6.969885268937048e-08
1929,2.6736975300423182e-08,6.127223173280072e-08
1930,4.411513643276521e-08,3.7812974085227324e-08
1931,5.47457119637329e-08,6.386999906737856e-08
1932,3.3974561830518724e-08,4.931791508511196e-08
1933,3.0970788600370724e-08,5.047091278242988e-08
1934,3.714289675826876e-08,4.7926318913482646e-08
1935,2.5133395809007197e-08,4.547948151412129e-08
1936,6.30485175179274e-08,4.4861445669397426e-08
1937,2.6441348666139675e-08,4.280980003823487e-08
1938,3.1116513810047763e-08,3.5006078036303734e-08
1939,5.047036566452334e-08,3.6705721129237645e-08
1940,3.0429394115571995e-08,2.7893612752905028e-08
1941,3.246652813260198e-08,2.9515025090631752e-08
1942,2.730790527039062e-08,2.7307905936524435e-08
1943,2.9032351633873077e-08,2.9032351855917682e-08
1944,3.534504600111177e-08,3.855823393905666e-08
1945,3.703456741277478e-08,3.921307367704685e-08
1946,5.0115975369635635e-08,4.037120149291695e-08
1947,4.529931052488223e-08,5.006765846360395e-08
1948,4.4574740343250596e-08,2.9354097819123126e-08
1949,5.104844191805569e-08,2.7487622844546422e-08
1950,3.19060831088791e-08,2.5524866664738965e-08
1951,3.1984205950408295e-08,2.985192559812333e-08
1952,4.217921600879748e-08,2.4253049346611988e-08
1953,3.2321481602259894e-08,2.693456835345387e-08
1954,2.8340354063516315e-08,3.615838450876652e-08
1955,2.4402580844906652e-08,4.411235732248997e-08
1956,2.8779767902165077e-08,2.2674967681268754e-08
1957,3.710716001137371e-08,3.26896383850972e-08
1958,3.887954447279185e-08,2.647117886001027e-08
1959,4.7279560932977915e-08,1.705164542897819e-08
1960,3.944875004435744e-08,3.94487505439578e-08
1961,3.265634873628187e-08,3.6130427705227675e-08
1962,4.50278889729816e-08,2.7270412816804424e-08
1963,4.3322555987046485e-08,2.845063518108759e-08
1964,4.6846556800428374e-08,2.433587353856126e-08
1965,4.158752864302784e-08,2.9001830270658502e-08
1966,5.4836839069594134e-08,2.7695373439051707e-08
1967,5.374065792373983e-08,2.9582014060558492e-08
1968,6.243068095823645e-08,5.075299913670506e-08
1969,8.947262841729753e-08,1.9529558414888015e-08
1970,4.276814424830633e-08,4.138852394142134e-08
1971,4.059333891248684e-08,4.6245578477766e-08
1972,3.847610158258519e-08,7.490014297673042e-08
1973,4.575959128283458e-08,3.197658315912122e-08
1974,2.2502286256553816e-08,1.8564385695363228e-08
1975,4.3407247574123176e-08,1.77055889949429e-08
1976,4.285145038807059e-08,2.913898622391997e-08
1977,3.2322301279918975e-08,2.056873571465445e-08
1978,3.3267311683182754e-08,2.3762364742552222e-08
1979,5.26677617074256e-08,3.277105242727174e-08
1980,4.036456857647863e-08,2.785723873799384e-08
1981,4.364629330178005e-08,2.0241758491579276e-08
1982,4.159026545380584e-08,1.8001757084995518e-08
1983,2.8418922992656803e-08,1.705135410645653e-08
1984,2.5515638157891374e-08,2.1456330601132834e-08
1985,4.3913573222198465e-08,1.2031115659283387e-08
1986,2.697518486360906e-08,3.117132441055048e-08
1987,3.177624707806359e-08,2.6887593318480896e-08
1988,3.238138990280248e-08,1.9788627569905515e-08
1989,3.9514481353641884e-08,2.1952487827547884e-08
1990,4.413407239667322e-08,1.3076762783725826e-08
1991,4.10302547493302e-08,1.3481369798284959e-08
1992,3.581463658974826e-08,1.652983222522053e-08
1993,4.043621260052532e-08,2.714211727594673e-08
1994,3.5342008430916394e-08,1.3187316905138857e-08
1995,4.663307606733724e-08,2.548551947256783e-08
1996,5.071187492156071e-08,1.3879039251207814e-08
1997,3.787966562640577e-08,1.7261619689179497e-08
1998,4.291316391125122e-08,1.8118891276230897e-08
1999,4.2045850273675356e-08,2.0565904534919355e-08
2000,2.8275401686705948e-08,2.1648354553427396e-08
2001,5.213641995904794e-08,1.7086725451198603e-08
2002,3.3735405302603994e-08,1.9715496790695397e-08
2003,2.7501691590714472e-08,2.125130632579797e-08
2004,4.316695517703195e-08,2.1142998130052604e-08
2005,3.512924706683407e-08,1.5312748624651817e-08
2006,3.417848759568187e-08,1.523619230781037e-08
2007,3.155638739205102e-08,1.637736560256009e-08
2008,3.576249180126112e-08,2.0435710179622646e-08
2009,3.9099179893753444e-08,1.0490023738540799e-08
2010,3.070465481869178e-08,9.919965127114239e-09
2011,2.447342140055042e-08,1.3766299211681599e-08
