year,soient_VERB au_ADP
1800,6.665628689006553e-07
1801,8.167456275742779e-07
1802,5.840762469233596e-07
1803,8.620499460931796e-07
1804,6.154908813726934e-07
1805,7.334624667620915e-07
1806,9.884125091730311e-07
1807,9.110256655731064e-07
1808,6.820882703095776e-07
1809,6.551188675985031e-07
1810,6.248138468833986e-07
1811,4.3372428493171356e-07
1812,5.681153552039575e-07
1813,5.291364466586401e-07
1814,6.136020136437992e-07
1815,4.07280750458483e-07
1816,6.118474491501047e-07
1817,6.756830490672883e-07
1818,5.924825285941182e-07
1819,5.76553459197271e-07
1820,7.523348966032017e-07
1821,7.92863655618703e-07
1822,6.877572786834207e-07
1823,5.979025834434992e-07
1824,6.037938016234534e-07
1825,6.797801894720124e-07
1826,7.363474985311314e-07
1827,7.207907390949231e-07
1828,6.824192313459321e-07
1829,6.258418761007079e-07
1830,6.606517066742867e-07
1831,7.078407442406842e-07
1832,6.277906008378409e-07
1833,5.027294989190523e-07
1834,5.759405805605411e-07
1835,5.32441362111058e-07
1836,5.954584527678719e-07
1837,6.129902017093514e-07
1838,6.065987641079573e-07
1839,6.564994921021139e-07
1840,5.522520023504285e-07
1841,5.682185499900072e-07
1842,5.943522940476953e-07
1843,7.011503637688321e-07
1844,5.686149266992402e-07
1845,5.608129278744656e-07
1846,6.258462095232176e-07
1847,5.6413120752552e-07
1848,6.701669812425592e-07
1849,5.580690438655722e-07
1850,4.467159335774795e-07
1851,5.030562206798095e-07
1852,4.6941033193803605e-07
1853,5.739026542883607e-07
1854,6.343906102657115e-07
1855,5.269788303507994e-07
1856,4.628407097584386e-07
1857,5.467290278282633e-07
1858,5.745175406524083e-07
1859,6.375400813940502e-07
1860,5.565855456524105e-07
1861,5.819499016013197e-07
1862,6.379396852995711e-07
1863,6.048485632348388e-07
1864,4.804317494944144e-07
1865,5.949451242770465e-07
1866,6.262043676930062e-07
1867,6.347477263801693e-07
1868,5.893269845458349e-07
1869,5.806504352889874e-07
1870,5.934740752167045e-07
1871,5.799162718922446e-07
1872,5.243043075253695e-07
1873,5.285642039609684e-07
1874,4.3435408425551714e-07
1875,5.189425280605064e-07
1876,6.10647518328733e-07
1877,5.838466048402324e-07
1878,5.592195861936489e-07
1879,6.255948834521519e-07
1880,6.591128207666941e-07
1881,5.773236173567398e-07
1882,5.863394232363817e-07
1883,5.826430594102483e-07
1884,5.314366031683448e-07
1885,5.678605234926692e-07
1886,5.614513431950741e-07
1887,4.850991137672622e-07
1888,5.135897769292797e-07
1889,4.886806395099086e-07
1890,4.679831810960877e-07
1891,5.596564944809757e-07
1892,5.47241133741494e-07
1893,5.179228432794503e-07
1894,5.28068994753994e-07
1895,4.929245411844363e-07
1896,4.4522567965721294e-07
1897,5.547031061148289e-07
1898,5.126469355687391e-07
1899,5.124065349804141e-07
1900,5.040512602860758e-07
