year,veulent_VERB armer_VERB,veulent_VERB charmer_VERB
1800,0.0,0.0
1801,1.1905912700171939e-08,0.0
1802,2.2378401354217203e-09,4.475680270843441e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,8.528632911009026e-09
1806,2.881669125542885e-09,0.0
1807,5.693910232196231e-09,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,1.8721014072298203e-08
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,9.440030979135372e-09,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,5.960588467246453e-09,1.1921177378582115e-09
1819,6.210630232317271e-09,0.0
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,2.9584463767662328e-09,5.9168927535324656e-09
1822,3.0076847679083585e-09,5.012807946513931e-09
1823,0.0,1.9765373782121287e-09
1824,0.0,9.263223965660927e-09
1825,7.044354433105582e-09,8.805443041381977e-10
1826,0.0,8.807984341885344e-10
1827,2.7651818612639545e-09,1.8434546111834038e-09
1828,3.668920500743411e-09,8.255071293206129e-09
1829,6.858540846366168e-09,6.858540846366168e-09
1830,0.0,0.0
1831,1.5591206103948707e-09,1.7150327380477393e-08
1832,4.058990921151917e-09,6.764984572527055e-09
1833,6.950177322551099e-09,5.791814139399776e-09
1834,1.4001796166951408e-08,0.0
1835,0.0,3.781543966852041e-09
1836,1.1425274948351216e-08,3.36037508930076e-09
1837,1.3915781860163179e-09,3.478945576063097e-09
1838,3.787297142565649e-09,6.312161904276081e-10
1839,2.7965900706306e-09,4.194885327990505e-09
1840,1.3376346252869098e-08,0.0
1841,1.926164561183441e-09,0.0
1842,3.3541325272778977e-09,8.720745015011744e-09
1843,4.134837805480629e-09,1.7720733769266417e-09
1844,7.1351298203126134e-09,4.390849017710252e-09
1845,1.0044410636567136e-08,3.9061593959388574e-09
1846,7.025401593807601e-09,1.7563503984519002e-09
1847,1.6179670936367074e-09,3.775256551818984e-09
1848,1.528592186161859e-08,1.6090443422100975e-09
1849,4.1897072478036534e-09,0.0
1850,6.1100964288129944e-09,2.0366988096043315e-09
1851,1.9348316282474798e-09,5.159551008659946e-09
1852,6.510545436100301e-10,3.2552727180501506e-09
1853,5.971931837933653e-10,1.7915795513800958e-09
1854,5.195664343204953e-09,5.195664454227256e-10
1855,0.0,5.306937111981824e-10
1856,2.0708756931497874e-09,5.177189232874468e-10
1857,1.2691923956253959e-08,2.4407544874094356e-09
1858,9.787352039936081e-10,3.4255731584664773e-09
1859,1.2221216039165483e-08,0.0
1860,7.323494255473406e-09,8.238931314963338e-09
1861,1.226150558863992e-08,1.8863854922557266e-09
1862,2.2589932147099034e-09,0.0
1863,1.1987090431375691e-08,9.989241656072068e-10
1864,0.0,0.0
1865,0.0,1.4120533631256649e-09
1866,2.919367858567057e-09,5.352174259343201e-09
1867,9.7056229719783e-10,4.85281148598915e-10
1868,7.409810987013543e-09,4.93987406535723e-10
1869,2.441759683335931e-09,2.441759683335931e-09
1870,3.4404292748035914e-09,0.0
1871,0.0,3.18635318130589e-09
1872,4.8378714367913744e-09,0.0
1873,5.387403856360606e-09,7.781805422268917e-09
1874,2.9873046258899194e-09,1.1949218281515073e-09
1875,2.2886108563824337e-09,0.0
1876,0.0,0.0
1877,1.8554447978047506e-09,0.0
1878,1.8117265465633636e-09,6.039088673581716e-10
1879,1.832797580370027e-09,2.443730107160036e-09
1880,3.2089231272180996e-09,0.0
1881,0.0,0.0
1882,5.989846840748214e-09,6.655385131892899e-10
1883,6.319338941018771e-10,1.2638677882037541e-09
1884,5.941527270181268e-09,6.601696966868076e-10
1885,0.0,1.2891271383708158e-09
1886,7.098810428374236e-09,6.453463874400711e-10
1887,0.0,0.0
1888,3.1703073499755874e-09,6.340614699951175e-10
1889,1.8795409673089125e-09,3.132568426877924e-09
1890,4.5880703680722945e-09,3.2771931834929546e-09
1891,6.374220040683554e-10,1.2748440081367107e-09
1892,0.0,0.0
1893,0.0,6.158416554491453e-10
1894,6.301539290376468e-09,0.0
1895,0.0,1.8055843487019274e-09
1896,1.2973464080801023e-08,4.1279202278587945e-09
1897,7.574727511894253e-09,2.330685422435863e-09
1898,0.0,0.0
1899,6.080336234504102e-09,0.0
1900,6.22926377147337e-09,5.19105292084987e-09
1901,2.235495566438317e-09,1.1177477832191585e-09
1902,1.4730852093691738e-09,0.0
1903,3.7801539676252105e-09,0.0
1904,5.912087708281888e-09,0.0
1905,4.1286072338664326e-09,5.160759042333041e-10
1906,3.0865106026567446e-09,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,1.6502950117569526e-09,1.1001967115120692e-09
1910,3.206490406526541e-09,5.344150677544235e-10
1911,6.384448969498635e-09,1.5961122423746588e-09
