year,fut_VERB aux_ADP,fut_VERB chaud_ADJ
1906,2.942473429357051e-07,7.201858220895474e-09
1907,3.3171340874105226e-07,1.0799970695529737e-08
1908,3.727744228854135e-07,3.929111258571538e-09
1909,3.729666957497102e-07,7.151278680339601e-09
1910,3.104951531440747e-07,1.068830179917768e-08
1911,3.51144706201012e-07,6.384448969498635e-09
1912,2.979788860102417e-07,1.3023552902780011e-08
1913,3.224217834940646e-07,7.954484182448596e-09
1914,3.0805020401203365e-07,8.036092680185902e-09
1915,3.180805663305364e-07,8.246533234057551e-09
1916,2.593041017462383e-07,2.0876177231343718e-08
1917,3.1034980452204763e-07,4.276905585243185e-08
1918,3.308076372832147e-07,1.033773866510046e-08
1919,3.5726452551898547e-07,5.524709134618888e-09
1920,3.664960104288184e-07,6.057785384427916e-09
1921,2.854925753581483e-07,6.058197943303867e-09
1922,3.4086062328242406e-07,5.164555005876537e-09
1923,3.1104727327146975e-07,2.1231896241147297e-08
1924,2.771699314507714e-07,2.0626599095407983e-08
1925,2.5955699811675004e-07,1.2097995494286806e-08
1926,3.076334280649462e-07,1.0031524944054127e-08
1927,3.1329321359407913e-07,8.919379901328739e-09
1928,3.0621791324847436e-07,1.82816659588525e-08
1929,2.863084489490575e-07,1.893869061575515e-08
1930,2.930505331733002e-07,1.2604324695075775e-08
1931,3.079446173614997e-07,1.710803587684495e-08
1932,2.816600783717149e-07,1.6439305028370654e-08
1933,3.028254695891519e-07,1.8353059516584835e-08
1934,3.4866397413679806e-07,1.5576054224197833e-08
1935,2.96813453815048e-07,1.196828414151696e-08
1936,2.534065401960106e-07,8.487299751891442e-09
1937,2.6063614200211305e-07,8.813782592653752e-09
1938,2.696764624943171e-07,6.482607339819424e-09
1939,2.3858717668190366e-07,7.647025235257843e-09
1940,2.5357829258609854e-07,2.5357829169792012e-09
1941,2.715382265705557e-07,2.9515025978810172e-09
1942,3.610711871715466e-07,6.068423541449874e-09
1943,3.135494068828848e-07,5.806470415592457e-09
1944,2.69907644678824e-07,1.6065930807940276e-08
1945,2.940980436960672e-07,1.3071024262956144e-08
1946,2.7006942104890186e-07,6.960552134671616e-09
1947,3.349764767790475e-07,8.344609447874518e-09
1948,2.696228307286219e-07,1.7395020535104777e-08
1949,2.5033369865923305e-07,1.1780409536754632e-08
1950,2.509945318251994e-07,3.190608444114673e-09
1951,2.7293188509247557e-07,9.595261474260042e-09
1952,2.6362010885350173e-07,1.4762725264461096e-08
1953,2.499527909094468e-07,4.3095309543161875e-09
1954,2.1597304566967068e-07,4.886268278880834e-09
1955,2.355787529495501e-07,3.754243138587299e-09
1956,2.0058625693764043e-07,6.976913269340912e-09
1957,2.3501200985265314e-07,5.301022731885041e-09
1958,2.3658616044031078e-07,6.617794756635931e-09
1959,2.0074436690720177e-07,7.750747599288843e-09
1960,2.3323208608871937e-07,8.997083078554624e-09
1961,2.2720480785665131e-07,2.08444772553662e-09
1962,2.06747785114203e-07,7.610347907416326e-09
1963,2.256652607002252e-07,1.2285501505004959e-08
1964,2.4396712205998483e-07,9.734349326606662e-09
1965,2.7086613840765494e-07,1.4774516721161035e-08
1966,2.9135532031432376e-07,5.539074976468328e-09
1967,2.558844300892815e-07,3.944268467392931e-09
1968,2.631969664435019e-07,4.491415683816058e-09
1969,2.1664185112513223e-07,4.541757636644661e-09
1970,2.52010124768276e-07,5.978342709767048e-09
1971,2.1118813720022445e-07,6.679916619845017e-09
1972,1.898154380342021e-07,4.104117490300041e-09
1973,1.7752516612290492e-07,3.859242703185828e-09
1974,1.406392868830153e-07,9.563471792262135e-09
1975,1.9019229569039453e-07,2.2845920710778955e-09
1976,1.7483392866779468e-07,5.142174241967723e-09
1977,1.798295272692485e-07,2.3507127355770763e-09
1978,2.0198010020067159e-07,7.128709622605811e-09
1979,1.7263320728488907e-07,3.5111840102075575e-09
1980,1.637323379100053e-07,6.822181042309694e-09
1981,2.04315256269183e-07,7.590659656386833e-09
1982,1.6325731166944024e-07,5.586751949948621e-09
1983,1.7556578768562758e-07,6.315316269933646e-09
1984,1.4729481279118772e-07,6.958810416790584e-09
1985,1.6302162464398862e-07,7.218669662023558e-09
1986,1.7503897709048033e-07,1.7983456945813714e-09
1987,1.3504904927685857e-07,6.721898593298192e-09
1988,1.5231246663915954e-07,1.0194141530917022e-08
1989,1.542162380019363e-07,5.488121956886971e-09
1990,1.6999790375393786e-07,1.3621627381610324e-08
1991,1.6119028600769525e-07,3.5168792322792797e-09
1992,2.0276594625556754e-07,6.060938417817852e-09
1993,1.606370148010683e-07,3.877445031719162e-09
1994,1.5191788804713724e-07,4.2199412852994556e-09
1995,1.615890283801491e-07,3.253470381991974e-09
1996,1.5960895893840643e-07,3.736664311304594e-09
1997,1.5103917405667744e-07,7.192341833217597e-09
1998,1.568714509403435e-07,6.198567881199324e-09
1999,1.4670345649392402e-07,3.1991407301035224e-09
2000,1.5330569169691444e-07,3.97622823555821e-09
2001,1.498374473385411e-07,3.943090742808408e-09
2002,1.6035271244163596e-07,6.571832411594869e-09
2003,1.595931422571084e-07,8.333845613606172e-09
2004,1.5152481580571475e-07,6.607186797680242e-09
2005,1.396162332412132e-07,4.053374524914943e-09
2006,1.4412614746106556e-07,7.823991232669414e-09
2007,1.4619794796999486e-07,3.1955835755326234e-09
2008,1.3666381448729226e-07,5.108927503272298e-09
2009,1.4638351331086596e-07,1.0490023072406984e-08
2010,1.445480677375599e-07,7.085689368580006e-09
2011,1.521940902193819e-07,8.412738061736036e-09
2012,1.6748923314935382e-07,1.7021264397953928e-08
2013,1.6483728870753112e-07,1.5340187786705428e-08
2014,1.7908232052832318e-07,9.094869746206768e-09
2015,2.1301289621078467e-07,1.5294370214746777e-08
2016,2.185263809906246e-07,1.4706514228635115e-08
2017,1.388617505426737e-07,1.2074934829797712e-08
2018,1.6263240354419395e-07,1.626323964387666e-08
2019,1.9693625574745965e-07,9.183556137770665e-09
