year,tout_ADV aux_ADP,tout_ADV chauds_ADJ
1800,2.829747991484055e-08,0.0
1801,5.476719877606229e-08,0.0
1802,1.5664880947952042e-08,2.2378401354217203e-09
1803,1.1702034896643454e-08,5.851017448321727e-09
1804,5.438072037122765e-08,4.943701892301533e-09
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,1.4408345627714425e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,5.6651849877908944e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,2.259030518203531e-09
1810,1.4040760554223652e-08,0.0
1811,1.2535384286138651e-08,1.0028307073639553e-08
1812,2.9339290108509886e-08,0.0
1813,8.627225156487839e-09,2.8757416448144113e-09
1814,1.5733386149463513e-08,0.0
1815,2.1577788444915313e-08,0.0
1816,1.3905623319487859e-08,0.0
1817,2.3353100786493997e-08,3.113746815941454e-09
1818,1.668964877410417e-08,4.768470951432846e-09
1819,1.9666995143552413e-08,1.035105001712111e-09
1820,4.034603762193001e-08,2.3732962262101864e-09
1821,2.070912508145284e-08,0.0
1822,1.7043547018147365e-08,1.0025615893027862e-09
1823,1.581229902569703e-08,1.087095569118901e-08
1824,1.6842225392110777e-08,8.421112696055388e-10
1825,2.993850500843109e-08,8.805443041381977e-10
1826,1.5854372037438225e-08,0.0
1827,1.2904182611350734e-08,9.217273166939322e-09
1828,1.4675682002973645e-08,1.8344602503717056e-09
1829,3.086343269842473e-08,0.0
1830,9.39315203396518e-09,1.0436835395921662e-08
1831,2.182768810143898e-08,3.1182412207897414e-09
1832,2.1647950987357945e-08,5.411987746839486e-09
1833,2.20088942626262e-08,1.1583628500844156e-09
1834,2.5203233278148218e-08,3.733812370398937e-09
1835,2.4201881387853064e-08,3.781543966852041e-09
1836,4.9061473994527205e-08,5.376600054063374e-09
1837,3.6876823372722356e-08,1.3915782304252389e-08
1838,1.8305270410579055e-08,1.3255539776935166e-08
1839,9.788065469251706e-09,1.3283802502428443e-08
1840,2.356784811752277e-08,4.458782232319436e-09
1841,1.4125206782011901e-08,1.1556987367100646e-08
1842,1.9453969102301016e-08,2.683306021822318e-09
1843,2.0674189471492355e-08,7.678984559333912e-09
1844,1.0977122377742177e-08,3.841992946007622e-09
1845,2.2320911341466854e-08,1.2276501593078137e-08
1846,1.4050803187615202e-08,4.0981511517657054e-09
1847,1.6718992412734224e-08,3.775256551818984e-09
1848,1.287235473768078e-08,2.413566457803995e-09
1849,1.6758829879393033e-08,1.508294644736452e-08
1850,1.0183494048021657e-08,6.1100964288129944e-09
1851,1.0319102461409102e-08,1.0319102017319892e-08
1852,1.6276363368206148e-08,7.161600201754936e-09
1853,1.791579506971175e-08,9.555090940693844e-09
1854,1.92239586471743e-08,6.234797567117312e-09
1855,1.1675261646360013e-08,1.0613874223963649e-09
1856,2.174419400091665e-08,1.0354378465748937e-09
1857,1.8549734193129552e-08,5.369659827891837e-09
1858,1.565976326389773e-08,2.936205500958522e-09
1859,1.323965070909594e-08,1.2221216039165483e-08
1860,1.785101666484934e-08,9.612086238064421e-09
1861,3.1125360067107977e-08,1.5091083938045813e-08
1862,2.2589931703009825e-08,1.355395884417021e-08
1863,2.946826249683454e-08,1.4983863039219614e-09
1864,1.4384183621984903e-08,6.233146443435089e-09
1865,1.6003271208209213e-08,5.6482134525026595e-09
1866,1.3137154475373336e-08,6.811858188626729e-09
1867,2.2808213984149006e-08,3.88224918879132e-09
1868,2.2723421366777075e-08,4.939874287401835e-09
1869,2.0022428159904848e-08,8.30198221279943e-09
1870,1.2614907340946502e-08,4.013834153937523e-09
1871,2.1242354542039266e-08,3.18635318130589e-09
1872,1.2094679036067646e-08,8.4662747923403e-09
1873,1.0774807712721213e-08,7.781805422268917e-09
1874,1.4936522685360387e-08,1.1949218281515073e-09
1875,1.602027621672164e-08,3.432916173551348e-09
1876,2.116105135563373e-08,6.04601479992084e-09
1877,1.1132668786828503e-08,8.040260901509555e-09
1878,1.6305539918270995e-08,6.6429977074733415e-09
1879,1.1607718120032473e-08,4.887460214320072e-09
1880,2.2462462112571302e-08,6.417846254436199e-09
1881,1.5339516323820135e-08,4.8807553554297556e-09
