year,fût_VERB aux_ADP,fût_VERB chaud_ADJ
1800,9.118077315406481e-08,3.144164484325529e-09
1801,7.619784270218588e-08,2.6193008650921e-08
1802,7.608656460433849e-08,8.951360541686881e-09
1803,3.90067853572873e-08,0.0
1804,1.1864884186252311e-07,9.887403784603066e-09
1805,7.107194477384837e-08,1.1371510844071508e-08
1806,3.1698359492793315e-08,3.458002950651462e-08
1807,2.0782772480743006e-07,2.8469551160981155e-09
1808,7.251436784372345e-08,2.2660739951163578e-09
1809,1.355418248749629e-07,0.0
1810,1.427477371862551e-07,0.0
1811,2.2563691004506836e-07,0.0
1812,9.335229123053068e-08,0.0
1813,4.601186631703058e-08,0.0
1814,5.034683425719777e-08,1.5733386149463513e-08
1815,1.1328339155625144e-07,5.394447111228828e-09
1816,5.5622493277951435e-08,6.257530316133852e-08
1817,1.0898114055635233e-07,0.0
1818,7.27191817873063e-08,1.4305412854298538e-08
1819,1.3456364911235141e-07,0.0
1820,6.40789963313182e-08,4.746592452420373e-09
1821,7.691961201317099e-08,0.0
1822,7.519211919770896e-08,0.0
1823,1.5120511420718685e-07,1.680056804787e-08
1824,1.2547458538847422e-07,1.9368560089105813e-08
1825,3.6982861217893515e-08,2.201360693732113e-08
1826,1.2507338453815464e-07,7.0463874735082754e-09
1827,1.0599863742299931e-07,0.0
1828,7.06267186956211e-08,2.7516904310687096e-09
1829,1.4745862131348986e-07,8.57317605795771e-10
1830,7.723258477199124e-08,8.349468672008697e-09
1831,6.548306430431694e-08,3.1182412207897414e-09
1832,9.606278439378002e-08,0.0
1833,1.0772774317047151e-07,3.8225973497674204e-08
1834,8.214387037241977e-08,2.42697808516823e-08
1835,1.520180603620247e-07,1.285724948729694e-08
1836,1.0013917517426307e-07,1.2769425516978572e-08
1837,8.071153700939249e-08,1.530736071231331e-08
1838,1.312929640562288e-07,1.3255539776935166e-08
1839,1.0207553913232914e-07,1.11863602825224e-08
1840,1.2866770759956125e-07,8.917564464638872e-09
1841,1.1043343306482711e-07,3.2102742686390684e-09
1842,1.1001554867107188e-07,5.366612043644636e-09
1843,1.228637529493426e-07,1.063243981747064e-08
1844,9.989181393166291e-08,4.9397050894128824e-09
1845,7.14269177137794e-08,1.674068350610014e-08
1846,9.425747293789755e-08,6.439951683034906e-09
1847,1.3914517182911368e-07,1.1865092020002521e-08
1848,9.010648227558704e-08,4.82713291560799e-09
1849,6.535943697372204e-08,0.0
1850,5.906426636670403e-08,2.0366988096043315e-09
1851,7.610337604546658e-08,3.2247193804124663e-09
1852,8.007970819789989e-08,8.463708844885787e-09
1853,1.1227231766497425e-07,2.388772735173461e-09
1854,8.416976271519161e-08,6.754363734984281e-09
1855,7.90733594158155e-08,1.0613874223963649e-09
1856,9.733116002053066e-08,2.0708756931497874e-09
1857,1.1715621894836659e-07,7.810414537345878e-09
1858,1.0276719564217274e-07,1.468102794888182e-08
1859,7.638259802433822e-08,3.5645213447565993e-09
1860,1.0069804545764782e-07,0.0
1861,1.202570700797878e-07,1.8863854922557266e-09
