year,eut_VERB eu_VERB
1800,3.961647223604814e-07
1801,2.7383600809116615e-07
1802,3.110597788236191e-07
1803,2.6134546260436764e-07
1804,3.0898135605639254e-07
1805,1.648869130121966e-07
1806,2.795219131712656e-07
1807,2.5053205376934784e-07
1808,2.923235342677799e-07
1809,3.2530039106859476e-07
1810,2.2933242860290193e-07
1811,2.7577843297876825e-07
1812,2.2937990706850542e-07
1813,2.933256553205865e-07
1814,2.73760917934851e-07
1815,2.400528842372296e-07
1816,3.314173682156252e-07
1817,1.6814232139950036e-07
1818,2.193496584368404e-07
1819,2.794783426907088e-07
1820,7.618280619681173e-07
1821,2.376618652988327e-07
1822,2.526455205043021e-07
1823,3.053750390336063e-07
1824,7.309525926757487e-07
1825,4.2706398062364315e-07
1826,5.434526428871322e-07
1827,1.9540618723112857e-07
1828,2.302247565921789e-07
1829,2.1175745246182487e-07
1830,1.8995041273228708e-07
1831,2.2919073217053665e-07
1832,1.6371262745451531e-07
1833,1.8649642186119308e-07
1834,1.698884659617761e-07
1835,1.973965879642492e-07
1836,4.1198197209268983e-07
1837,3.9938294094099547e-07
1838,3.023525607659394e-07
1839,3.083240471823956e-07
1840,1.9172762222297024e-07
1841,2.0995193494854902e-07
1842,2.0661455835124798e-07
1843,2.2150916834107193e-07
1844,1.8496452014460374e-07
1845,1.7856729073173483e-07
1846,1.7329324464299134e-07
1847,1.65032645327301e-07
1848,1.97107937083274e-07
1849,1.7177801225898293e-07
1850,2.0638547937323892e-07
1851,1.9090339264948852e-07
1852,1.490914911528307e-07
1853,1.8632427156717313e-07
1854,2.909572174303321e-07
1855,2.0272500478313304e-07
1856,1.9310915888581803e-07
1857,2.499332651950681e-07
1858,1.903639912370636e-07
1859,1.9604867418365757e-07
1860,1.835450689213758e-07
1861,1.650587364565581e-07
1862,1.8297843951131654e-07
1863,1.6781926603925967e-07
1864,2.1576275344159512e-07
1865,1.6426886872977775e-07
1866,1.8051423467113636e-07
1867,1.7712761746224714e-07
1868,1.783294578672212e-07
1869,1.919222967217138e-07
1870,2.2420130108002922e-07
1871,1.8268424639700243e-07
1872,1.608592299362499e-07
1873,2.1370036051848729e-07
1874,1.8640780297118908e-07
1875,1.5219262650134624e-07
1876,1.6989301343528496e-07
1877,1.7255636919344397e-07
1878,1.437303041029736e-07
1879,1.7778135941171058e-07
1880,1.6622222176465584e-07
1881,1.624594290206005e-07
1882,1.6039477657159296e-07
1883,1.7125408646734286e-07
1884,1.3797546216665069e-07
1885,1.3858117142717674e-07
1886,1.7811559871461213e-07
1887,1.5995865965123812e-07
1888,1.5217474924611452e-07
1889,1.372064986071564e-07
1890,1.3567580481321784e-07
1891,1.4405736692424398e-07
1892,1.629813226600163e-07
1893,1.3856437419690337e-07
1894,1.2729108789244492e-07
1895,1.4384488622454228e-07
1896,1.4565661388132867e-07
1897,1.0837687369757987e-07
1898,1.1599627214309294e-07
1899,1.2823981876408652e-07
1900,1.0018732865546554e-07
1901,1.1345139938612192e-07
1902,1.0311595843859322e-07
1903,1.5174619250046817e-07
1904,1.1179220393842115e-07
1905,1.4604948717078514e-07
1906,1.1574415026416318e-07
1907,1.1725683179975022e-07
1908,1.2376700908589555e-07
1909,1.402750768875194e-07
1910,1.122271626741167e-07
1911,1.2024045759062574e-07
1912,1.0887690393701632e-07
1913,1.177263726503952e-07
1914,1.2455943476652465e-07
1915,1.060268601804637e-07
1916,1.0767713121140332e-07
1917,1.3598366876976797e-07
1918,1.3783650842924544e-07
1919,1.3719693470193306e-07
1920,1.1888403861348706e-07
1921,1.075330118283091e-07
1922,1.0181550891275037e-07
1923,9.342033990833443e-08
1924,1.0828964747133796e-07
1925,1.1218141793278846e-07
1926,8.471064916193427e-08
1927,1.0257286930936971e-07
1928,1.0511958237202634e-07
1929,8.355304714768863e-08
1930,9.663315125862937e-08
1931,9.352392282835353e-08
1932,6.13734059129456e-08
1933,8.602996359741155e-08
1934,8.02765853791243e-08
1935,8.018750463634206e-08
1936,8.48730010716281e-08
1937,5.666003133342201e-08
1938,7.779128452511941e-08
1939,7.799965828780842e-08
1940,7.86092684279538e-08
1941,3.836953510472085e-08
1942,9.406056733496371e-08
1943,9.290352664947932e-08
1944,6.7476911169706e-08
1945,4.357008265287732e-08
1946,7.378185529205439e-08
1947,5.8412268799656886e-08
1948,7.610321262063735e-08
1949,3.8286334103077024e-08
1950,4.679559140186029e-08
1951,5.863770979885885e-08
1952,3.690681538159879e-08
1953,4.5250075686453783e-08
1954,6.449873524161376e-08
1955,3.754243138587299e-08
1956,4.360570926564833e-08
1957,3.975766915687018e-08
1958,5.21151335419745e-08
1959,9.300897119146612e-08
1960,6.3671663497189e-08
1961,5.072156383789661e-08
1962,5.7711801559889864e-08
1963,5.1728427763464424e-08
1964,5.4755716405452404e-08
1965,1.0232721336933537e-07
1966,8.973301390824417e-08
1967,1.1684895184771449e-07
1968,7.859977557700404e-08
1969,6.540130925714038e-08
1970,6.392227902551895e-08
1971,7.553444447694346e-08
1972,6.412683717371692e-08
1973,5.623467913551394e-08
1974,4.837991696149402e-08
1975,5.140332248743107e-08
1976,8.227478787148357e-08
1977,5.465406971438824e-08
1978,4.930690877813504e-08
1979,1.0240953685070053e-07
1980,3.865902442612423e-08
1981,4.99718417756867e-08
1982,3.3520510811513304e-08
1983,4.0418022706489865e-08
1984,4.465236713713239e-08
1985,4.090579608373446e-08
1986,3.057187569766029e-08
1987,3.299841111470414e-08
1988,2.6384837426007834e-08
1989,3.1831110192115375e-08
1990,3.160217687536715e-08
1991,3.341035181847474e-08
1992,2.920270425477156e-08
1993,4.154405530698568e-08
1994,3.5342008430916394e-08
1995,4.0126135303353294e-08
1996,3.096093337262573e-08
1997,2.4933450859521145e-08
1998,3.146965354972053e-08
1999,3.4733528053720875e-08
2000,2.87172046142814e-08
2001,4.4688359679412315e-08
2002,3.5926017716292336e-08
2003,2.7918384049030465e-08
2004,3.259545522382723e-08
2005,3.0175122844866564e-08
2006,3.006059756671675e-08
2007,3.435252438066527e-08
2008,3.448526086913262e-08
2009,2.9562793102400065e-08
2010,2.4563723499682055e-08
2011,2.1796640936599943e-08
2012,3.029784778618705e-08
2013,2.2870825233667347e-08
2014,2.7501153354592134e-08
2015,3.6130177960558285e-08
2016,4.4533809528957136e-08
2017,1.7106156491308866e-08
2018,2.4265787601507327e-08
2019,3.1377147990951926e-08
