year,avaient_VERB eu_VERB,avaient_VERB chu_VERB
1800,2.920928864114103e-06,0.0
1801,2.666924501681933e-06,0.0
1802,2.4728133212192915e-06,0.0
1803,2.636858653204399e-06,0.0
1804,3.6237333915778436e-06,0.0
1805,2.6609334327076795e-06,0.0
1806,2.665543888724642e-06,0.0
1807,5.819176294608042e-06,0.0
1808,2.678499413377722e-06,0.0
1809,3.9307133192778565e-06,0.0
1810,3.4399863579892553e-06,0.0
1811,4.821108632313553e-06,0.0
1812,4.491578692977782e-06,0.0
1813,4.468902716325829e-06,0.0
1814,3.731959168362664e-06,0.0
1815,5.782847438240424e-06,0.0
1816,4.271344096196117e-06,0.0
1817,5.372769919631537e-06,0.0
1818,5.265584150038194e-06,0.0
1819,6.149558885226725e-06,0.0
1820,6.6808288465836085e-06,0.0
1821,6.580571152881021e-06,0.0
1822,6.089559065003414e-06,0.0
1823,6.825971922808094e-06,0.0
1824,6.390782345988555e-06,0.0
1825,6.159407348604873e-06,0.0
1826,6.24838412477402e-06,0.0
1827,7.009736236796016e-06,0.0
1828,6.781999672966776e-06,0.0
1829,7.746722076262813e-06,0.0
1830,6.818384918005904e-06,0.0
1831,6.434490842366358e-06,0.0
1832,6.727100753778359e-06,0.0
1833,6.7949563344882336e-06,1.1583628500844156e-09
1834,6.630317329836544e-06,0.0
1835,6.739467607985716e-06,9.075705520444899e-09
1836,7.173056474130135e-06,0.0
1837,7.209766408777796e-06,0.0
1838,7.589743290736806e-06,0.0
1839,7.096347417245852e-06,0.0
1840,8.220083145715762e-06,5.732719632334238e-09
1841,6.756343282177113e-06,0.0
1842,7.515269317082129e-06,0.0
1843,6.93057882017456e-06,0.0
1844,7.72734529164154e-06,0.0
1845,7.499268122046487e-06,0.0
1846,7.428191111102933e-06,0.0
1847,7.663770702492911e-06,0.0
1848,6.998538538027788e-06,0.0
1849,7.176131020969478e-06,0.0
1850,7.076849669829244e-06,0.0
1851,7.084708613547264e-06,0.0
1852,6.328901235974627e-06,1.3021090872200602e-09
1853,6.757240953447763e-06,0.0
1854,6.327280061668716e-06,0.0
1855,6.805085376981879e-06,0.0
1856,6.017447049089242e-06,0.0
1857,6.2219714891398326e-06,1.4644527812635033e-09
1858,6.550185389642138e-06,0.0
1859,6.9197544689814094e-06,0.0
1860,7.124844614736503e-06,0.0
1861,6.41418228042312e-06,1.4147891747029462e-09
1862,6.349126124405302e-06,0.0
1863,6.2432759477815125e-06,1.4983863039219614e-09
1864,6.1621844906767365e-06,0.0
1865,6.6182938098791055e-06,4.706844358715045e-10
1866,6.695083357044496e-06,0.0
1867,6.007295269228052e-06,0.0
1868,5.975271506031277e-06,0.0
1869,6.207441401784308e-06,9.767038289254515e-10
1870,6.12683106737677e-06,1.1468097582678638e-09
1871,6.588316409761319e-06,0.0
1872,6.364824457705254e-06,1.8142017887967654e-09
1873,5.823185347253457e-06,0.0
1874,5.764302841271274e-06,5.974609140757536e-10
1875,6.088277132221265e-06,0.0
1876,5.623398465104401e-06,1.813804439976252e-09
1877,5.498301561601693e-06,0.0
1878,5.818661975354189e-06,1.2078177347163432e-09
1879,5.583923211816e-06,4.27652757650776e-09
1880,5.172142209630692e-06,0.0
1881,5.508280992216896e-06,0.0
1882,5.437449544842821e-06,0.0
1883,4.900015483144671e-06,0.0
1884,5.626626261800993e-06,1.3203393933736152e-09
1885,5.25125960848527e-06,0.0
1886,5.198265171202365e-06,1.936039106809062e-09
1887,4.997891664970666e-06,6.528924623161458e-10
1888,5.008451353205601e-06,0.0
1889,5.039676125306869e-06,1.2530273485467092e-09
1890,4.854834060097346e-06,2.6217545912032847e-09
1891,4.836120751861017e-06,6.374220040683554e-10
1892,4.9138866415887605e-06,0.0
1893,4.7610719775548205e-06,6.158416554491453e-10
1894,4.8691995289118495e-06,2.520615716150587e-09
1895,4.772761258209357e-06,1.2037228991346183e-09
1896,4.928147063765209e-06,0.0
1897,4.625245310307946e-06,0.0
1898,4.683986389864003e-06,1.13167097914868e-09
1899,4.6730147005291656e-06,3.3165470370022376e-09
1900,4.508429810812231e-06,1.5573159428683425e-09
1901,4.6302702685352415e-06,1.1177477832191585e-09
1902,3.8668486013193615e-06,0.0
1903,4.3342170101823285e-06,0.0
1904,4.449114840099355e-06,5.374625189347171e-09
1905,4.433607955434127e-06,5.160759042333041e-10
1906,4.335518497100566e-06,1.0288369045596824e-09
1907,4.187303147773491e-06,5.142843373384665e-10
1908,4.1511061681376304e-06,4.911389073214423e-09
1909,4.176896709395805e-06,0.0
