year,avaient_VERB armé_VERB,avaient_VERB charmé_VERB
1800,4.087413785214267e-08,1.8864987794131594e-08
1801,4.524246932646747e-08,1.6668277424969347e-08
1802,4.923248297927785e-08,1.7902721083373763e-08
1803,7.021220937986072e-08,7.801356893821776e-09
1804,1.9774807569206132e-08,2.4718509461507665e-09
1805,4.8328921309348516e-08,5.685755422035754e-09
1806,8.645007198992971e-08,5.76333825108577e-09
1807,9.11025637151397e-08,2.8469551160981155e-09
1808,2.039466551195801e-08,2.4926814390369145e-08
1809,6.551188391767937e-08,2.710836710662079e-08
1810,4.212228077449254e-08,5.148278958699848e-08
1811,4.763445815569867e-08,4.262030373070047e-08
1812,4.5342538612658245e-08,3.7340914360584065e-08
1813,1.2078115219082974e-07,5.751483289628823e-09
1814,1.195737269199526e-07,4.405347908686963e-08
1815,9.170560133497929e-08,5.1247248222807684e-08
1816,5.3304887615013286e-08,2.3176038865813098e-09
1817,1.1832237589715078e-07,3.7364962679475866e-08
1818,1.2398024296089716e-07,3.457141417584353e-08
1819,1.0247539705687814e-07,7.14222423425781e-08
1820,1.1747816586193949e-07,5.93324074316115e-08
1821,1.2918549430196435e-07,9.861488514673056e-09
1822,6.917674966189225e-08,4.511527151862538e-08
1823,1.0179167730939298e-07,3.5577674140085946e-08
1824,7.326367779114662e-08,4.126345132249298e-08
1825,1.3296218526193115e-07,8.012953145453139e-08
1826,1.2155018680459762e-07,5.549030035467695e-08
1827,1.2074627875335864e-07,4.055600300034712e-08
1828,1.2199160437376122e-07,5.1364885678140126e-08
1829,1.4831594796760328e-07,5.3153691226270894e-08
1830,9.393152566872232e-08,5.322786122974321e-08
1831,1.0446107978623331e-07,3.741889287312006e-08
1832,1.0823975316043288e-07,4.7354891563600177e-08
1833,1.054110185805257e-07,6.834341093053808e-08
1834,1.0734710542692483e-07,1.7735608537350345e-08
1835,9.000074641107858e-08,5.7479468296151026e-08
1836,1.0753200285762432e-07,5.376600142881216e-08
1837,1.0158520780123581e-07,4.383471363667013e-08
1838,1.218247263068406e-07,4.607878167917079e-08
1839,1.0836786401569043e-07,4.47454411300896e-08
1840,1.745294753163762e-07,6.497082694068013e-08
1841,1.001605554051821e-07,5.714288064950779e-08
1842,1.2209042665745073e-07,7.043678351692506e-08
1843,7.088293330070883e-08,4.016699506337318e-08
1844,1.2239492264143337e-07,4.8299337862545144e-08
1845,8.147132746216812e-08,8.928364536586741e-08
1846,9.308656956363848e-08,6.030136034951283e-08
1847,1.1217905182547838e-07,7.928039025273392e-08
1848,7.723412664972784e-08,5.712107409294731e-08
1849,6.200767188602185e-08,4.357295679824347e-08
1850,8.078905011643656e-08,5.2275268558332755e-08
1851,6.44943867200709e-08,4.5791015423901626e-08
1852,8.007970819789989e-08,8.398603768000612e-08
1853,6.927440665549511e-08,6.569125332589465e-08
1854,7.273930435758302e-08,4.7800114089113777e-08
1855,7.53585069901419e-08,6.739810487488285e-08
1856,5.643136091748602e-08,7.714012184578678e-08
1857,9.763018482544794e-08,6.68766730882453e-08
1858,1.2870367527284543e-07,7.144767266709096e-08
1859,7.841946825237756e-08,6.772590666059841e-08
1860,6.911547956178765e-08,4.897586691754441e-08
1861,7.687020797675359e-08,4.810283016354333e-08
1862,7.680576885604751e-08,6.054101930885736e-08
1863,8.291070230370678e-08,5.244351797273339e-08
1864,7.431828663584383e-08,7.719511785353461e-08
1865,9.696099567690908e-08,4.565638889175716e-08
1866,7.736324647567017e-08,7.347075836605654e-08
1867,4.85281148598915e-08,5.095451882652924e-08
1868,3.6061081232219294e-08,5.730253960223308e-08
1869,6.495080384638641e-08,7.764795384446188e-08
1870,5.045962936378601e-08,7.683625113941162e-08
1871,3.292564798584863e-08,4.991953161948004e-08
1872,3.507456725060365e-08,4.112190765681589e-08
1873,6.46488516053978e-08,5.6268440573603584e-08
1874,5.197910013521323e-08,3.943242177228967e-08
1875,3.776207790906483e-08,6.350894921069994e-08
1876,4.292670396921494e-08,5.501873445723504e-08
1877,5.071549225021954e-08,6.061119961486838e-08
1878,8.937850992651875e-08,5.1332254003000344e-08
1879,5.1929266220440695e-08,6.842444122412417e-08
1880,5.0700986520269e-08,3.9790645445236805e-08
1881,4.8807553554297556e-08,4.392679642251096e-08
1882,4.3925542314582344e-08,5.0580926114207614e-08
1883,6.508918914960304e-08,4.865891156669022e-08
1884,4.4891539374702916e-08,4.621188054443337e-08
1885,5.801071978339678e-08,5.285421167400273e-08
1886,7.356948827919041e-08,5.2918402104751294e-08
1887,5.3537181798901656e-08,4.8966935395355904e-08
1888,3.9311810695608074e-08,7.03808211710566e-08
1889,4.385595886446936e-08,3.132568338060082e-08
1890,2.6872983838188702e-08,3.2771932723107966e-08
1891,2.6134301833735663e-08,2.6134301833735663e-08
1892,2.820830502514582e-08,5.4536059224119526e-08
1893,4.495644034818724e-08,4.865148994781521e-08
1894,3.0247388593807045e-08,4.0329851458409394e-08
1895,3.91209944439197e-08,5.5973114143625935e-08
1896,1.7691087705884456e-08,4.65865284127176e-08
1897,3.787363667129284e-08,5.127508018176741e-08
1898,3.508180057565369e-08,3.677930848766664e-08
1899,2.5979618456517528e-08,3.979856444402685e-08
1900,2.7512582434496835e-08,4.9315005412609025e-08
1901,3.353243371861936e-08,3.297355988252093e-08
1902,2.1605249145295602e-08,3.780918689244572e-08
1903,3.834156458992766e-08,2.7001101798873606e-08
1904,3.439760121182189e-08,4.622177840474251e-08
1905,3.560923644840841e-08,2.7868098939620722e-08
1906,2.9321851613417493e-08,4.012463961089452e-08
1907,2.3657079850636364e-08,4.6285588695127444e-08
1908,2.1118973236866623e-08,2.7503778810000767e-08
1909,1.5402754627302784e-08,3.795678793494517e-08
1910,3.153049021875631e-08,3.046165986120286e-08
1911,3.458243114096149e-08,4.415910481725405e-08
1912,1.40654377034366e-08,2.917275843117295e-08
1913,2.4393752795504042e-08,3.977242357677824e-08
1914,2.9465672568562695e-08,3.147469485043075e-08
1915,3.062998032987707e-08,3.062998032987707e-08
1916,6.702352095544484e-08,1.648119329900055e-08
1917,1.7546279096336548e-08,1.315970976634162e-08
1918,4.9391417178412667e-08,4.020231614276781e-08
1919,2.025726608678724e-08,3.314825391953491e-08
1920,1.741613253614105e-08,3.407504323149624e-08
1921,1.060184651180407e-08,2.9533714140939082e-08
1922,2.8036154731125862e-08,3.467629738906908e-08
1923,9.554353752605493e-09,2.866305948145964e-08
1924,7.734974438733389e-09,3.867487308184536e-08
1925,1.8696901804560184e-08,2.0896537833436923e-08
1926,7.802296586589819e-09,3.232380052509143e-08
1927,1.0034302277972529e-08,2.2298449309232637e-08
1928,2.0566874425753667e-08,2.170947865920425e-08
1929,2.0052731031228177e-08,2.5622934884950155e-08
1930,2.10072066408884e-08,2.8359728787563654e-08
1931,1.3686427990933225e-08,2.3951248095954725e-08
1932,7.6716757391182e-09,1.3151444377967891e-08
1933,1.1470662641954732e-08,4.12943848004943e-08
1934,1.5576054224197833e-08,3.354842448288764e-08
1935,7.180970484910176e-09,2.0346082152400413e-08
1936,1.33371855781661e-08,1.33371855781661e-08
1937,1.1332006444320086e-08,2.5182236740306507e-08
1938,1.4261735792331365e-08,2.9819993585533666e-08
1939,1.988226472349197e-08,1.8352860564618823e-08
1940,2.5357829169792012e-09,1.2678914806940611e-08
1941,8.854508237732261e-09,5.9030051957620344e-09
1942,6.068423541449874e-09,2.4273694165799498e-08
1943,1.7419411690866582e-08,2.6129116648121453e-08
1944,2.2492303131116387e-08,9.639558484764166e-09
1945,2.178504132643866e-08,1.742803235060819e-08
1946,3.6194869323935563e-08,1.8097434661967782e-08
1947,1.4305045148432782e-08,7.152522574216391e-09
1948,2.6092530802657166e-08,2.9354097819123126e-08
1949,3.435953033203987e-08,1.2762110479513922e-08
1950,2.6588404367089424e-08,1.595304155443955e-08
1951,1.7058242818279723e-08,6.396841278899501e-09
1952,1.5817205323287453e-08,2.2144087452602434e-08
1953,1.508335856215126e-08,2.0470272588113403e-08
1954,1.07497895029951e-08,2.14995790059902e-08
1955,1.6894095011821264e-08,1.0324168187025862e-08
1956,1.831439710997529e-08,1.3953826538681824e-08
1957,1.1485549400447326e-08,3.003912851795576e-08
1958,1.7371711180658167e-08,1.3235589513271862e-08
1959,1.3951345856355601e-08,1.2401196514133517e-08
1960,1.7994166157109248e-08,1.314958364417862e-08
1961,1.111705483225478e-08,1.459113452284555e-08
1962,2.0928455413127267e-08,1.4586500007851555e-08
1963,1.939815952312074e-08,9.69907976156037e-09
1964,1.9468698653213323e-08,7.300761772910391e-09
1965,1.4227312661319047e-08,1.1491291473930687e-08
1966,2.0494576702390077e-08,9.416426749453422e-09
1967,1.4791006641701188e-08,1.0846738618397467e-08
1968,2.380450325745187e-08,2.515192853991266e-08
1969,1.9529558414888015e-08,1.2716921737876419e-08
1970,2.0694262303777577e-08,1.8854771965948203e-08
1971,1.490135304038631e-08,1.798439086542203e-08
1972,1.2312352026810913e-08,1.7955514408640738e-08
1973,1.0475087464101307e-08,1.3231689521830958e-08
1974,1.6314157136321228e-08,7.875800456247362e-09
1975,1.770558810676448e-08,1.1422960355389478e-08
1976,1.1427053969725876e-08,9.141642998145016e-09
1977,1.704266772151186e-08,1.1753563455840776e-08
1978,1.7821774278559133e-08,4.752473081737207e-09
1979,1.6385525825057812e-08,1.0533551808578068e-08
1980,1.5349906234973787e-08,8.527726080842513e-09
1981,1.0120879245789638e-08,8.223214109648325e-09
1982,1.4277254933858785e-08,5.586751949948621e-09
1983,1.8314416649900522e-08,9.47297440490047e-09
1984,1.2177918229383522e-08,4.639206796497319e-09
1985,1.0226449020933615e-08,5.414002135495366e-09
1986,1.3187867686781374e-08,6.593933843390687e-09
1987,9.166225112267057e-09,8.555143260480236e-09
1988,8.994830658082265e-09,1.0194141530917022e-08
1989,1.7561990972581043e-08,6.036934507847036e-09
1990,1.2531897297662908e-08,7.083246433836621e-09
1991,8.20605094986604e-09,1.2895223555631219e-08
1992,1.4325855168806356e-08,6.61193322315512e-09
1993,1.661762283333701e-08,2.7696036575264316e-09
1994,1.4242301560329906e-08,8.967375286772494e-09
1995,1.7894087989134277e-08,5.964695848348356e-09
1996,6.939520069693117e-09,1.0676184380997711e-08
1997,1.1507746755512471e-08,7.671831170341648e-09
1998,1.2397135762398648e-08,1.2397135762398648e-08
1999,5.484241505371301e-09,5.941261704833778e-09
2000,8.394259509714175e-09,7.068850393920911e-09
2001,9.20054432640427e-09,4.8193329327261836e-09
2002,1.270554239596322e-08,4.81934359086722e-09
2003,1.3334153337041244e-08,6.250384210204629e-09
2004,1.5416770082765652e-08,4.404791198453495e-09
2005,1.306087415997581e-08,3.1526248278623825e-09
2006,7.823991232669414e-09,5.7650457740976435e-09
2007,8.787854888225866e-09,5.192823504529542e-09
2008,1.0217855006544596e-08,8.51487946817997e-09
2009,1.2874119548200724e-08,1.5258216023994464e-08
2010,1.4171378737160012e-08,7.085689368580006e-09
2011,1.3001504761689375e-08,7.265546830836911e-09
2012,2.0765941854961056e-08,9.531907707582832e-09
2013,1.7850400269026068e-08,1.589801357226861e-08
2014,1.3642305063399363e-08,1.515811653973742e-08
2015,1.884089151360513e-08,2.017083566840938e-08
2016,2.237047169728612e-08,2.6306018696686806e-08
2017,1.2074934829797712e-08,1.0314006537726073e-08
2018,1.3939920329164579e-08,2.220061290358899e-08
2019,1.6581420680950032e-08,1.198964216797549e-08
