year,petit_ADJ ange_NOUN,petit_ADJ change_NOUN
1800,1.6349655673764119e-07,3.144164484325529e-09
1801,1.04772034603684e-07,0.0
1802,5.594600338554301e-08,0.0
1803,1.6967951310675744e-07,0.0
1804,1.0628959312697361e-07,0.0
1805,1.3645813190521494e-07,0.0
1806,7.492339548775817e-08,0.0
1807,7.971474502710407e-08,0.0
1808,1.9941451512295316e-07,2.2660739951163578e-09
1809,3.388545710691915e-08,0.0
1810,4.446240886579744e-08,0.0
1811,5.264861258069686e-08,0.0
1812,5.601137331723294e-08,2.6672082320544632e-09
1813,1.0640243885973177e-07,5.751483289628823e-09
1814,5.3493510066005e-08,0.0
1815,5.1247247778718474e-08,0.0
1816,7.18457204840206e-08,0.0
1817,9.808302259273205e-08,0.0
1818,1.0967482877433099e-07,1.1921177378582115e-09
1819,7.245734789940173e-08,0.0
1820,1.0561168028999646e-07,4.746592452420373e-09
1821,1.4890846955495363e-07,0.0
1822,6.416394171537831e-08,0.0
1823,1.5713472123479733e-07,9.882686891060644e-10
1824,7.494790565942822e-08,0.0
1825,1.1182912929008637e-07,0.0
1826,9.072223861039674e-08,0.0
1827,7.650336308895334e-08,0.0
1828,8.071625023919893e-08,0.0
1829,7.630126930280312e-08,0.0
1830,6.78394300734908e-08,0.0
1831,9.198811312671751e-08,0.0
1832,1.1365173968602704e-07,0.0
1833,1.5522061946882104e-07,0.0
1834,9.334530925997342e-08,0.0
1835,1.2327833331937654e-07,0.0
1836,1.122365268502179e-07,6.720750067579218e-10
1837,7.30578553209682e-08,1.3915781860163179e-09
1838,1.0099459180068493e-07,6.312161904276081e-10
1839,8.249940519622356e-08,0.0
1840,7.834717041799166e-08,3.821813088222825e-09
1841,1.0850727161226814e-07,1.2841097074556274e-09
1842,1.502651367779606e-07,0.0
1843,2.1383017612119914e-07,8.860366662588604e-09
1844,1.9923478006278472e-07,0.0
1845,1.3113535013431488e-07,0.0
1846,1.2060273180125591e-07,0.0
1847,7.658377310093556e-08,5.393223645455691e-10
1848,1.6492704751902565e-07,0.0
1849,1.4999153097328133e-07,0.0
1850,1.2288083439671027e-07,5.431196825611551e-09
1851,1.4704720774361135e-07,7.739326290945314e-09
1852,1.653678605162412e-07,3.580800012059626e-08
1853,1.642281186597927e-07,0.0
1854,1.5327209662574504e-07,0.0
1855,2.451804874681329e-07,5.306937111981824e-10
1856,1.4858533770034654e-07,0.0
1857,2.147863940038519e-07,4.881509085841174e-10
1858,2.857906751252415e-07,0.0
1859,2.7039439176590463e-07,5.092173349652285e-10
1860,3.3688072442750183e-07,0.0
1861,1.9571249015859493e-07,9.431927461278633e-10
1862,3.0360868730205937e-07,0.0
1863,2.0777621956291625e-07,2.9967726078439227e-09
1864,3.063831233163228e-07,0.0
1865,2.946484479182665e-07,2.3534221238463715e-09
1866,2.466865751671321e-07,0.0
1867,2.999037373996316e-07,0.0
1868,2.553914788538947e-07,4.93987406535723e-10
1869,3.3305600921629264e-07,9.767038289254515e-10
1870,2.3452260133893787e-07,5.734048791339319e-10
1871,1.9118119753969154e-07,2.1242354542039266e-09
1872,2.225420848711579e-07,6.047339295989218e-10
1873,2.035241488118622e-07,0.0
1874,1.8581034877396263e-07,5.974609140757536e-10
1875,2.5346365017941963e-07,0.0
1876,3.0169614340103124e-07,6.04601479992084e-10
1877,2.090467823290254e-07,3.710889595609501e-09
1878,1.6969839489178185e-07,3.0195443923020093e-09
1879,2.132154545142484e-07,1.832797580370027e-09
1880,1.5980436773865847e-07,0.0
1881,2.2102849206451225e-07,0.0
1882,2.0631693375960936e-07,6.655385131892899e-10
1883,1.4913639700964154e-07,1.2638677882037541e-09
1884,1.6042123185400214e-07,0.0
1885,1.43737681812528e-07,1.933690763067375e-09
1886,1.8392372119757638e-07,0.0
1887,2.1610740486011082e-07,6.528924623161458e-10
1888,2.0606997264138727e-07,0.0
