year,grand_ADJ chantier_NOUN
1800,6.288328968651058e-09
1801,0.0
1802,2.2378401354217203e-08
1803,1.950339267864365e-08
1804,2.2246658737401503e-08
1805,8.528633133053631e-09
1806,3.1698360380971735e-08
1807,4.270432762965015e-08
1808,1.3596443526608937e-08
1809,3.6144488291256494e-08
1810,1.6380887313260928e-08
1811,1.2535383842049441e-08
1812,3.7340914360584065e-08
1813,1.7254450312975678e-08
1814,9.440031423224582e-09
1815,3.506390644503199e-08
1816,4.6352077731626196e-09
1817,4.203558034987509e-08
1818,9.536941902865692e-09
1819,1.2421260464634543e-08
1820,1.898636980968149e-08
1821,4.9307441463142254e-09
1822,5.012807946513931e-09
1823,3.9530747564242574e-09
1824,1.2631669044083083e-08
1825,1.3208164117983756e-08
1826,1.4092774947016551e-08
1827,2.3043182806326e-08
1828,2.5682443727248483e-08
1829,2.3147574523818548e-08
1830,1.3567886369969528e-08
1831,2.6505050598757407e-08
1832,1.2176972430388844e-08
1833,2.7800709290204395e-08
1834,1.7735608537350345e-08
1835,1.5126175867408165e-08
1836,1.4113575363960962e-08
1837,2.4352618477330168e-08
1838,3.282324212428023e-08
1839,3.216078425793967e-08
1840,4.0129037870428874e-08
1841,1.6693426641012366e-08
1842,7.379091560011375e-09
1843,2.717179037325934e-08
1844,3.3480223038395707e-08
1845,4.5757870215101804e-08
1846,2.6930706553685013e-08
1847,1.4022381478184798e-08
1848,1.9308532439588078e-08
1849,8.379414495607307e-09
1850,1.765138968323754e-08
1851,1.999326104673571e-08
1852,2.5391126756701965e-08
1853,3.2845623998412066e-08
1854,6.234797400583858e-09
1855,4.2986190607052777e-08
1856,2.5368226630462232e-08
1857,1.9526036842965055e-08
1858,3.2787628612140907e-08
1859,1.2730432930041502e-08
1860,2.6089947757768073e-08
1861,4.574484813169022e-08
1862,2.5752521948252394e-08
1863,2.3974179641506055e-08
1864,2.7329949192633762e-08
1865,3.012380350719823e-08
1866,1.9462451206209153e-08
1867,5.580733208887523e-08
1868,3.161519468442009e-08
1869,2.783605879130846e-08
1870,2.0642576092910758e-08
1871,1.4869648623516696e-08
1872,2.1165687535962263e-08
1873,4.3697831464406534e-08
1874,1.4936523129449597e-08
1875,2.803548326824057e-08
1876,3.083467703390852e-08
1877,2.350230088321581e-08
1878,4.7708799522094836e-08
1879,2.6270097652769664e-08
1880,3.208923193831481e-08
1881,3.69542902944886e-08
1882,2.5290463057103807e-08
1883,3.665216452564124e-08
1884,2.5746618170785496e-08
1885,2.7716233141905633e-08
1886,3.7430089194767646e-08
1887,4.8966935395355904e-08
1888,3.233713585792941e-08
1889,3.320522468097664e-08
1890,4.8502458938060045e-08
1891,2.2947192590550003e-08
1892,2.8208304803101214e-08
1893,2.3401982574000613e-08
1894,2.646646524162577e-08
1895,4.393588515227975e-08
1896,2.0639601361338578e-08
1897,4.1369666914370384e-08
1898,2.772593932220957e-08
1899,4.09040801230276e-08
1900,3.9452004108042615e-08
1901,3.073806498221643e-08
1902,3.5845073576012965e-08
1903,3.240132184778588e-08
1904,4.729670255443352e-08
1905,6.192910922964145e-08
1906,5.761486754352063e-08
1907,2.982849167665336e-08
1908,3.7817696751929475e-08
1909,3.4106096613584214e-08
1910,5.611358233625907e-08
1911,4.415910459520944e-08
1912,3.177746976668061e-08
1913,1.7499865279102522e-08
1914,2.8795998030517467e-08
1915,3.4164208906339866e-08
1916,3.40611328031315e-08
1917,5.70254080622945e-08
1918,1.0797193805700545e-07
1919,7.366278398368564e-08
1920,3.7861158208585266e-08
1921,3.256281333463562e-08
1922,5.902348465536278e-08
1923,4.564857691846669e-08
1924,2.0626598873363378e-08
1925,4.5092529710188956e-08
1926,2.8979959765251806e-08
1927,3.1217830098739796e-08
1928,3.7705935818088676e-08
1929,4.567566525004452e-08
1930,6.09209021007473e-08
1931,1.2545892325022123e-08
1932,3.287860927958519e-08
1933,3.211785282175583e-08
1934,4.193553060360955e-08
1935,5.505410705097802e-08
1936,3.3949200339833396e-08
1937,3.0218684332616874e-08
1938,1.6854778350783306e-08
1939,3.6705721129237645e-08
1940,4.3108308034334186e-08
1941,3.836953510472085e-08
1942,4.5513175450651033e-08
1943,5.2258233740332116e-08
1944,5.46241629706401e-08
1945,5.010559211982013e-08
1946,4.1763311031672856e-08
1947,4.291513433507532e-08
1948,4.022598432129598e-08
1949,6.184715317658629e-08
1950,7.232045717842084e-08
1951,8.20927950062611e-08
1952,9.806667555789517e-08
1953,9.480967833042087e-08
1954,5.2771695457920487e-08
1955,6.194501134260122e-08
1956,5.581530726495032e-08
1957,5.301022554249357e-08
1958,7.610464303198228e-08
1959,6.665642782177628e-08
1960,6.297958315970575e-08
1961,7.712456467912077e-08
1962,7.864025663995022e-08
1963,9.505098608197926e-08
1964,7.118242967285582e-08
1965,7.496699172548915e-08
1966,6.979234001835977e-08
1967,8.135053897184719e-08
1968,6.332896412830635e-08
1969,8.493087247374298e-08
1970,6.852100048471144e-08
1971,9.45465099544407e-08
1972,1.1337624805651814e-07
1973,1.1522596010671293e-07
1974,1.0519818749443743e-07
1975,1.1822764323099477e-07
1976,1.1998406113100657e-07
1977,1.0989582382991969e-07
1978,1.348514255816724e-07
1979,1.187950604553123e-07
1980,1.313269801794803e-07
1981,1.9545947749222137e-07
1982,1.6077430675665028e-07
1983,1.7746037683785687e-07
1984,1.3801639620059092e-07
1985,1.5159206134818248e-07
1986,1.438676578424669e-07
1987,2.0593452493278264e-07
1988,1.8109592619941495e-07
1989,2.34891635697565e-07
1990,2.7733633278792524e-07
1991,2.7021355708534145e-07
1992,3.3335163251990707e-07
1993,2.6034275579789323e-07
1994,2.9908832477332226e-07
1995,3.9095869386329696e-07
1996,5.706420469486773e-07
1997,4.885997371140149e-07
1998,4.2627075602652553e-07
