year,seraient_VERB aux_ADP,seraient_VERB chauds_ADJ
1800,1.8864987794131594e-08,0.0
1801,1.1905912700171939e-08,0.0
1802,3.1329761895904085e-08,0.0
1803,2.5354410126965377e-08,0.0
1804,1.2359254952798437e-08,0.0
1805,2.842877755426798e-08,0.0
1806,3.458002950651462e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,2.039466551195801e-08,0.0
1809,4.743964154840796e-08,0.0
1810,7.020380277111826e-09,0.0
1811,7.270522672797597e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,5.176335093892703e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,1.1867783911156948e-07,0.0
1816,3.0128852301913867e-08,0.0
1817,6.227493543065066e-08,0.0
1818,5.6029534789558966e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,1.6613073583471305e-08,0.0
1821,3.155676253641104e-08,0.0
1822,5.1130641054442094e-08,0.0
1823,4.644862983127496e-08,0.0
1824,4.29476756380609e-08,0.0
1825,2.553578504205234e-08,3.522177216552791e-09
1826,3.435113882233054e-08,0.0
1827,5.346018383534101e-08,0.0
1828,6.237164740241496e-08,0.0
1829,3.429270378774163e-08,0.0
1830,1.5655253093882493e-08,0.0
1831,5.9246584527272717e-08,0.0
1832,3.111892965534935e-08,0.0
1833,3.4750886612755494e-08,0.0
1834,1.5868701908061666e-08,0.0
1835,7.033671778344797e-08,7.563087933704082e-10
1836,3.293167694096155e-08,0.0
1837,4.731365876864402e-08,0.0
1838,5.1759727170974656e-08,0.0
1839,2.586845759822154e-08,0.0
1840,3.630722389402763e-08,0.0
1841,7.640452537316378e-08,0.0
1842,7.44617452141938e-08,0.0
1843,5.729703644874462e-08,0.0
1844,2.7442807137845193e-08,0.0
1845,5.412821124650691e-08,0.0
1846,3.922516000898213e-08,0.0
1847,4.368511241636952e-08,0.0
1848,4.827133182061516e-08,0.0
1849,8.295620546050486e-08,0.0
1850,2.851378333446064e-08,0.0
1851,6.44943867200709e-08,1.9348316282474798e-09
1852,4.362065553209504e-08,6.510545436100301e-10
1853,5.5538965426649156e-08,2.9859659189668264e-09
1854,2.338049043260071e-08,0.0
1855,5.3600064831016425e-08,0.0
1856,4.659470320689252e-08,5.177189232874468e-10
1857,3.758761835115365e-08,0.0
1858,2.9851424443450014e-08,0.0
1859,3.6154432336843456e-08,0.0
1860,4.439868561689764e-08,0.0
1861,4.385846352761291e-08,4.715963730639317e-10
1862,3.7499287230957634e-08,1.3553959066214816e-09
1863,2.7470415275843152e-08,0.0
1864,2.7809422320501653e-08,0.0
1865,4.89511826629041e-08,4.706844247692743e-09
1866,4.281739407474561e-08,4.865612912574591e-10
1867,4.901339423213358e-08,0.0
1868,2.766329387782207e-08,2.9639244392143382e-09
1869,4.785848872757015e-08,4.395167341186834e-09
1870,3.383088653663435e-08,0.0
1871,3.611200227737754e-08,0.0
1872,4.051717183983783e-08,0.0
1873,4.42964314117944e-08,0.0
1874,2.8678122987457755e-08,0.0
1875,2.8607635371713513e-08,0.0
1876,2.478866001354163e-08,0.0
1877,5.318941731502491e-08,0.0
1878,4.7708802242141246e-08,2.4156354694326865e-09
