year,fut_VERB au_ADP,fut_VERB chaud_ADJ
1800,3.7226907352305716e-06,1.5720821977538435e-08
1801,3.838466454908485e-06,4.7623651688866175e-09
1802,2.9852787974959938e-06,2.2378401354217203e-09
1803,2.640759248606628e-06,1.3652374342143503e-08
1804,2.857459776350879e-06,4.449331569844617e-08
1805,3.3147953217849135e-06,2.842877711017877e-09
1806,3.086267724938807e-06,2.881669125542885e-09
1807,2.886812580982223e-06,1.7081731584767113e-08
1808,3.4512306683609495e-06,0.0
1809,3.0406549740291666e-06,2.710836710662079e-08
1810,3.566353143469314e-06,4.212228077449254e-08
1811,3.863405254378449e-06,1.0028307073639553e-08
1812,3.099296009168029e-06,4.800974906515876e-08
1813,3.511280510792858e-06,1.7254450312975678e-08
1814,4.625615474651568e-06,5.664018942752591e-08
1815,3.843543709081132e-06,5.394447111228828e-09
1816,3.1287652291212e-06,4.4034472068688046e-08
1817,3.615059995354386e-06,1.2454987086130132e-07
1818,3.953062332584523e-06,2.384235475716423e-09
1819,3.984119302913314e-06,3.1053151161586356e-09
1820,4.333639026299352e-06,3.559944161679596e-08
1821,3.5067453154624673e-06,3.94459531705138e-09
1822,4.224794338369975e-06,3.5089655625597516e-08
1823,4.7901385187287815e-06,6.324919610278812e-08
1824,4.8724559746915475e-06,2.2737005167527968e-08
1825,5.518371381185716e-06,4.402721387464226e-08
1826,4.314150828577112e-06,5.284790383086602e-09
1827,4.657488261727849e-06,3.133872894522938e-08
1828,3.5854525322065456e-06,2.0179061976932644e-08
1829,4.513777184911305e-06,3.429270423183084e-09
1830,3.965997620980488e-06,1.878630406793036e-08
1831,3.8026951187930536e-06,3.1182412207897414e-09
1832,3.961575202993117e-06,1.3529969367098715e-09
1833,3.79595508093189e-06,4.6334514003376626e-09
1834,4.0633212847751565e-06,4.29388435918554e-08
1835,4.2784390643646475e-06,4.0084366048631637e-08
1836,4.40746771346312e-06,3.696412420595152e-08
1837,4.391820766613819e-06,1.1828414692161004e-08
1838,5.078134108771337e-06,7.574594285131298e-09
1839,4.0256913962366525e-06,5.5931801412612e-09
1840,3.983603164670058e-06,1.0191501864653674e-08
1841,3.5672567264555255e-06,1.1556987367100646e-08
1842,3.9263477447093464e-06,4.092041550052272e-08
1843,3.974169885623269e-06,1.0041748765843295e-08
1844,3.892487711709691e-06,1.3721403568922597e-08
1845,3.6037113204656634e-06,1.3392547515422848e-08
1846,3.5753439533436904e-06,1.2294452567118697e-08
1847,3.6091453239350813e-06,1.240441438454809e-08
1848,3.6573578654497396e-06,8.84974404868899e-09
1849,3.078597046624054e-06,5.02764896381791e-09
1850,3.2709383503970457e-06,1.9009188889640427e-08
1851,3.480762188701192e-06,1.7413483988093503e-08
