year,était_VERB au_ADP,était_VERB chaud_ADJ,etait_VERB au_ADP
1800,4.50873176305322e-06,9.118077315406481e-08,2.829747991484055e-08
1801,4.5456777115759905e-06,1.2144030847593967e-07,4.048010393553625e-08
1802,3.43508463629405e-06,3.8043282302169246e-08,1.5664880947952042e-08
1803,3.7485519897018094e-06,2.9255089017965474e-08,3.900678446910888e-09
1804,5.729750682803569e-06,4.2021465418429216e-08,1.4831105232815389e-08
1805,3.488210950308712e-06,3.4114531644036106e-08,1.421438877713399e-08
1806,4.397426891955547e-06,1.4408345627714425e-08,8.645007376628655e-09
1807,5.437684194475878e-06,1.9928686256776018e-08,5.693910232196231e-09
1808,3.825132807833143e-06,6.798221985349073e-09,3.172503637571822e-08
1809,4.608422386809252e-06,4.969867006821005e-08,2.9367397402779716e-08
1810,4.5492065510188695e-06,2.106114038724627e-08,1.1700633351097167e-08
1811,6.009463049849728e-06,1.2535384286138651e-08,1.504245972228091e-08
1812,5.214391876506852e-06,5.067695596494559e-08,1.8670456736202823e-08
1813,7.085827292030444e-06,2.8757416004054903e-08,2.5881675469463516e-08
1814,6.538794877997134e-06,1.8880061958270744e-08,6.293354282149721e-09
1815,5.890736247238237e-06,4.5852800667489646e-08,8.091670444798638e-09
1816,5.991006219119299e-06,7.416332437060191e-08,1.1588019432906549e-08
1817,6.95299650033121e-06,6.227493543065066e-08,7.784366928831332e-09
1818,6.197820312081603e-06,4.768470773797162e-08,1.0729059418679299e-08
1819,6.498389211628819e-06,3.8298885840504227e-08,2.7947834824182394e-08
1820,7.587428171973443e-06,5.93324074316115e-08,2.610625848831205e-08
1821,7.81128528615227e-06,3.254291058851777e-08,4.339054981983281e-08
1822,8.31324086902896e-06,6.717162648328667e-08,1.4035862250239006e-08
1823,8.248090125562157e-06,7.609668983832307e-08,9.882686669016039e-09
1824,8.189532309188507e-06,5.221090049190025e-08,1.6842226280289196e-08
1825,8.396870725846384e-06,4.842993561737785e-08,6.163809906922779e-09
1826,7.060480129439384e-06,5.2847905607222856e-08,2.730475201495608e-08
1827,8.202451681427192e-06,6.175572764277604e-08,2.949527377893446e-08
1828,8.63113564264495e-06,8.530240336313e-08,4.586150481600271e-08
1829,9.763990419742186e-06,9.859152783064928e-08,1.8860987438529264e-08
1830,8.853568033373449e-06,1.2419835115906608e-07,2.191735437584441e-08
1831,8.567367331124842e-06,7.795603096383275e-08,1.7150326936388183e-08
1832,9.029901775647886e-06,4.6001897402447867e-08,2.3000948701223933e-08
1833,9.439499081054237e-06,1.4132027104096778e-07,1.6217079235048004e-08
1834,8.889273885870352e-06,1.2041545005558874e-07,1.4935249259551142e-08
1835,9.27990913623944e-06,1.0890846624533879e-07,2.0420337421001022e-08
1836,8.851900020090397e-06,7.728862527756064e-08,1.747394939854985e-08
1837,8.809385690256022e-06,9.253994903701823e-08,1.0436836284100082e-08
1838,9.038384632731322e-06,9.846972659488529e-08,1.7674053109928423e-08
1839,8.533095751772635e-06,1.0696957275513341e-07,1.1885507689157748e-08
1840,9.750082426762674e-06,1.0828470919932442e-07,2.4841785517537573e-08
1841,9.039490578288678e-06,9.695028069245382e-08,2.1829864582656455e-08
1842,9.401633178640623e-06,8.586579269831418e-08,2.4820581145945653e-08
1843,9.16161934583215e-06,8.683159080646874e-08,1.7720733325177207e-08
1844,9.573148417985067e-06,8.068185053389243e-08,1.0977122322231025e-08
1845,9.847428373177536e-06,6.194053270291988e-08,8.928364714222425e-09
1846,9.300460988015402e-06,7.376671362635534e-08,1.5221703009160592e-08
1847,8.939267900132108e-06,5.3932236454556914e-08,1.941560512364049e-08
1848,8.465986866212916e-06,8.125673645054121e-08,1.367687652020777e-08
1849,9.397514077136293e-06,7.876649732452279e-08,1.256912263158938e-08
1850,8.770025488047395e-06,5.363306954109248e-08,8.146795238417326e-09
1851,9.332982699561398e-06,8.448764532431596e-08,1.3543821175687754e-08
1852,8.892103323887568e-06,8.138182039374442e-08,1.8229526776991634e-08
1853,9.129292266152333e-06,6.987160361404676e-08,8.957897534855874e-09
1854,8.465815881208982e-06,4.312401458150816e-08,1.9223959313308114e-08
1855,9.105642675422132e-06,5.041590256382733e-08,1.3798036491152743e-08
1856,8.661955689603928e-06,6.833889898416601e-08,6.730345780692204e-09
1857,9.225564099324401e-06,4.930324237761852e-08,6.345961645060072e-09
1858,9.205494279740378e-06,5.431980554249094e-08,1.2723557762939208e-08
1859,9.632354704081081e-06,7.383651023928905e-08,7.638260024478427e-09
1860,9.672046871855855e-06,6.820003761731641e-08,1.0985241494232412e-08
1861,8.904211426852271e-06,7.781340372048362e-08,1.2261505866195677e-08
1862,9.412320650881156e-06,7.996835904577893e-08,1.490935552794781e-08
1863,9.279506230086554e-06,6.642845562510047e-08,1.6981711148389422e-08
1864,8.924426765588578e-06,6.952355846578939e-08,1.2945765348604255e-08
1865,8.976422577688936e-06,4.989254875908955e-08,5.648213063924601e-09
1866,9.757500265550334e-06,8.514822269489741e-08,5.352174259343201e-09
1867,9.03447926248191e-06,6.066014179850754e-08,5.338092634588065e-09
1868,8.477318260702305e-06,6.767627525050557e-08,1.0373735981339394e-08
1869,9.139505891653243e-06,6.397409890723793e-08,2.5882651355502162e-08
1870,8.927340786613058e-06,9.403839840160799e-08,8.027668307875047e-09
1871,8.707241249794606e-06,7.009977309735405e-08,1.5931766128574054e-08
1872,9.233077435055748e-06,6.893966997267853e-08,1.2699412965666568e-08
1873,8.127796718326863e-06,8.32054638522095e-08,1.2570609775330865e-08
1874,9.236147889168933e-06,8.065722312267098e-08,6.572069888299836e-09
1875,8.740204975765664e-06,5.492665877682157e-08,5.721527251978387e-09
1876,8.483768397127278e-06,8.524880712457161e-08,7.255217537860403e-09
1877,8.591946425440256e-06,1.0761579716245251e-07,6.184816214727107e-09
1878,8.56161568663083e-06,6.76377922559368e-08,1.0870359723469392e-08
1879,8.568939847464208e-06,6.109325312309011e-08,8.55305515301552e-09
1880,7.938234375615139e-06,6.610381575455904e-08,1.0268554007097919e-08
1881,8.101356797851622e-06,6.902782700990429e-08,9.761510710859511e-09
1882,8.253343366959598e-06,7.05470810657971e-08,7.986461936226874e-09
1883,8.058421371970326e-06,7.456819872686538e-08,5.0554711528150165e-09
1884,8.287770469905809e-06,7.6579681262956e-08,3.300848483434038e-09
1885,8.139548299368471e-06,6.767917426486747e-08,7.7347630522695e-09
1886,7.729313438176177e-06,7.034275739670193e-08,8.389503092232076e-09
1887,7.4116351242992096e-06,6.333056745688737e-08,1.3710741431083306e-08
