year,eurent_VERB assez_ADV,eurent_VERB chassé_VERB
1800,2.2323567350213125e-07,6.288328968651058e-09
1801,1.619204113012529e-07,6.191074675143682e-08
1802,2.1707049313590687e-07,3.8043282302169246e-08
1803,2.106366423504369e-07,1.3652374342143503e-08
1804,1.5819846055364906e-07,2.7190360185613827e-08
1805,1.6204403152642044e-07,3.4114531644036106e-08
1806,2.3917854719002207e-07,8.645007376628655e-09
1807,1.5942949005420815e-07,1.1387820464392462e-08
1808,2.628645745517133e-07,9.064295980465431e-09
1809,1.581321384946932e-07,3.162642769893864e-08
1810,2.4805342491163174e-07,6.31834211617388e-08
1811,2.1560860830049933e-07,4.512738271955641e-08
1812,5.867858021701977e-08,2.9339290108509886e-08
1813,1.8979895344273245e-07,4.3136125782439194e-08
1814,1.1013369771717407e-07,5.664018942752591e-08
1815,2.346584437873389e-07,5.394447111228828e-09
1816,2.248075787747439e-07,9.270415546325239e-09
1817,2.568841068750771e-07,5.4490570278176165e-08
1818,2.3365507217931736e-07,6.914282835168706e-08
1819,2.1116142079335987e-07,4.6579724966022695e-08
1820,2.8479553293436766e-07,4.50926265216367e-08
1821,2.1103585368109634e-07,4.339054981983281e-08
1822,1.9850719468195166e-07,3.909990198280866e-08
1823,3.4589405117912975e-07,2.668325471688604e-08
1824,3.494761813271907e-07,2.4421225930382207e-08
1825,2.879379792375403e-07,5.0191026446100295e-08
1826,1.5766292449370667e-07,3.435113882233054e-08
1827,2.820485462962097e-07,2.6730091917670507e-08
1828,2.568244212852733e-07,6.145441489024961e-08
1829,2.426208709493949e-07,3.086343269842473e-08
1830,2.0978039572128182e-07,3.861629238599562e-08
1831,1.1225668572478753e-07,6.080570358335535e-08
1832,1.7724259748774784e-07,3.5177919244233635e-08
1833,1.8997150164068444e-07,1.0425265983826648e-08
1834,1.9042443000216736e-07,2.0535967593104942e-08
1835,2.677332986422698e-07,2.3445572594482655e-08
1836,1.5256102869898314e-07,3.8980349614803345e-08
1837,1.871672594688789e-07,6.053365098068753e-08
1838,2.2155688839120558e-07,2.2723781967215473e-08
1839,1.7548602215811115e-07,2.7965899818127582e-08
1840,1.598791925516707e-07,1.8472096741106725e-08
1841,1.4959877603359928e-07,2.0545755319290038e-08
1842,1.9051472577302775e-07,1.408735705865638e-08
1843,1.494448440553242e-07,4.1939067330076796e-08
