year,grand_ADJ art_NOUN,grand_ADJ char_NOUN
1800,2.1443201436710524e-06,5.0306630416940834e-08
1801,2.7169294298801105e-06,7.143547975374531e-09
1802,1.6067691888110858e-06,0.0
1803,1.7475039264525094e-06,3.1205427575287104e-08
1804,2.311180542946545e-06,4.69651695311768e-08
1805,2.3141024030337576e-06,3.695740957709859e-08
1806,2.077683348034043e-06,5.76333825108577e-09
1807,1.6028356792929799e-06,1.1672516109229036e-07
1808,2.3476526123111796e-06,9.064295980465431e-09
1809,1.6016526762641092e-06,2.259030518203531e-09
1810,1.8931625049845024e-06,2.3401266702194334e-08
1811,1.4616257146826683e-06,2.0056614147279106e-08
1812,1.5363119851841134e-06,2.6672083208723052e-08
1813,1.6477999906783225e-06,0.0
1814,1.3939779819338582e-06,2.2026739543434815e-08
1815,1.3540062582251267e-06,5.394447111228828e-09
1816,1.29090537015486e-06,1.367386346373678e-07
1817,2.4333931382125584e-06,6.227493631882908e-09
1818,1.6475066737520194e-06,3.5763532135746345e-09
1819,2.1312811533391596e-06,3.4158465056499665e-08
1820,1.5782419655607782e-06,3.559944161679596e-08
1821,2.1083862353776794e-06,1.0847637343935901e-08
1822,1.7725288472547618e-06,9.023054303725075e-09
1823,1.3578811604020302e-06,2.9648061450338048e-08
1824,1.4905369578599448e-06,3.705289586264371e-08
1825,1.6113960668029392e-06,8.805443041381977e-10
1826,1.3837342959233112e-06,3.6112734136395375e-08
1827,1.3374263740928427e-06,1.2904182611350734e-08
1828,1.0841660108562579e-06,1.3758452155343548e-08
1829,1.7712181269446958e-06,2.8291480991260443e-08
1830,1.3755749250776717e-06,1.982998831806526e-08
1831,1.0851479146367637e-06,1.2472964883158966e-08
1832,1.4355297253132449e-06,1.7588959622116818e-08
1833,1.2406066011161343e-06,4.6334514003376626e-09
1834,1.0650700232872623e-06,4.1071936074388304e-08
1835,8.531163331326752e-07,2.7227116561334697e-08
1836,7.701979296004247e-07,4.032450107160912e-08
1837,9.810625795081407e-07,3.8268400781582557e-08
1838,1.0276199149394927e-06,3.345445720448481e-08
1839,8.564557334445055e-07,4.754203297707704e-08
1840,1.098771315266589e-06,3.949206894837687e-08
1841,9.7849163527286e-07,3.467096254539115e-08
1842,1.1296718156472707e-06,5.836190553054621e-08
1843,1.0526114970765832e-06,2.3036953678001737e-08
1844,1.0949679982164007e-06,1.1745521399930681e-07
1845,8.822340512582016e-07,2.622707206967334e-08
1846,1.0145851290221941e-06,1.1299187807622957e-07
1847,9.1469074448014e-07,2.0494249852731627e-08
1848,6.556855789430216e-07,3.378993085334514e-08
1849,8.924077159466748e-07,1.843471353346615e-08
1850,8.099272195138951e-07,2.1045888587423178e-08
1851,8.203685837315788e-07,5.3530342825069965e-08
1852,8.672046449831328e-07,2.278690836021724e-08
1853,1.0014929292534447e-06,2.20961471342207e-08
1854,1.2313724249146674e-06,3.4810952342922974e-08
1855,1.1754865951729698e-06,5.890700194299825e-08
1856,1.044756734458474e-06,2.433278972757691e-08
1857,1.082230612015067e-06,4.6862485725274183e-08
1858,1.2204828485629093e-06,5.774537603642216e-08
1859,1.5164491704577898e-06,6.365216709269816e-08
1860,1.1360570930096792e-06,4.8060429858054476e-08
1861,1.3935672475984262e-06,6.602349333917346e-08
1862,1.461568566396565e-06,3.6143891435358455e-08
1863,1.390002991819017e-06,3.795911879267422e-08
1864,1.7107589163067871e-06,7.959248193856183e-08
1865,1.353217737865009e-06,6.777855587891679e-08
1866,1.1623948781291915e-06,1.0120474769337306e-07
1867,1.8013636200464589e-06,1.0045319420726173e-07
1868,1.7195701657035656e-06,1.8573926496845417e-07
1869,1.5822602552617582e-06,4.15099131734209e-08
1870,1.53385802237338e-06,6.651496819998215e-08
1871,8.114579264084654e-07,1.6993883633631413e-08
1872,1.4628513453907033e-06,3.567930284553711e-08
1873,1.341463593984571e-06,4.250063073696353e-08
1874,1.4351010939606113e-06,3.1067967309894584e-08
1875,1.5007566254165994e-06,3.37570102426632e-08
1876,1.6451206201750779e-06,1.3180311952964985e-07
1877,1.887605875605658e-06,3.401648873690988e-08
1878,1.6704119223387437e-06,4.227361927178208e-08
1879,1.626913315178058e-06,4.581993806596074e-08
1880,1.66799826573083e-06,4.299957012676714e-08
1881,1.579273009255644e-06,5.299105709788421e-08
1882,1.7210826248614808e-06,5.590523510790035e-08
1883,1.6405004408248658e-06,4.2971503688704615e-08
1884,1.5976106162440828e-06,5.413391512831822e-08
1885,1.5901383179084405e-06,3.416186999949389e-08
1886,1.3758785435413756e-06,4.130216829656419e-08
1887,1.2731403158383614e-06,1.5669418762520593e-08
1888,1.3334312649604385e-06,3.0434949893631824e-08
1889,1.2392440247310788e-06,5.325366103647866e-08
1890,1.1856884798433498e-06,2.2284913914205617e-08
1891,1.247434870954578e-06,3.505821033478185e-08
1892,1.1496452154702297e-06,4.764069316820496e-08
1893,1.0851130154421185e-06,4.803564851441067e-08
1894,1.1846893750444565e-06,4.6001235043391375e-08
1895,1.2994188871573442e-06,3.671354775747204e-08
1896,1.1552279453042047e-06,2.4767522477375792e-08
1897,1.0622098791657208e-06,4.020432486928627e-08
1898,1.0032263690895604e-06,2.3199254406414127e-08
1899,1.0425012320069982e-06,1.6582735185011188e-08
1900,1.2801136701767746e-06,1.8687791425442413e-08
