year,tout_ADV armé_VERB,tout_ADV charmé_VERB
1800,1.8236154630812962e-07,3.144164484325529e-09
1801,2.2383116515811707e-07,0.0
1802,2.953948978756671e-07,2.2378401354217203e-09
1803,2.632957887271914e-07,9.751696339321825e-09
1804,2.71903616066993e-07,7.4155526164076946e-09
1805,2.245873389483677e-07,1.1371510844071508e-08
1806,2.2188852710769424e-07,0.0
1807,1.8505208743135881e-07,5.693910232196231e-09
1808,1.9261628381173068e-07,0.0
1809,2.0105371278944517e-07,6.7770917766551975e-09
1810,2.457133234656794e-07,2.574139479349924e-08
1811,3.2591998433417757e-07,0.0
1812,3.200650011692119e-07,2.6672082320544632e-09
1813,1.9555042740648787e-07,1.7254450312975678e-08
1814,1.2901375612273114e-07,0.0
1815,1.6722786710943183e-07,8.091670444798638e-09
1816,1.205154056549418e-07,0.0
1817,2.2107602148935257e-07,6.227493631882908e-09
1818,2.396156730810617e-07,1.1921176934492905e-08
1819,4.2646327413908836e-07,1.1386155351900129e-08
1820,3.168350417581678e-07,1.0679833017945839e-08
1821,2.465372127558041e-07,1.2819934891439289e-08
1822,3.338529950269731e-07,6.015369535816717e-09
1823,3.5281191268499157e-07,1.9765373338032077e-08
1824,4.075818411664045e-07,2.5263338088166165e-09
1825,5.538623666367926e-07,4.4027217427355936e-09
1826,5.346446330101173e-07,4.403992281964975e-09
1827,2.562401846262219e-07,2.7651819167751057e-09
1828,2.1554907903009735e-07,3.668920500743411e-09
1829,2.9234531045974066e-07,1.0287811491593857e-08
1830,2.8075088787105074e-07,1.2524203230057651e-08
1831,2.8687819053629937e-07,6.236482441579483e-09
1832,2.489514372427948e-07,2.0294953273491956e-08
1833,2.2008893552083464e-07,3.4750886612755494e-09
1834,2.3429672069141816e-07,1.3068342852307069e-08
1835,4.0084366048631637e-07,8.31939672707449e-09
1836,4.71796655077128e-07,1.949017514046858e-08
1837,4.306934364706194e-07,1.8090515752078318e-08
1838,5.415834813948806e-07,6.312162126320686e-09
1839,3.9991238987013844e-07,1.8177836125232716e-08
1840,3.713528371473984e-07,3.1848443882154243e-09
1841,2.651686656918173e-07,3.852329255593645e-08
1842,3.334007860900101e-07,7.379091560011375e-09
1843,2.841224243099738e-07,1.7720733769266417e-09
1844,2.8375861038654193e-07,1.2623690537338916e-08
1845,3.1081868900884047e-07,9.48638767539478e-09
1846,2.6872161162927455e-07,2.4003455223464698e-08
1847,2.394591351873032e-07,8.629157832729106e-09
1848,2.3572499685542425e-07,2.815827571112095e-08
1849,2.421650815431775e-07,5.1952371293850774e-08
1850,3.3401861720960824e-07,5.4311966479758667e-08
1851,2.7603599050962657e-07,1.483370937194195e-08
1852,2.2591592596654664e-07,8.463708844885787e-09
1853,2.6097343042152943e-07,2.9859659189668264e-09
1854,3.1797466570893107e-07,1.0910895298366086e-08
1855,2.775528145093631e-07,2.4942604426314574e-08
1856,2.319380740800625e-07,1.1389816201301528e-08
1857,3.177862306635859e-07,2.2943092758964667e-08
1858,2.2510909092332554e-07,1.761723389392955e-08
1859,2.810879773385011e-07,2.4442432522420177e-08
1860,2.7783505274214804e-07,2.3801355553132453e-08
1861,2.6079278869772793e-07,2.405141535932742e-08
1862,3.162590475058735e-07,2.2138133104476765e-08
1863,2.2825416634564277e-07,2.0977406756106376e-08
1864,2.2295484969347967e-07,1.4863656749852794e-08
