year,tout_ADV aux_ADP,tout_ADV chaud_ADJ
1800,2.829747991484055e-08,1.8864986373046122e-07
1801,5.476719877606229e-08,2.571677271134831e-07
1802,1.5664880947952042e-08,2.2602185367759375e-07
1803,1.1702034896643454e-08,2.02835281015723e-07
1804,5.438072037122765e-08,2.694317515761213e-07
1805,1.7057265822018053e-08,2.1321582721611776e-07
1806,1.4408345627714425e-08,1.9595350408962986e-07
1807,1.7081731584767113e-08,2.44838133767189e-07
1808,5.6651849877908944e-08,1.6315732409566408e-07
1809,1.129515236897305e-08,2.0331275152329908e-07
1810,1.4040760554223652e-08,2.6443433398526395e-07
1811,1.2535384286138651e-08,2.732713539899123e-07
1812,2.9339290108509886e-08,1.7336853375127248e-07
1813,8.627225156487839e-09,1.4091133948568313e-07
1814,1.5733386149463513e-08,1.195737269199526e-07
1815,2.1577788444915313e-08,8.091670622434322e-08
1816,1.3905623319487859e-08,2.5261883251914696e-07
1817,2.3353100786493997e-08,2.3041727104100573e-07
1818,1.668964877410417e-08,1.1086694939876907e-07
1819,1.9666995143552413e-08,2.2047736081276526e-07
1820,4.034603762193001e-08,1.6494408328071586e-07
1821,2.070912508145284e-08,9.960103142248045e-08
1822,1.7043547018147365e-08,1.523893615740235e-07
1823,1.581229902569703e-08,1.3440454438296e-07
1824,1.6842225392110777e-08,9.431646219582035e-08
1825,2.993850500843109e-08,2.0780845488843624e-07
1826,1.5854372037438225e-08,1.1626539275777503e-07
1827,1.2904182611350734e-08,1.087638210606201e-07
1828,1.4675682002973645e-08,1.2749498523589864e-07
1829,3.086343269842473e-08,1.38885445200021e-07
1830,9.39315203396518e-09,1.7951357733636542e-07
1831,2.182768810143898e-08,1.6682589887295762e-07
1832,2.1647950987357945e-08,2.773643643649848e-07
1833,2.20088942626262e-08,1.888131464511389e-07
1834,2.5203233278148218e-08,1.2134890314818847e-07
1835,2.4201881387853064e-08,2.0344707252206717e-07
1836,4.9061473994527205e-08,1.7070705488064775e-07
1837,3.6876823372722356e-08,1.976041090756553e-07
1838,1.8305270410579055e-08,1.2687445405390463e-07
1839,9.788065469251706e-09,1.6779540601419285e-07
1840,2.356784811752277e-08,1.4331799602640416e-07
1841,1.4125206782011901e-08,1.239165894340033e-07
1842,1.9453969102301016e-08,1.1471133376517173e-07
1843,2.0674189471492355e-08,1.5948660014863947e-07
1844,1.0977122377742177e-08,1.2404148574951535e-07
1845,2.2320911341466854e-08,1.3169338330953906e-07
1846,1.4050803187615202e-08,1.4460617592249037e-07
1847,1.6718992412734224e-08,9.707802917091612e-08
1848,1.287235473768078e-08,9.73471847576235e-08
1849,1.6758829879393033e-08,1.4245006085822354e-07
1850,1.0183494048021657e-08,1.2152302986123686e-07
1851,1.0319102461409102e-08,1.5543147791063916e-07
1852,1.6276363368206148e-08,1.438830565803073e-07
1853,1.791579506971175e-08,1.30188112734686e-07
1854,1.92239586471743e-08,1.3145030663963553e-07
1855,1.1675261646360013e-08,1.549625601171556e-07
1856,2.174419400091665e-08,1.5997514424270776e-07
1857,1.8549734193129552e-08,1.869617980432281e-07
1858,1.565976326389773e-08,1.2527810500095882e-07
1859,1.323965070909594e-08,1.94011802401306e-07
1860,1.785101666484934e-08,1.8537594836942617e-07
1861,3.1125360067107977e-08,1.4760966848825774e-07
1862,2.2589931703009825e-08,1.8297843962233884e-07
1863,2.946826249683454e-08,2.0178267945425432e-07
1864,1.4384183621984903e-08,1.625412806571802e-07
1865,1.6003271208209213e-08,1.7650665773416563e-07
1866,1.3137154475373336e-08,1.6202491548433784e-07
1867,2.2808213984149006e-08,1.3102591367442074e-07
1868,2.2723421366777075e-08,1.1905096641839918e-07
1869,2.0022428159904848e-08,9.181015769854639e-08
1870,1.2614907340946502e-08,1.164011917964558e-07
1871,2.1242354542039266e-08,1.0727388799480764e-07
1872,1.2094679036067646e-08,1.2215625655453977e-07
1873,1.0774807712721213e-08,1.3528369552373576e-07
1874,1.4936522685360387e-08,1.2666170756681083e-07
1875,1.602027621672164e-08,1.5162047384276178e-07
1876,2.116105135563373e-08,1.50545763411003e-07
1877,1.1132668786828503e-08,1.7935966867277386e-07
1878,1.6305539918270995e-08,1.376912254213991e-07
1879,1.1607718120032473e-08,1.472347450626188e-07
1880,2.2462462112571302e-08,1.4632689193661008e-07
1881,1.5339516323820135e-08,1.4502816242378813e-07
1882,9.317538740560849e-09,1.5640154837903708e-07
1883,1.7694148368718743e-08,1.5229607291944447e-07
1884,1.5183903023796574e-08,1.7626530457448553e-07
1885,1.9336907297606842e-08,1.3020184774781285e-07
1886,2.9685934488377086e-08,1.69726101839629e-07
1887,1.9586773314372863e-08,1.3645453122990148e-07
1888,2.282621380800265e-08,1.6041755301898775e-07
1889,2.3181006780781388e-08,1.6352007009556857e-07
1890,2.7528422652522977e-08,1.5009544496180638e-07
1891,4.015758514608336e-08,1.434199439209749e-07
1892,1.0029619579299265e-08,1.9307018517267238e-07
1893,4.495644057023185e-08,1.8536833590321322e-07
1894,2.7726772211522643e-08,1.1531816856980015e-07
1895,1.504653623918273e-08,1.2699276741301446e-07
1896,2.0639601361338578e-08,1.7455206069438844e-07
1897,2.447219638046505e-08,1.5091188476645812e-07
1898,3.3384293551819155e-08,1.7144815922520706e-07
1899,2.9296165493519766e-08,1.5366667760474684e-07
1900,2.4917055641004993e-08,1.7130474638804571e-07
1901,2.3472702948001967e-08,1.4027735062427382e-07
1902,2.7497589982772297e-08,1.1048138981450961e-07
1903,2.2680925582108102e-08,1.3554553413008819e-07
1904,1.289910045443321e-08,1.2737861254663585e-07
1905,1.9610884915977067e-08,1.057955588135151e-07
1906,3.961021910470208e-08,1.7078693276273427e-07
1907,1.8514236144184792e-08,1.481138873771215e-07
1908,2.504808493952737e-08,1.4095687062010143e-07
1909,3.685658933605396e-08,1.6943029024218959e-07
1910,3.580580942852407e-08,1.7528813689438039e-07
1911,1.4897048039586025e-08,1.308811989897407e-07
1912,2.5005222337171062e-08,1.5159416033583284e-07
1913,2.91664441487427e-08,1.5749880111215475e-07
1914,3.080502031238552e-08,1.4264063619151557e-07
1915,2.238344798399794e-08,1.9202641521331998e-07
1916,3.076489463182952e-08,1.329482925971348e-07
1917,2.19328495365545e-08,1.6559300952678768e-07
1918,1.8378202071289707e-08,1.435797027937724e-07
1919,1.2890987832747669e-08,1.4824635385934926e-07
1920,2.1959472462640406e-08,2.1353693124837037e-07
1921,1.5145495135815423e-08,1.2192123821641587e-07
1922,1.8444839211539943e-08,1.5198546687855696e-07
1923,1.0615948120573648e-08,1.4119210733909426e-07
1924,1.4180787211159895e-08,1.4696452044216102e-07
1925,1.5397448649423495e-08,1.836695755486062e-07
1926,1.7833821530643945e-08,1.7387975470573025e-07
1927,1.5608915049369898e-08,2.765007862670643e-07
1928,3.0850310528407476e-08,2.0909654763201502e-07
1929,1.4482528065684619e-08,1.5262356045653291e-07
1930,1.470504518152893e-08,1.7120874318266033e-07
1931,1.1405356659111021e-08,1.5625338445346415e-07
1932,8.767629289252454e-09,1.7535257890166633e-07
1933,1.720599263066447e-08,1.766481920739693e-07
1934,2.2765002327673756e-08,1.521660646375267e-07
1935,1.3165112555668657e-08,1.4720989227612336e-07
1936,1.2124714565686645e-08,1.6732105567740518e-07
1937,1.2591118370153254e-08,1.4731608377616112e-07
1938,1.1668693011834819e-08,1.4391388170054142e-07
1939,7.647025235257843e-09,1.498816937228753e-07
1940,2.0286263113789005e-08,1.242533604894902e-07
1941,1.4757512545315876e-08,2.213626904001842e-07
1942,3.034211704111556e-08,1.69915864489667e-07
1943,1.1612940831184915e-08,2.467749897760996e-07
1944,9.639558484764166e-09,1.9279117147164015e-07
1945,0.0,2.0042237425244025e-07
1946,1.8097434661967782e-08,1.767980313260864e-07
1947,1.90733930871545e-08,2.0146272117216313e-07
1948,1.7395020535104777e-08,2.1417618567554086e-07
1949,9.817008539414473e-09,1.2958450745781391e-07
1950,1.9143649998554224e-08,1.9781772309102053e-07
1951,2.0256663124662566e-08,1.6845014116917412e-07
1952,2.1089607837865287e-09,1.5079070170287423e-07
1953,3.232148326759443e-09,1.8854197803008788e-07
1954,8.795282724349818e-09,1.8665544310181303e-07
1955,1.595553378308523e-08,1.4359979871869655e-07
1956,8.72114114258693e-09,1.7703917176703499e-07
1957,1.7670075402875796e-09,1.590306801801944e-07
1958,4.136121722897457e-09,1.5882706971837024e-07
1959,1.7826720766223048e-08,1.5501496175573948e-07
1960,8.997083578154985e-09,1.8686249547705813e-07
1961,4.168895617606694e-09,1.563335789711573e-07
1962,8.244543381330516e-09,1.8518512234777518e-07
1963,5.819448034571906e-09,1.7781646111103555e-07
1964,1.0342746104008427e-08,1.8921141053951374e-07
