year,auraient_VERB assez_ADV,auraient_VERB chassé_VERB
1800,3.458580977167003e-08,1.5720821977538435e-08
1801,3.333655484993869e-08,2.3811825844433088e-09
1802,4.0281122437590966e-08,2.6854081625060644e-08
1803,7.216254971353919e-08,1.950339223455444e-09
1804,8.898663139689234e-08,4.943701892301533e-09
1805,4.5486043376286034e-08,2.842877755426798e-08
1806,1.152667650217154e-08,0.0
1807,6.263301344233696e-08,3.9857372513552036e-08
1808,9.064295980465431e-09,0.0
1809,5.421673421324158e-08,6.7770917766551975e-09
1810,6.786367379163494e-08,4.680253518074551e-09
1811,1.7549536934780008e-08,5.0141535368197765e-09
1812,4.800974906515876e-08,0.0
1813,4.026038169513413e-08,2.8757416448144113e-09
1814,1.8880061958270744e-08,0.0
1815,2.4275012222574333e-08,2.697223555614414e-09
1816,1.0660977523002657e-07,2.0858434979231788e-08
1817,5.4490570278176165e-08,6.227493631882908e-09
1818,6.079800130009971e-08,8.344824387052086e-09
1819,5.796588098405664e-08,6.210630232317271e-09
1820,5.93324074316115e-08,1.542642635854463e-08
1821,1.0354562363090736e-07,1.577838126820552e-08
1822,7.318699601910339e-08,1.0025615893027862e-08
1823,1.0475648082319822e-07,1.1859224713361982e-08
1824,4.378978601948802e-08,4.29476756380609e-08
1825,3.169959583715354e-08,3.3460683113162304e-08
1826,6.34174881497529e-08,7.927186018719112e-09
1827,6.820781806027298e-08,1.1982455028203276e-08
1828,5.961995697134626e-08,1.1006761724274838e-08
1829,4.8009784592295546e-08,1.0287811491593857e-08
1830,7.618890407457002e-08,1.7742621594152297e-08
1831,4.365537620287796e-08,2.182768810143898e-08
1832,6.22378593106987e-08,1.0823975493678972e-08
1833,4.865124125785769e-08,1.1583628500844156e-09
1834,7.560969805808782e-08,2.240287422239362e-08
1835,8.848812882433776e-08,2.647080776796429e-08
1836,6.115882911217341e-08,1.2769425516978572e-08
1837,5.0792603900617905e-08,1.6003149028165353e-08
1838,6.817134590164642e-08,1.199310784016916e-08
1839,6.152497888933794e-08,1.5381244722334486e-08
1840,6.242294858793684e-08,4.0766007458614695e-08
1841,4.494383887276854e-08,2.5040138851295524e-08
1842,6.909512961783548e-08,1.9453969102301016e-08
1843,6.852016554148577e-08,1.6539351221922516e-08
1844,5.653217982626302e-08,1.4270259640625227e-08
1845,4.631589334280761e-08,2.7901139176833567e-08
1846,2.9272506196775794e-08,2.6930706553685013e-08
1847,5.123562374365065e-08,3.289866512545814e-08
1848,3.378993085334514e-08,3.298540818263973e-08
1849,5.362825561405771e-08,9.217356655710773e-09
1850,3.8018377779280854e-08,8.82569484161877e-09
1851,5.0305622778523684e-08,2.192809134271556e-08
1852,4.7526981461487594e-08,9.114764054629632e-09
1853,4.478948767427937e-08,7.166318205520383e-09
1854,6.702406807335137e-08,2.0263090760863633e-08
1855,4.351688431825096e-08,1.6451505047143655e-08
1856,4.6076984006049315e-08,2.1226476576430287e-08
1857,6.541222319356166e-08,9.274867096564776e-09
1858,3.327699715782728e-08,7.829881631948865e-09
1859,4.8884864156661934e-08,2.036869339860914e-08
1860,4.668727626722102e-08,1.2816115280145368e-08
1861,4.33868656557479e-08,1.8863854478468056e-08
1862,2.5300723294208183e-08,3.027050965442868e-08
1863,4.694943456229339e-08,1.6482248454963155e-08
1864,5.274200631788517e-08,1.3904711160250827e-08
1865,4.848049783845454e-08,1.2237795665726026e-08
1866,4.719644408623935e-08,1.3623716377253459e-08
1867,3.299911810472622e-08,2.5719900875742496e-08
1868,2.667531973088444e-08,1.975949714960734e-08
1869,3.271957993433716e-08,1.4650557211837167e-08
1870,5.734048613703635e-08,1.9495765002375265e-08
1871,5.523012092112367e-08,1.274541272522356e-08
1872,2.7213026498884574e-08,1.4513614310374123e-08
1873,4.2500630570430076e-08,1.496501056408306e-08
1874,3.823749850084823e-08,1.8521287614703397e-08
1875,3.318485752856759e-08,6.865832347102696e-09
1876,1.5719638923883394e-08,8.464420275799966e-09
1877,2.6594708657512456e-08,1.7317484335421796e-08
1878,3.140326043649111e-08,1.9928991790152395e-08
1879,6.1704184872724e-08,9.774920428640144e-09
1880,4.941741593711413e-08,1.2193908105473383e-08
1881,3.974329487732575e-08,1.2550513517339823e-08
1882,2.2628309892525067e-08,1.3976308999019693e-08
1883,1.9589950994713945e-08,8.847074184359371e-09
1884,3.498899303622238e-08,2.0465261485469455e-08
1885,3.4161868001092444e-08,9.023890079618013e-09
1886,3.355801325710672e-08,2.710454793941608e-08
1887,2.4809914123125054e-08,8.48760173255414e-09
1888,4.311618084784641e-08,2.53624587998047e-09
1889,3.821733329800736e-08,7.51816386923565e-09
1890,1.2453334363726754e-08,1.5075089621063853e-08
1891,2.103492668936724e-08,1.9122659011827636e-09
1892,2.570090096298827e-08,1.6298132621272998e-08
1893,2.8328715373504565e-08,5.542574843531156e-09
1894,2.3945849747519787e-08,7.561847148451761e-09
1895,3.671354775747204e-08,4.213029924926559e-09
1896,2.240870955461105e-08,1.1204354777305525e-08
1897,2.680288169187861e-08,8.740070001067579e-09
