year,grand_ADJ an_NOUN,grand_ADJ chant_NOUN
1800,1.2576658381391326e-08,6.288328968651058e-09
1801,2.1430642593855964e-08,2.3811825844433088e-09
1802,1.7902721083373763e-08,6.713520406265161e-09
1803,5.851017670366332e-09,1.950339223455444e-09
1804,9.887403784603066e-09,2.4718509461507665e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,8.645007376628655e-09,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,6.798221985349073e-09,2.2660739062985158e-08
1809,6.7770915546105925e-09,0.0
1810,4.680253518074551e-09,0.0
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,2.0130190847567064e-08,0.0
1814,6.293354282149721e-09,0.0
1815,2.697223555614414e-09,0.0
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,7.784366928831332e-09,0.0
1818,1.549753059215675e-08,3.5763532135746345e-09
1819,3.1053151161586356e-09,0.0
1820,5.933240565525466e-09,0.0
1821,7.88919063410276e-09,2.9584463767662328e-09
1822,4.010246357211145e-09,4.010246357211145e-09
1823,9.882686669016039e-09,0.0
1824,0.0,0.0
1825,7.044354433105582e-09,8.805443041381977e-10
1826,3.5231936257318353e-09,8.807984341885344e-10
1827,7.373818333711313e-09,3.6869092223668076e-09
1828,7.337841112509125e-09,9.172301251858528e-10
1829,1.714635211591542e-09,0.0
1830,1.0436835840010872e-09,3.1310507520032616e-09
1831,1.5591206103948707e-09,1.247296466111436e-08
1832,1.3529969367098715e-09,0.0
1833,4.633451511359965e-09,1.1583628500844156e-09
1834,4.667265685043276e-09,2.8003592777992026e-09
1835,3.781543966852041e-09,3.025235173481633e-09
1836,1.881810018922181e-08,6.720750067579218e-10
1837,6.957891152126194e-09,1.3915781860163179e-09
1838,5.049729523420865e-09,1.8936485712828244e-09
1839,0.0,3.4957374772659477e-09
1840,1.2739377552861697e-08,2.5478754661634184e-09
1841,1.926164561183441e-09,5.778493683550323e-09
1842,2.0124795163667386e-09,2.683306021822318e-09
1843,1.7720733769266417e-09,4.134837805480629e-09
1844,3.841992946007622e-09,3.2931368743049916e-09
1845,5.022205262772417e-09,1.1160455892778032e-09
1846,7.610851726624901e-09,5.854501328173001e-10
1847,1.0786447290911383e-09,5.393223645455691e-10
1848,8.045221711050488e-10,3.218088684420195e-09
1849,7.54147322368226e-09,1.6758829879393033e-09
1850,4.073397619208663e-09,3.394498016007219e-09
1851,2.579775504329973e-09,6.449438760824933e-10
1852,3.2552727180501506e-09,0.0
1853,5.3747384320956826e-09,1.1943863675867306e-09
1854,3.117398783558656e-09,7.273930180407007e-09
1855,1.5920811335945473e-09,6.8990182455763716e-09
1856,6.73034605824796e-09,2.0708756931497874e-09
1857,1.9526036898476207e-09,1.9526036343364694e-09
1858,1.761723344984034e-08,0.0
1859,3.055304009791371e-09,2.5460866748261424e-09
1860,8.696649622663699e-09,4.577183909670879e-10
1861,1.886385547766878e-09,1.1789909493131745e-08
1862,2.2589932147099034e-09,4.517986262886353e-10
1863,6.493007131957995e-09,4.994620717013731e-09
1864,7.192092144059359e-09,3.3563094525845827e-09
1865,2.8241066707401785e-09,9.88437331983505e-09
1866,7.784980604608194e-09,5.352174259343201e-09
1867,5.338092634588065e-09,6.308654931785895e-09
1868,2.4699371437009177e-09,6.421836395986702e-09
1869,5.371870948067681e-09,1.2208797528501236e-08
1870,1.7202146374017957e-09,4.013834153937523e-09
1871,1.0621177271019633e-09,2.3366590440332402e-08
1872,1.8142017887967654e-09,3.0236697590169115e-09
1873,4.1902031844287535e-09,2.9930022904522957e-09
1874,3.5847653734322193e-09,5.974609251779839e-09
1875,1.4303817741367908e-08,0.0
1876,1.813804439976252e-09,5.441413541973361e-09
1877,3.7108897066318036e-09,9.895705588292003e-09
1878,3.0195443923020093e-09,0.0
1879,3.0546627449723474e-09,2.443730107160036e-09
