year,veut_VERB armer_VERB,veut_VERB charmer_VERB
1800,6.917161954334006e-08,1.5720821977538435e-08
1801,4.524246932646747e-08,4.7623651688866175e-09
1802,2.2378401354217203e-08,2.2378401354217203e-09
1803,5.265916058760922e-08,9.751696339321825e-09
1804,1.1123329102247226e-07,0.0
1805,5.1171799242411e-08,1.7057265822018053e-08
1806,2.0171682990621775e-08,1.4408345627714425e-08
1807,7.971474502710407e-08,2.8469551160981155e-09
1808,4.078933102391602e-08,2.2660739951163578e-09
1809,5.6475762733043666e-08,0.0
1810,6.552355102940055e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,5.0141535368197765e-09
1812,1.0668832928217853e-08,0.0
1813,3.163315653864629e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,0.0
1815,3.506390555685357e-08,1.3486118000116676e-08
1816,4.6352077731626196e-08,4.6352077731626196e-09
1817,4.514932783195036e-08,0.0
1818,5.126106117359086e-08,1.1921177378582115e-09
1819,5.693077653745604e-08,3.1053151161586356e-09
1820,6.882559233645225e-08,0.0
1821,4.339054981983281e-08,2.9584463767662328e-09
1822,2.7069162911175226e-08,7.017931125119503e-09
1823,1.4824030003524058e-08,3.261286707356703e-08
1824,2.2737005167527968e-08,5.894778887238772e-09
1825,4.6668848341369085e-08,9.68598712347557e-09
1826,7.574866600634778e-08,8.807984341885344e-10
1827,4.424290978022327e-08,1.8434546111834038e-09
1828,3.66892045633449e-08,5.503380862137419e-09
1829,3.5150023336427694e-08,1.2002446148073886e-08
1830,9.39315203396518e-09,9.39315203396518e-09
1831,1.7150327380477393e-08,3.274153215215847e-08
1832,1.8941957335982806e-08,6.764984572527055e-09
1833,1.0425265983826648e-08,4.6334514003376626e-09
1834,2.6136685704614138e-08,1.0267983796552471e-08
1835,1.4369867074037757e-08,0.0
1836,1.4113575197427508e-08,0.0
1837,2.0873672568200163e-08,4.174734336004349e-09
1838,1.9567702125300457e-08,1.199310784016916e-08
1839,1.957613093850341e-08,3.4957374772659477e-09
1840,3.503328827036967e-08,1.3376346252869098e-08
1841,2.5040138851295524e-08,1.926164561183441e-09
1842,4.092041550052272e-08,6.708265054555795e-09
1843,1.7130041385371442e-08,0.0
1844,3.677336124496833e-08,7.683985892015244e-09
1845,1.4508592549589139e-08,1.2276501593078137e-08
1846,1.6978054517835517e-08,7.025401593807601e-09
1847,1.941560512364049e-08,7.011190739092399e-09
1848,6.43617736884039e-09,8.045221711050488e-10
1849,2.76520690789539e-08,1.6758829879393033e-09
1850,9.504594444820214e-09,1.3577992064028876e-09
1851,2.3217978650791338e-08,4.514607354622058e-09
1852,2.408901877970493e-08,0.0
1853,1.911018188138769e-08,4.777545470346922e-09
1854,5.7152309551611324e-09,1.1950028522278444e-08
