year,tout_DET an_NOUN,tout_DET champ_NOUN
1800,9.432493186523061e-08,9.432493452976587e-09
1801,9.048494087338099e-08,2.8574191901498125e-08
1802,8.056224487518193e-08,2.4616241489638924e-08
1803,6.241085537261881e-08,0.0
1804,6.426812215742927e-08,4.943701892301533e-09
1805,8.528633421711618e-08,2.842877711017877e-09
1806,7.20417272503937e-08,5.76333825108577e-09
1807,6.832692633906845e-08,2.8469551160981155e-09
1808,8.38447360429484e-08,0.0
1809,7.454800399209205e-08,9.036122072814123e-09
1810,8.658468830802235e-08,0.0
1811,7.521230127593981e-08,2.0056614147279106e-08
1812,5.601137331723294e-08,0.0
1813,9.489947139229571e-08,0.0
1814,1.0069367162302001e-07,9.440030979135372e-09
1815,1.4565007488975823e-07,0.0
1816,9.270415723960923e-08,2.3176038865813098e-09
1817,8.874178414330913e-08,0.0
1818,6.795070950360582e-08,5.960588467246453e-09
1819,8.073819235399071e-08,2.070210003424222e-09
1820,7.119888678630559e-08,3.5599443393152796e-09
1821,6.804427155060466e-08,9.86148829262845e-10
1822,7.920236555492011e-08,1.5038423839541792e-08
1823,6.324919477052049e-08,1.9765373782121287e-09
1824,8.757956937444078e-08,1.8526447931321854e-08
1825,7.660735379388939e-08,0.0
1826,5.989429308073113e-08,1.145037931138404e-08
1827,6.359918347520477e-08,1.6591091167583727e-08
1828,7.246118116643885e-08,9.172301251858528e-09
1829,5.486832571621747e-08,3.429270423183084e-09
1830,7.827626746781391e-08,2.5048406016026092e-08
1831,9.510636012066698e-08,4.677361609140007e-09
1832,6.359085902296613e-08,2.3000947924067816e-08
1833,6.023486687212198e-08,2.895907214028881e-08
1834,8.961149400299462e-08,6.534171648198139e-09
1835,6.277362984974388e-08,1.663879345414898e-08
1836,4.838940070861497e-08,1.0753200108126748e-08
1837,5.21841809764112e-08,1.3219992212043508e-08
1838,5.807189129569679e-08,2.0198918315728065e-08
1839,7.90036712716713e-08,1.0487212986909356e-08
1840,5.5416291111498595e-08,6.369688665408546e-09
1841,6.292137655350416e-08,2.1187809284839432e-08
1842,7.043678440510348e-08,1.1404050592744852e-08
1843,5.1390125543893106e-08,1.9492807368237663e-08
1844,5.982531986470363e-08,5.488561272137815e-09
1845,5.915041817461386e-08,1.8414752389617206e-08
1846,6.908311478426299e-08,2.0490754648605503e-08
1847,5.123562374365065e-08,2.3190861675459473e-08
1848,5.712107536970379e-08,7.240699539945439e-09
1849,5.614207854165443e-08,1.256912218750017e-08
1850,6.11009625117731e-08,4.752297222410107e-09
1851,6.191461188187475e-08,7.739326512989919e-09
1852,5.5990692304774825e-08,1.4323199959420663e-08
1853,6.270528363216954e-08,2.030456869306363e-08
1854,5.3515345765919875e-08,2.338048954442229e-08
1855,6.102977678779098e-08,8.491099379170919e-09
1856,6.782117567549761e-08,3.1063135175202206e-08
1857,5.9554409848061596e-08,1.4644527368545823e-08
1858,4.4532450116374633e-08,3.0830158426198295e-08
1859,5.0412515051334594e-08,2.953460542798325e-08
1860,3.936378267788143e-08,1.5562425126347534e-08
1861,5.1404003997834735e-08,3.254015012998934e-08
1862,4.337266945597662e-08,3.7951084941312274e-08
1863,5.4940829219418674e-08,2.946826249683454e-08
1864,6.185199019625998e-08,2.0137856715507496e-08
1865,5.601144886790976e-08,1.3649848362717876e-08
1866,6.033360056001413e-08,1.4110277390955162e-08
1867,6.98804871746006e-08,1.6014277903764196e-08
1868,5.532659119733552e-08,2.8157281395380096e-08
1869,5.07885999923019e-08,2.7347706543778827e-08
1870,6.020751142088443e-08,2.121598052795548e-08
1871,4.991953250765846e-08,1.274541272522356e-08
1872,5.6844988272075625e-08,1.0280476692159368e-08
1873,5.207823960962088e-08,1.4366410727717494e-08
1874,5.19790986919233e-08,1.6728905372076497e-08
1875,4.520006324781889e-08,1.3159512035620935e-08
1876,3.990369745743294e-08,1.571963825774958e-08
1877,4.514915652453766e-08,1.2369631985365004e-08
1878,5.857915974516459e-08,1.811726657585666e-08
1879,4.5209007426549874e-08,9.774920428640144e-09
1880,6.032775390352185e-08,5.134277003548959e-09
1881,6.066081525979428e-08,2.091752293598148e-08
1882,5.856738805043449e-08,1.9300615994310988e-08
1883,6.066565516604783e-08,1.0742875922176154e-08
1884,5.941527181363426e-08,8.582206056928499e-09
1885,7.154655756735906e-08,1.0313017162477678e-08
1886,8.583107158344205e-08,1.871504551331782e-08
1887,8.161155617969484e-08,1.1752064210668323e-08
1888,6.086990267384351e-08,1.9021844099853524e-08
1889,4.1976415232625186e-08,4.1349901724885285e-08
1890,5.702316308031641e-08,1.5075088732885433e-08
1891,5.418087090092172e-08,3.824532068819053e-08
1892,5.202865427378356e-08,1.817868655606958e-08
1893,4.434059919233846e-08,1.7243566796665277e-08
1894,4.537108289071057e-08,2.5206157827639686e-08
1895,5.597311303340291e-08,1.98614278357212e-08
1896,4.00997970384509e-08,3.656157909759372e-08
1897,5.127507751723215e-08,2.388952613507911e-08
1898,5.884688925039683e-08,3.2818457396111e-08
1899,4.532614283903058e-08,5.969784488968344e-08
1900,5.1391426669766815e-08,5.191053087383324e-08
1901,5.365189231776313e-08,3.0179190924073396e-08
1902,4.4192553616539954e-08,4.517461205111317e-08
1903,5.8322378038155875e-08,3.7261520757780886e-08
1904,7.524475087450355e-08,6.180818878931404e-08
1905,5.47040444054403e-08,5.212366538387414e-08
1906,5.4013936157115694e-08,4.8869751800850736e-08
