year,soient_VERB aux_ADP
1800,7.54599476238127e-08
1801,6.429193177837078e-08
1802,7.608656460433849e-08
1803,8.191424427650418e-08
1804,9.393033195692624e-08
1805,6.822906506442905e-08
1806,6.627838988748636e-08
1807,5.4092147649953404e-08
1808,1.178358477460506e-07
1809,2.0783080234565432e-07
1810,1.2870697219113936e-07
1811,1.0529722516139373e-07
1812,6.13457871168066e-08
1813,1.3803560250380542e-07
1814,1.8880062846449164e-07
1815,6.473336622292436e-08
1816,8.806894769008977e-08
1817,1.1209488270935708e-07
1818,5.126106206176928e-08
1819,5.7965878541565985e-08
1820,1.340912350045187e-07
1821,8.579494448213154e-08
1822,8.221005032282847e-08
1823,4.0519015698237126e-08
1824,7.242156652154108e-08
1825,1.8227267339909758e-07
1826,9.68878284268726e-08
1827,7.834681770013674e-08
1828,9.997808092521154e-08
1829,6.344150138559712e-08
1830,5.4271546368056534e-08
1831,5.9246584527272717e-08
1832,5.6825870453636185e-08
1833,3.359252431778259e-08
1834,8.494422942817437e-08
1835,5.067268915581735e-08
1836,5.7798450803225876e-08
1837,8.83652155891923e-08
1838,7.069621377198132e-08
1839,5.523265422802126e-08
1840,5.477932418784803e-08
1841,5.778493861186007e-08
1842,4.628703020870262e-08
1843,7.560846282395062e-08
1844,6.25695986133934e-08
1845,8.426144137985148e-08
1846,6.147226461195032e-08
1847,3.343798482546845e-08
1848,6.757986370509173e-08
1849,5.6980021589936314e-08
1850,3.86972773824823e-08
1851,4.708090450833424e-08
1852,9.440291082185581e-08
1853,7.942669344451758e-08
1854,8.209149493509926e-08
1855,5.041590256382733e-08
1856,6.160855203773963e-08
1857,7.419893588433979e-08
1858,5.2851699905431815e-08
1859,8.402086004721809e-08
1860,4.668727759948865e-08
1861,7.262584400535843e-08
1862,5.647482881343535e-08
1863,5.2942979333892026e-08
1864,6.281093734017418e-08
1865,6.824924114745556e-08
1866,6.763201848558609e-08
1867,7.182160999263942e-08
1868,7.459209516724741e-08
1869,6.495080562274325e-08
1870,6.07809180763752e-08
1871,2.1242353653860846e-08
1872,4.8378715256092164e-08
1873,7.243065569539908e-08
1874,6.691562004501606e-08
1875,6.293679666313778e-08
1876,7.617978403651193e-08
1877,6.246663986075873e-08
1878,1.0508014192112114e-07
1879,7.575563010231434e-08
1880,4.2357783947011285e-08
1881,7.181682759593855e-08
1882,4.725323421439498e-08
1883,5.497824728806222e-08
1884,2.970763723908476e-08
1885,8.057044498244181e-08
1886,6.19532518619792e-08
1887,6.33305690111996e-08
1888,5.389522517162959e-08
1889,5.450668838502537e-08
1890,3.277193122430688e-08
1891,3.314594465564369e-08
1892,5.7043461065831025e-08
1893,6.096832561031107e-08
1894,4.2220313245522334e-08
1895,5.657497581523785e-08
1896,5.89702899844724e-08
1897,4.777905004971217e-08
1898,5.092519517191363e-08
1899,7.24112787509057e-08
1900,5.346784814896921e-08
1901,4.750428006516927e-08
1902,4.861181041038165e-08
1903,5.7242334206009104e-08
1904,6.288311116264822e-08
1905,7.379885635927508e-08
1906,6.94464927231131e-08
1907,4.937129771676041e-08
1908,7.17062815791536e-08
1909,6.87622933592813e-08
1910,6.519863571252671e-08
1911,6.278041275731283e-08
1912,5.2094211611120045e-08
1913,6.045408362798099e-08
1914,5.424362337080879e-08
1915,5.5369582252495775e-08
1916,9.339342454950383e-08
1917,5.3735480953776005e-08
1918,8.040463228553563e-08
1919,7.826671422073161e-08
1920,5.6791737534922504e-08
1921,5.75528811830317e-08
1922,3.6889676535700744e-08
1923,7.006525892805371e-08
1924,4.898817340670547e-08
1925,4.729216551702109e-08
1926,5.350146603522177e-08
1927,3.7907366134959375e-08
1928,4.227635086451187e-08
1929,5.7930112706827686e-08
1930,4.8316575629314684e-08
1931,3.307553431142196e-08
1932,4.383814555808385e-08
1933,3.097078660196928e-08
1934,4.67281626725935e-08
1935,7.659701850570855e-08
1936,4.607391712596609e-08
1937,4.0291578073947676e-08
1938,4.926781471681352e-08
1939,6.882323067003426e-08
1940,5.325144059042941e-08
1941,6.198155233505531e-08
1942,4.551317789314169e-08
1943,5.2258233296242906e-08
1944,6.105053529381621e-08
1945,4.357008265287732e-08
1946,5.4292305762260185e-08
1947,4.41072234291795e-08
1948,5.435943961629164e-08
1949,5.3011844247663475e-08
1950,4.679559073572648e-08
1951,3.944718685033877e-08
1952,5.1669539757881466e-08
1953,5.925604895651304e-08
1954,5.570345606997762e-08
1955,5.255940394022218e-08
1956,3.9245135585730395e-08
1957,3.975766915687018e-08
1958,4.467011632813822e-08
1959,4.5729413145068065e-08
1960,3.0451666577224756e-08
1961,4.3773405122848885e-08
1962,4.946725840060395e-08
1963,3.427008365974871e-08
1964,5.77976990712159e-08
1965,4.213473420167091e-08
1966,6.314545242247505e-08
1967,4.240088535834019e-08
1968,4.850729085070782e-08
1969,5.268438882377602e-08
1970,4.552737709051513e-08
1971,3.751030075438422e-08
1972,4.873639625202486e-08
1973,4.6310912438229934e-08
1974,4.7817358961310674e-08
1975,3.4268879289811593e-08
1976,4.9707683302813166e-08
1977,5.6417106375494797e-08
1978,4.6930672681355645e-08
1979,4.9156575698816596e-08
1980,3.354238842234736e-08
1981,5.186950741142837e-08
1982,4.221101690404794e-08
1983,3.410270821291306e-08
1984,4.349256244040589e-08
1985,3.368712597762169e-08
1986,2.937297871596911e-08
1987,3.727598363312268e-08
1988,3.657897806874644e-08
1989,5.3783597353529444e-08
1990,3.0512445514663256e-08
1991,2.5790447111262438e-08
1992,4.0773585396891576e-08
1993,3.877445209354846e-08
1994,4.747434090290881e-08
1995,3.3619194539369346e-08
1996,3.79004558848095e-08
1997,3.883864607701071e-08
1998,4.5297227302398824e-08
1999,4.5702012840820316e-08
2000,3.269343196166119e-08
2001,4.687896648647438e-08
2002,4.4250338504525644e-08
2003,4.208592163656988e-08
2004,3.920264185497402e-08
2005,4.323599556155244e-08
2006,4.9002888857785365e-08
2007,3.7148659259855776e-08
2008,3.9594187484226495e-08
2009,4.100645667470815e-08
2010,3.070465481869178e-08
2011,3.976930784688193e-08
2012,2.893614839405423e-08
2013,3.0122549399269616e-08
2014,3.746220303413317e-08
2015,3.56868632422902e-08
2016,3.645558566134355e-08
2017,3.2954506679061524e-08
2018,3.4591653985671655e-08
2019,3.418323757387043e-08
