year,furent_VERB au_ADP
1800,5.533729563467205e-07
1801,5.619590979222266e-07
1802,5.236545916886826e-07
1803,4.388263334931253e-07
1804,3.831368928786105e-07
1805,6.19747368091339e-07
1806,5.475171178659366e-07
1807,5.693910338777641e-07
1808,6.367667992890347e-07
1809,4.6761931571381865e-07
1810,4.329234570832341e-07
1811,5.891630507903756e-07
1812,5.81451388370624e-07
1813,5.492666446116345e-07
1814,6.859756354060664e-07
1815,8.76597653132194e-07
1816,6.396586513801594e-07
1817,5.340075972526392e-07
1818,6.866598027954751e-07
1819,5.806938929708849e-07
1820,6.336700835163356e-07
1821,6.528305220854236e-07
1822,8.521773224856588e-07
1823,8.894418215277256e-07
1824,1.0299021369064576e-06
1825,1.0945166195597267e-06
1826,1.0992364423145773e-06
1827,8.350849611815647e-07
1828,7.090188773872796e-07
1829,6.429881977965124e-07
1830,6.30384874966694e-07
1831,6.142935262687388e-07
1832,4.3972400476377516e-07
1833,4.96937673233333e-07
1834,7.3182724236176e-07
1835,8.168134968400409e-07
1836,9.409050107933581e-07
1837,8.300763738589012e-07
1838,1.173430860035296e-06
1839,7.84443500378984e-07
1840,6.892003057146212e-07
1841,5.861961085429357e-07
1842,7.761462939015473e-07
1843,5.794679509563139e-07
1844,5.81238623453828e-07
1845,5.574647730099969e-07
1846,5.403704790296615e-07
1847,4.967158702129382e-07
1848,4.899540044789319e-07
1849,5.245513534646307e-07
1850,6.592115369130624e-07
1851,4.869326062362234e-07
1852,5.143330668033741e-07
1853,5.840549306412868e-07
1854,6.556928724421596e-07
1855,4.967292852597893e-07
1856,5.995185006213433e-07
1857,6.736482305313984e-07
1858,5.71092016343755e-07
1859,5.733787133976875e-07
1860,6.17919852174964e-07
1861,5.555405095947208e-07
1862,5.647482907988888e-07
1863,5.888658165531524e-07
1864,4.540607392300444e-07
1865,5.676454293279676e-07
1866,6.193925514708098e-07
1867,5.415737405201071e-07
1868,5.433861360870651e-07
1869,5.171646648705064e-07
1870,4.638845609861164e-07
1871,4.4715156377606036e-07
1872,5.212806399867986e-07
1873,4.0824551206242177e-07
1874,5.962659770375467e-07
1875,4.857576527683705e-07
1876,5.64093170396518e-07
1877,5.121027584209514e-07
1878,5.622391654469538e-07
1879,6.274277097872982e-07
1880,5.371737188397674e-07
1881,5.257270458969288e-07
1882,4.113028069241409e-07
1883,5.421993023446703e-07
1884,5.545425665332004e-07
1885,5.852637059433619e-07
1886,5.730676093662623e-07
1887,4.132809294787876e-07
1888,6.442064659495372e-07
1889,6.01453109538852e-07
1890,4.529080968040944e-07
1891,3.971139221903286e-07
1892,5.146448529558256e-07
1893,4.920574951938761e-07
1894,4.0581912230663875e-07
1895,4.6463702574328636e-07
1896,4.4345657101985125e-07
1897,3.8864178009134775e-07
1898,4.1871825828820874e-07
1899,4.388897139051551e-07
1900,4.3968219642920303e-07
1901,4.6833631017761945e-07
1902,3.9134963003562007e-07
1903,4.357977729796403e-07
1904,4.0847152149581234e-07
