year,avaient_VERB assez_ADV,avaient_VERB chassé_VERB
1800,1.5091990235305275e-07,6.60274537267469e-08
1801,2.571677271134831e-07,1.0715321963061797e-07
1802,1.1636768704192946e-07,1.0070280609397742e-07
1803,1.501761204281138e-07,1.1116933507082649e-07
1804,1.7302956223375077e-07,1.1370514130248921e-07
1805,1.3930100806192058e-07,1.1087222873129576e-07
1806,1.9019016406218725e-07,1.0085842205853623e-07
1807,3.188589801084163e-07,2.761546511464985e-07
1808,2.515342032438639e-07,1.4049658147996524e-07
1809,1.5587310997489112e-07,1.9427662323323602e-07
1810,1.708292529656319e-07,1.0530570193623134e-07
1811,1.7298829391165782e-07,2.63243066456198e-07
1812,2.3738152776786592e-07,2.1604387256957125e-07
1813,1.6966875193702435e-07,1.7254450312975678e-07
1814,1.7621391634747852e-07,8.181360300341112e-08
1815,1.726223075593225e-07,1.6992508733437717e-07
1816,2.4798362119327066e-07,1.367386346373678e-07
1817,3.362846427990007e-07,1.6814232139950036e-07
1818,3.588274353205634e-07,2.038521387248693e-07
1819,3.115665947461821e-07,2.5360071731483913e-07
1820,4.1176690501742996e-07,2.076634189052129e-07
1821,2.7710783001566597e-07,2.1399429783741652e-07
1822,2.987633536122303e-07,1.8246620925310708e-07
1823,3.1229291153067607e-07,2.223604553819314e-07
1824,2.9221260433587304e-07,3.0400215678128006e-07
1825,4.323472637679515e-07,4.3586942410911433e-07
1826,3.267762167524779e-07,3.355841897700884e-07
1827,3.9173411892079457e-07,2.636139981859742e-07
1828,3.6597481312128366e-07,2.39397053292123e-07
1829,3.9436611132259713e-07,2.417635585061362e-07
1830,4.1016764384949056e-07,2.901440439018188e-07
1831,2.946737822639989e-07,2.6660961793822935e-07
1832,4.89784895307821e-07,1.9077256752098037e-07
1833,3.6256756175134797e-07,2.4673127541063877e-07
1834,3.8644958522127126e-07,2.8190282819196e-07
1835,3.524398834997555e-07,2.987419804867386e-07
1836,3.911476653684076e-07,3.447744916229567e-07
1837,3.8337978480740276e-07,4.2234398733853595e-07
1838,4.475322725738806e-07,4.475322725738806e-07
1839,3.845311482564284e-07,3.348916663981072e-07
1840,4.3441275465738727e-07,4.955617782798072e-07
1841,4.077048458839272e-07,2.6645275852388295e-07
1842,3.796878047523933e-07,3.817002891537413e-07
1843,4.235255346429767e-07,3.071593823733565e-07
1844,4.2371692643428105e-07,3.9682296915088955e-07
1845,4.034504854644183e-07,3.102606740412739e-07
1846,3.3604837312850577e-07,2.845287667696539e-07
1847,3.829188699455699e-07,3.5811004295283055e-07
1848,2.888234575948445e-07,2.083712473677224e-07
1849,2.5054450247807836e-07,1.4412593429824483e-07
1850,2.742754361406696e-07,2.742754361406696e-07
1851,3.218270023808145e-07,3.3795058129726385e-07
1852,2.8190660827931424e-07,2.7474501962387876e-07
1853,3.4099730328307487e-07,3.027769537311542e-07
1854,3.044659422357654e-07,2.514701691325172e-07
1855,3.13109296712355e-07,2.706537998165004e-07
1856,3.3599957305341377e-07,2.355621120386786e-07
1857,3.099758316693624e-07,2.484688081949571e-07
1858,2.7159902060702734e-07,2.7257775059297273e-07
1859,3.2029771546149277e-07,1.8841041082851007e-07
1860,3.780753843329876e-07,2.4671021492395084e-07
1861,3.1219678930938244e-07,2.249514636787353e-07
