year,était_VERB aux_ADP,était_VERB chaud_ADJ,etait_VERB aux_ADP
1800,6.791395321670279e-07,9.118077315406481e-08,0.0
1801,7.50072501887189e-07,1.2144030847593967e-07,2.3811825844433088e-09
1802,3.960977039696445e-07,3.8043282302169246e-08,0.0
1803,5.10988854784955e-07,2.9255089017965474e-08,1.950339223455444e-09
1804,6.179627121127851e-07,4.2021465418429216e-08,0.0
1805,5.543611791836156e-07,3.4114531644036106e-08,0.0
1806,6.771922471671132e-07,1.4408345627714425e-08,5.76333825108577e-09
1807,8.199230592254025e-07,1.9928686256776018e-08,2.8469551160981155e-09
1808,6.526292963826563e-07,6.798221985349073e-09,4.5321479902327155e-09
1809,8.471364481010824e-07,4.969867006821005e-08,1.129515236897305e-08
1810,5.101476290292339e-07,2.106114038724627e-08,0.0
1811,8.448848802800057e-07,1.2535384286138651e-08,5.0141535368197765e-09
1812,5.894530090699845e-07,5.067695596494559e-08,2.6672082320544632e-09
1813,9.720006346469745e-07,2.8757416004054903e-08,0.0
1814,7.866692612878978e-07,1.8880061958270744e-08,3.1466771410748606e-09
1815,8.118643108900869e-07,4.5852800667489646e-08,0.0
1816,7.46268426610186e-07,7.416332437060191e-08,0.0
1817,1.0851407523659873e-06,6.227493543065066e-08,1.556873407970727e-09
1818,1.1897335525645758e-06,4.768470773797162e-08,1.1921177378582115e-09
1819,9.450508855479711e-07,3.8298885840504227e-08,0.0
1820,1.2946330798513372e-06,5.93324074316115e-08,3.5599443393152796e-09
1821,1.2622705298781511e-06,3.254291058851777e-08,4.930744257336528e-09
1822,1.135902266469202e-06,6.717162648328667e-08,5.012807946513931e-09
1823,1.5150159242693917e-06,7.609668983832307e-08,1.087095569118901e-08
1824,1.1368501873221248e-06,5.221090049190025e-08,1.6842225392110777e-09
1825,1.0654586048985948e-06,4.842993561737785e-08,2.641632912414593e-09
1826,9.398119118486647e-07,5.2847905607222856e-08,8.807984341885344e-10
1827,1.26000122691039e-06,6.175572764277604e-08,3.6869092223668076e-09
1828,1.1777234476539888e-06,8.530240336313e-08,1.1006761724274838e-08
1829,1.4325777328849654e-06,9.859152783064928e-08,2.571952872898464e-09
1830,1.3421771427601925e-06,1.2419835115906608e-07,3.1310507520032616e-09
1831,1.3907356333220378e-06,7.795603096383275e-08,0.0
1832,1.1243404287597514e-06,4.6001897402447867e-08,4.058990921151917e-09
1833,1.4259446743380977e-06,1.4132027104096778e-07,1.1583628500844156e-09
1834,1.3787101806883584e-06,1.2041545005558874e-07,0.0
1835,1.5330379028455354e-06,1.0890846624533879e-07,5.294161553592858e-09
1836,1.2540920124592958e-06,7.728862527756064e-08,6.720750067579218e-10
1837,1.39018663958268e-06,9.253994903701823e-08,2.7831563720326358e-09
1838,1.4499036069537397e-06,9.846972659488529e-08,3.1560809521380406e-09
1839,1.3451598306346568e-06,1.0696957275513341e-07,2.7965900706306e-09
1840,1.5803198039066046e-06,1.0828470919932442e-07,2.5478754661634184e-09
1841,1.27062651245069e-06,9.695028069245382e-08,6.420548537278137e-10
1842,1.7535404595037107e-06,8.586579269831418e-08,3.3541325272778977e-09
1843,1.5399317589981365e-06,8.683159080646874e-08,2.953455480181333e-09
1844,1.5280154457286699e-06,8.068185053389243e-08,2.7442805805577564e-09
1845,1.5697181652285508e-06,6.194053270291988e-08,5.580227946389016e-10
1846,1.3459498404699843e-06,7.376671362635534e-08,5.854501328173001e-10
1847,1.4545523754350143e-06,5.3932236454556914e-08,6.47186837454683e-09
1848,1.4248087154555833e-06,8.125673645054121e-08,8.045221711050488e-10
1849,1.3918207741880906e-06,7.876649732452279e-08,8.379414939696517e-10
1850,1.5064782701301738e-06,5.363306954109248e-08,2.7155984128057753e-09
1851,1.4917551425241982e-06,8.448764532431596e-08,0.0
1852,1.2259357617949718e-06,8.138182039374442e-08,1.9531636308300904e-09
1853,1.3592116374638863e-06,6.987160361404676e-08,5.971931837933653e-10
1854,1.285407392970228e-06,4.312401458150816e-08,5.195664454227256e-10
1855,1.3729046486332663e-06,5.041590256382733e-08,5.306937111981824e-10
1856,1.4066423545955331e-06,6.833889898416601e-08,3.1063134287023786e-09
1857,1.5611066146448138e-06,4.930324237761852e-08,9.763018171682347e-10
1858,1.5400398751808098e-06,5.431980554249094e-08,1.4681028059904122e-09
1859,1.6025069271563552e-06,7.383651023928905e-08,2.5460866748261424e-09
1860,1.6766224462116952e-06,6.820003761731641e-08,4.577183909670879e-10
1861,1.5774899111420382e-06,7.781340372048362e-08,1.8863854922557266e-09
1862,1.7385210639986326e-06,7.996835904577893e-08,9.035972525772706e-10
1863,1.5743045196359162e-06,6.642845562510047e-08,1.4983863039219614e-09
