year,tout_DET ange_NOUN,tout_DET change_NOUN
1800,6.288328968651058e-09,3.3956975187265925e-07
1801,0.0,2.7145481240609115e-07
1802,2.2378401354217203e-09,3.110597788236191e-07
1803,0.0,2.6914681683365416e-07
1804,0.0,2.9415026503443187e-07
1805,0.0,2.4733036241286754e-07
1806,0.0,2.651135595499454e-07
1807,0.0,3.871858993420574e-07
1808,2.2660739951163578e-09,2.515342032438639e-07
1809,0.0,2.100898353063485e-07
1810,0.0,4.001616673576791e-07
1811,0.0,1.9053782818190257e-07
1812,1.0668832928217853e-08,2.7205522634687895e-07
1813,0.0,2.1855636589407368e-07
1814,0.0,1.9509397830574926e-07
1815,0.0,2.2386955755848703e-07
1816,1.622322720606917e-08,2.2712517733225468e-07
1817,1.401186100480345e-08,4.0011645907611637e-07
1818,5.960588467246453e-09,2.825318929922105e-07
1819,4.0369093401437794e-08,3.157070231907255e-07
1820,3.5599443393152796e-09,3.334481100125686e-07
1821,3.944595405869222e-08,2.8598315893191284e-07
1822,0.0,3.1279920165161457e-07
1823,1.680056804787e-08,2.2631353324698011e-07
1824,6.736890156844311e-09,3.2842338271166227e-07
1825,6.163809906922779e-09,2.4655240871140904e-07
1826,0.0,2.783323056476661e-07
1827,2.7651818612639545e-09,2.6822263876624675e-07
1828,8.255071293206129e-09,2.1554907903009735e-07
1829,2.571952872898464e-09,2.8462945422802477e-07
1830,1.7742621594152297e-08,3.026682531270808e-07
1831,0.0,1.9800831552174714e-07
1832,4.329590197471589e-08,2.4759844130528563e-07
1833,1.1583628500844156e-09,2.942241508208099e-07
1834,1.8669061851994684e-09,2.482985266283322e-07
1835,0.0,2.2764895390992024e-07
1836,0.0,1.7675572649977767e-07
1837,9.045257765016856e-09,2.456135446138319e-07
1838,3.787297142565649e-09,2.1650714998600051e-07
1839,4.194885327990505e-09,2.174348754380162e-07
1840,5.095750932326837e-09,2.2357607765144394e-07
1841,3.852329122366882e-09,2.317818044161868e-07
1842,4.024959032733477e-09,2.3411844640719437e-07
1843,8.26967572198356e-09,2.4809026832883774e-07
1844,6.586273415543076e-09,1.7234082072548063e-07
1845,1.562463758375543e-08,2.539003736146128e-07
1846,1.9319854160926297e-08,1.9436944054262995e-07
1847,6.47186837454683e-09,2.0709978798549855e-07
1848,1.6090443422100975e-09,3.041093705746789e-07
1849,8.379414939696517e-10,2.7400687052647754e-07
1850,6.788996032014438e-09,2.5933966174562784e-07
1851,2.257303544084266e-08,2.244404750939566e-07
1852,1.1718982229069752e-08,2.506560079496012e-07
1853,3.0456851263238605e-08,2.6873692249296255e-07
1854,2.0782658483042837e-08,2.6082235216051686e-07
1855,2.0166361025530932e-08,2.855132095191948e-07
1856,2.329735071526784e-08,2.7076699282702066e-07
1857,6.345961978126979e-09,2.821512241624191e-07
1858,2.936205500958522e-09,2.9704613524472734e-07
1859,4.073738679721828e-09,2.5002571391041783e-07
1860,5.492620802627357e-09,2.5632230027383685e-07
1861,1.2733101961703852e-08,2.3674137317186705e-07
1862,6.776979533107408e-09,2.516518353701258e-07
1863,2.9967726078439227e-09,3.3563852674944883e-07
1864,1.342523825442754e-08,3.217262545263111e-07
1865,4.236159922843541e-09,3.657218163866105e-07
1866,6.325297008391573e-09,3.143186004805898e-07
1867,3.396968040192405e-09,2.2128820376110525e-07
1868,1.136171079441084e-08,2.958984559597866e-07
1869,1.0743742229202269e-08,2.5589640628709276e-07
1870,9.17447806614291e-09,2.735141180210121e-07
1871,8.496941816815706e-09,2.039266098208259e-07
1872,1.1489944551357212e-08,3.102285122125181e-07
