year,voulaient_VERB armer_VERB,voulaient_VERB charmer_VERB
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,9.887403784603066e-09
1805,0.0,0.0
1806,0.0,0.0
1807,1.9928686256776018e-08,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,1.0668832928217853e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,3.0128852301913867e-08,0.0
1817,6.227493631882908e-09,0.0
1818,1.0729059418679299e-08,3.5763532135746345e-09
1819,5.175524897538253e-09,0.0
1820,1.0679833017945839e-08,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,9.882686669016039e-09,0.0
1824,1.8526447931321854e-08,0.0
1825,6.163809906922779e-09,4.4027217427355936e-09
1826,8.807984341885344e-10,0.0
1827,0.0,0.0
1828,9.172301140836225e-09,0.0
1829,0.0,0.0
1830,3.1310507520032616e-09,0.0
1831,0.0,0.0
1832,5.411987746839486e-09,0.0
1833,0.0,0.0
1834,1.9602515166639023e-08,0.0
1835,1.2100940693926532e-08,3.025235173481633e-09
1836,6.048674894287842e-09,6.720750067579218e-10
1837,8.349468672008697e-09,6.957890930081589e-10
1838,2.5248647617104325e-09,0.0
1839,5.5931801412612e-09,6.9914751765765e-10
1840,7.0066574764382494e-09,0.0
1841,5.1364388298225094e-09,0.0
1842,4.024959032733477e-09,0.0
1843,2.953455480181333e-09,1.1813822142769936e-09
1844,4.390849017710252e-09,5.488561272137815e-10
1845,1.0602432709561072e-08,1.1160455892778032e-09
1846,4.6836010625384006e-09,0.0
1847,5.3932236454556914e-09,3.235934187273415e-09
1848,6.43617736884039e-09,8.045221711050488e-10
1849,3.3517659758786067e-09,8.379414939696517e-10
1850,4.752297222410107e-09,0.0
1851,3.8696632564949596e-09,1.2898877521649865e-09
1852,0.0,6.510545436100301e-10
