year,ont_VERB assez_ADV,ont_VERB chassé_VERB
1800,2.4052858407230815e-06,2.70398159418761e-07
1801,1.9382825939828763e-06,2.5716771046013776e-07
1802,1.962585884029977e-06,2.2378401354217203e-07
1803,1.928885467350483e-06,3.569120810009707e-07
1804,1.5226602272377932e-06,2.471851008323256e-07
1805,1.7085694707930088e-06,2.7291625848135936e-07
1806,1.6973031051747967e-06,2.3341519295172475e-07
1807,1.5715191921117366e-06,1.8789903322158352e-07
1808,1.611178618077247e-06,2.787270876325465e-07
1809,1.7123451243605814e-06,2.5978850914931684e-07
1810,1.394715582136996e-06,2.1763179347544792e-07
1811,1.3463002233038424e-06,2.63243066456198e-07
1812,1.6483346598761273e-06,1.360276229434021e-07
1813,1.4580010656572995e-06,1.4378707646756084e-07
1814,1.645712131903565e-06,2.6746755166229264e-07
1815,1.3216395018389449e-06,2.9669459422621003e-07
1816,1.9143408280797303e-06,1.761378936038227e-07
1817,1.5226221421471564e-06,3.970027160349332e-07
1818,1.6761175629653735e-06,2.3127083870200238e-07
1819,1.5599032394675305e-06,3.5918143215241116e-07
1820,1.7538659449201077e-06,3.322614627876419e-07
1821,1.4555556617779075e-06,3.1063689220900415e-07
1822,1.5078526303113904e-06,3.739554585990845e-07
1823,1.3074794651402044e-06,2.6782082862553125e-07
1824,1.4383260804606834e-06,3.107390709189417e-07
1825,1.2715059938273043e-06,2.7825200277220574e-07
1826,1.3247208698885515e-06,2.5807393455590244e-07
1827,1.1917934443772538e-06,2.4517946872748553e-07
1828,1.1740545460270368e-06,2.5040381501639786e-07
1829,1.2739739077005652e-06,3.4035509921537255e-07
1830,1.346351837128168e-06,2.83881947060749e-07
1831,1.2020819895042223e-06,3.554794929527816e-07
1832,1.263699118680961e-06,3.4230823153791334e-07
1833,1.2151226655987557e-06,3.069661538290802e-07
1834,1.1266778301433078e-06,2.996384569353694e-07
1835,1.2872375236838707e-06,2.8739734148075513e-07
1836,1.3024813370066113e-06,2.8832018950097904e-07
1837,1.2503329571700306e-06,2.2821882650347902e-07
1838,1.2580138673001784e-06,3.0172133680395063e-07
1839,1.189949102808896e-06,3.160146908598449e-07
1840,1.059279270521074e-06,3.6944193193555463e-07
1841,1.1813809805971687e-06,2.6966303501296807e-07
1842,1.247066506948613e-06,2.6765977167997335e-07
1843,1.2304095662329928e-06,3.00071082648401e-07
1844,1.1509513342389255e-06,2.7497693189104666e-07
1845,1.105443175219989e-06,2.996582498804301e-07
1846,1.2130526556575205e-06,2.7750336872855996e-07
1847,9.200839485856704e-07,3.44087681014571e-07
1848,1.1335716862959089e-06,3.974339567447416e-07
1849,9.560912985762116e-07,2.849000964033621e-07
1850,1.1120375802420313e-06,2.525506390682608e-07
1851,1.0744764722403488e-06,2.4249889651883905e-07
1852,1.130230657508946e-06,2.3112435743044557e-07
1853,1.2069274362147553e-06,2.878471245804093e-07
1854,1.2085115486115683e-06,2.509505810377455e-07
1855,1.0534270131756784e-06,2.2660621112891022e-07
1856,1.069607264980732e-06,2.3193808063037835e-07
1857,1.125676021729305e-06,3.3096631879558913e-07
1858,1.0359912039348274e-06,2.559392608958433e-07
1859,1.006722641250235e-06,2.9483683139375216e-07
1860,1.1113402251794469e-06,3.1124850474739674e-07
1861,1.062035039467446e-06,3.0370805825796765e-07
1862,1.0653411663952284e-06,2.6520579871069927e-07
1863,1.106807985706837e-06,2.542261887672481e-07
1864,1.0505249292691587e-06,2.5603846287580723e-07
1865,1.0246800457025529e-06,2.6781943596176916e-07
1866,1.0057221970782848e-06,3.0847985366122543e-07
1867,9.59886165219359e-07,2.3633191759131478e-07
1868,8.629959893369232e-07,2.2624623663425325e-07
1869,1.0387245765741682e-06,2.681051904929177e-07
1870,1.0011649465013761e-06,2.3566940265951075e-07
1871,1.096105506803724e-06,2.719021334751659e-07
1872,1.075821614904271e-06,2.7575866712314934e-07
1873,9.541690815240145e-07,1.7479133607167796e-07
1874,8.75877674388903e-07,2.2345038575011245e-07
1875,1.0327356676498312e-06,2.3000539783879503e-07
1876,9.619209322409006e-07,2.4486359162523286e-07
1877,9.747269587023766e-07,1.8059662598712833e-07
1878,8.762717698118649e-07,2.3673227556031406e-07
1879,8.956270676208078e-07,2.999678608839318e-07
1880,8.721852964299615e-07,1.995950236199917e-07
1881,9.796373205972486e-07,2.621662895663235e-07
1882,8.911560485103109e-07,2.6022557131355484e-07
1883,9.447411457585986e-07,2.571971089437852e-07
1884,8.681231520313304e-07,2.6208737047284103e-07
1885,8.534021844752715e-07,2.017483908822726e-07
1886,8.944500677898759e-07,2.0651084042810908e-07
1887,8.872808621163131e-07,1.6844624894929439e-07
1888,7.92576827279845e-07,2.1050840670611137e-07
1889,8.13841268154647e-07,2.1552069967567533e-07
1890,8.776323738857172e-07,2.0711861958844224e-07
1891,7.955026717354485e-07,2.1289894425180478e-07
1892,8.349658742190513e-07,2.3381551561563185e-07
1893,7.08217896772112e-07,2.389465694196957e-07
1894,9.036407391249668e-07,2.0353971708075846e-07
1895,8.257538866018876e-07,2.202812936502596e-07
