year,faut_VERB armer_VERB,faut_VERB charmer_VERB
1800,3.772997558826319e-08,0.0
1801,9.524730337773235e-09,0.0
1802,2.0140561218795483e-08,0.0
1803,5.265916058760922e-08,1.1702034896643454e-08
1804,2.7190360185613827e-08,7.4155526164076946e-09
1805,5.970043304159844e-08,2.2743021688143017e-08
1806,1.729001475325731e-08,0.0
1807,1.1387820464392462e-08,0.0
1808,4.305540457494317e-08,0.0
1809,2.25903047379461e-08,0.0
1810,2.3401267590372754e-09,2.3401266702194334e-08
1811,1.7549536934780008e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,2.8757416004054903e-08,1.4378708002027452e-08
1814,0.0,6.293354282149721e-09
1815,8.091670444798638e-09,0.0
1816,4.4034472068688046e-08,4.6352077731626196e-09
1817,5.7604317760251433e-08,6.227493631882908e-09
1818,4.2916237674717195e-08,1.5497530370112145e-08
1819,3.3123360054787554e-08,0.0
1820,4.9839222526770754e-08,5.933240565525466e-09
1821,3.4515210245444905e-08,2.9584463767662328e-09
1822,7.719724237631453e-08,4.010246357211145e-09
1823,2.668325471688604e-08,9.882686891060644e-10
1824,7.831634718513669e-08,1.431589158329416e-08
1825,3.3460683113162304e-08,1.1447076175841175e-08
1826,4.4039921931471326e-08,1.2331177856594877e-08
1827,1.8434546333878643e-08,8.295545583791863e-09
1828,4.035812395386529e-08,9.172301251858528e-10
1829,3.0006116702452346e-08,2.571952872898464e-09
1830,1.982998831806526e-08,1.0436835840010872e-09
1831,2.182768810143898e-08,3.1182412207897414e-09
1832,2.3000948701223933e-08,1.3529969367098715e-09
1833,1.853380560135065e-08,0.0
1834,5.2273371409228275e-08,9.334530925997342e-10
1835,1.8151411040889798e-08,1.5126175867408165e-09
1836,2.4866775305554256e-08,0.0
1837,3.6876823372722356e-08,5.5663127440652715e-09
1838,2.019891809368346e-08,4.418513555037862e-09
1839,4.1249702320556025e-08,1.3982950353153e-09
1840,2.93005673057678e-08,1.9109065441114126e-09
1841,3.338685417020315e-08,1.2841097074556274e-09
1842,2.3478927246856074e-08,3.3541325272778977e-09
1843,2.539971788451112e-08,5.906911071384968e-10
1844,7.629100196027139e-08,0.0
1845,3.1807299905040054e-08,5.580227946389016e-10
1846,2.1076203893244383e-08,8.781752214304106e-09
1847,2.6426796750911308e-08,1.6179670936367074e-09
1848,2.976732105253177e-08,0.0
1849,7.206296714912241e-08,0.0
1850,3.4623880651452055e-08,6.788996032014438e-10
1851,2.902247508984601e-08,5.8044946626978344e-09
1852,2.148479971708639e-08,2.6042181744401205e-09
1853,1.1943863675867306e-08,5.971931837933653e-10
1854,3.740878540270387e-08,2.0782657816909023e-09
1855,4.776243400783642e-09,4.2455496895854594e-09
1856,3.31340110903966e-08,3.1063134287023786e-09
1857,2.001418764052687e-08,1.4644527812635033e-09
1858,2.3489644007668176e-08,9.787352039936081e-10
1859,1.0693564256314403e-08,2.5460866748261424e-09
1860,2.654766717569146e-08,3.661747127736703e-09
1861,1.650587222457034e-08,4.715963619617014e-09
1862,1.2198563048571032e-08,3.6143890103090826e-09
1863,3.5461809488879226e-08,3.496234635136375e-09
1864,3.787835112234461e-08,1.4384183844029508e-09
1865,3.718406915709238e-08,3.765475486972036e-09
1866,3.405929049904444e-08,4.865612912574591e-10
1867,3.299911810472622e-08,2.91168689159349e-09
1868,2.5193358510477992e-08,0.0
1869,1.8557372527538973e-08,1.4650557433881772e-09
1870,2.981705193860762e-08,1.0321287824410774e-08
1871,2.7615060460561835e-08,1.0621177271019633e-09
1872,3.749350341308855e-08,7.861540751719076e-09
1873,3.71132280463371e-08,2.9930022904522957e-09
1874,2.6885741633009275e-08,1.7923826867161097e-09
1875,3.833423178889461e-08,4.577221712764867e-09
1876,2.2974855795609983e-08,0.0
1877,3.401648740464225e-08,3.710889595609501e-09
1878,1.9325083755461492e-08,4.831270938865373e-09
1879,3.421222061206208e-08,6.109325489944695e-09
1880,3.2089232604448625e-08,8.343199908722454e-09
1881,3.416528571165145e-08,1.3945015142624584e-09
1882,1.3976308999019693e-08,5.324308105514319e-09
1883,2.0221884611260066e-08,6.319338941018771e-10
1884,1.4523733327109767e-08,1.9805090900604227e-09
1885,1.8047780159236027e-08,6.445635691854079e-10
1886,1.355227396970804e-08,4.5174246565693466e-09
1887,2.415702127223085e-08,6.528924623161458e-10
1888,2.2192152115962926e-08,0.0
1889,2.1301465480405568e-08,0.0
1890,1.3108772733971819e-08,3.2771931834929546e-09
1891,2.103492668936724e-08,2.5496880162734215e-09
1892,2.7581453565517222e-08,0.0
1893,6.774258043407144e-09,1.2316833108982905e-09
1894,2.520615716150587e-08,1.2603078580752936e-09
