year,tout_DET art_NOUN,tout_DET char_NOUN
1800,3.7729974611266925e-07,0.0
1801,1.5239568051939045e-07,2.3811825844433088e-09
1802,1.9245425164626795e-07,0.0
1803,1.384740837551135e-07,3.900678446910888e-09
1804,1.359517991517123e-07,2.4718509461507665e-09
1805,1.1087223206196484e-07,0.0
1806,2.420602083219592e-07,2.881669125542885e-09
1807,1.93592946118315e-07,2.8469551160981155e-09
1808,3.104521333341381e-07,6.798221985349073e-09
1809,1.3102376783535874e-07,4.518061036407062e-09
1810,1.3338723059419522e-07,4.680253518074551e-09
1811,1.3538214815866922e-07,0.0
1812,1.3336041604361526e-07,5.3344164641089264e-09
1813,2.473137783454149e-07,5.751483289628823e-09
1814,2.391474680507599e-07,0.0
1815,8.900837911163251e-08,2.697223555614414e-09
1816,1.5991466995046721e-07,4.6352077731626196e-09
1817,1.8371106236259038e-07,4.670620334934483e-09
1818,1.728570637737903e-07,2.384235475716423e-09
1819,2.5256562175002273e-07,1.7596784473994376e-08
1820,1.5426425292730528e-07,8.306536791735653e-09
1821,2.7414937164849107e-07,9.86148829262845e-10
1822,1.223125138949399e-07,3.0076847679083585e-09
1823,2.2631352880608802e-07,9.882686891060644e-10
1824,1.397904734190547e-07,0.0
1825,1.4088708866211164e-07,4.402721520690989e-09
1826,1.197885833859047e-07,5.284790383086602e-09
1827,1.474763683395608e-07,3.6869091668556564e-09
1828,1.2382606701111243e-07,3.668920500743411e-09
1829,2.6576845479908684e-07,8.57317605795771e-10
1830,1.3776623575267877e-07,9.39315203396518e-09
1831,1.6214854170470971e-07,3.1182412207897414e-09
1832,2.88188350960894e-07,1.0823975493678972e-08
1833,1.6912097555721317e-07,0.0
1834,2.2869600968533632e-07,4.667265462998671e-09
1835,1.3613558280667348e-07,0.0
1836,1.6533045010813652e-07,7.392825018825988e-09
1837,2.3448092889566396e-07,2.5048407792382932e-08
1838,1.6285377046898475e-07,3.1560809521380406e-09
1839,1.195542226328783e-07,1.4682097426721441e-08
1840,1.6561190568920026e-07,3.1848443882154243e-09
1841,1.4959878269493743e-07,4.494383976094696e-09
1842,1.1471133554152857e-07,2.0124795163667386e-09
1843,2.0142567258574218e-07,1.7720733214154905e-09
1844,1.3501860607334493e-07,1.097712254427563e-09
1845,1.9363391584592549e-07,4.464182357111213e-09
1846,1.3465353276842507e-07,3.5127007969038004e-09
1847,1.655719641391329e-07,0.0
1848,1.7940844232455788e-07,0.0
1849,2.161889085527946e-07,7.541473445726865e-09
1850,1.7040379773902714e-07,2.7155984128057753e-09
1851,1.1931461818548428e-07,1.9348316282474798e-09
1852,1.9141004048428556e-07,2.6042181744401205e-09
1853,1.3197969361833373e-07,3.5831591027601917e-09
1854,1.6885909026598256e-07,7.79349695889664e-09
1855,2.1758441803854112e-07,1.5920811335945473e-09
1856,2.0812301104733422e-07,2.5885946719483854e-09
1857,1.6450685369484574e-07,4.393358121745905e-09
1858,1.722573967355423e-07,1.468102750479261e-09
1859,1.935025908395005e-07,8.14747713739905e-09
1860,2.1146589301856977e-07,2.2885919548354394e-09
1861,2.2778104968868007e-07,4.244367413086536e-09
1862,1.9833960079873592e-07,1.355395878865906e-09
1863,2.4223910299880913e-07,9.489779628779615e-09
1864,2.138448671473725e-07,2.397363974004918e-09
1865,2.2075099570528778e-07,2.353422234868674e-09
1866,2.19925699429524e-07,1.4596839292835284e-09
1867,1.6111333600576927e-07,9.7056229719783e-09
1868,2.6675320974334227e-07,9.87974813071446e-10
1869,2.3245551505901574e-07,4.883519144627257e-10
1870,1.6628742249835682e-07,1.1468097582678638e-09
1871,9.559059721553353e-08,0.0
1872,1.5723082169571967e-07,0.0
1873,2.1609476563710928e-07,4.788803575905831e-09
1874,1.4398807568483107e-07,1.1949218281515073e-09
1875,2.5861302377361284e-07,4.577221712764867e-09
1876,2.769074645136982e-07,6.04601479992084e-10
1877,1.74411812992048e-07,1.8554447978047506e-09
1878,1.968742926461431e-07,7.850815331167382e-09
1879,1.6739550590116892e-07,1.588424591858484e-08
1880,1.9253539162988886e-07,4.492492378105339e-09
1881,1.833769476267122e-07,4.8807553554297556e-09
1882,1.916750924646493e-07,1.9966155395678697e-09
1883,1.5735154568208287e-07,1.0110942527674638e-08
1884,1.8616785979475026e-07,1.3203393933736152e-09
1885,1.4502680412142865e-07,2.578254332252783e-09
1886,1.652086745185244e-07,2.5813854942491332e-09
1887,1.9978509790963273e-07,7.834709381260296e-09
1888,1.610516111583138e-07,2.53624587998047e-09
1889,2.38701707289124e-07,4.38559560889118e-09
1890,1.6451509576853596e-07,0.0
1891,2.071621465482565e-07,3.1871101313640793e-09
1892,2.394571678721036e-07,2.5074049503359674e-09
1893,2.235505172087926e-07,2.463366621796581e-09
1894,2.066904827291438e-07,5.041231654345779e-09
1895,3.1657912824556433e-07,6.0186142736284864e-09
1896,2.187797802921665e-07,2.9485144326102386e-09
1897,2.0568298997325485e-07,2.330685422435863e-09
1898,2.6650852413823145e-07,5.6583546736987955e-09
1899,2.106007368496421e-07,4.4220627160029835e-09
1900,2.647437084002391e-07,8.305685250675765e-09
1901,2.3416815869703456e-07,0.0
1902,2.1801660887721397e-07,4.910283846193408e-09
1903,2.0250826526790888e-07,3.7801541896698154e-09
1904,2.3594603959509186e-07,2.1498500757388683e-09
1905,2.286216234104188e-07,3.6125313851442797e-09
1906,2.6904085403955946e-07,4.115347618238729e-09
1907,2.79770673738966e-07,2.5714216866923323e-09
1908,2.7307323957614926e-07,1.4734167219643268e-09
1909,2.948527212387475e-07,1.6502950117569526e-09
