year,aient_VERB assez_ADV,aient_VERB chassé_VERB
1800,2.6096566330124915e-07,0.0
1801,1.9049460320275102e-07,2.3811825844433088e-09
1802,1.9469209178168967e-07,8.951360541686881e-09
1803,1.794312112224361e-07,7.801356893821776e-09
1804,1.97748079244775e-07,7.4155526164076946e-09
1805,2.1321582721611776e-07,0.0
1806,1.873084869430386e-07,2.881669125542885e-09
1807,7.971474502710407e-08,2.8469551160981155e-09
1808,2.741949458595627e-07,1.3596443970698147e-08
1809,2.41716264781644e-07,4.518061036407062e-09
1810,1.427477371862551e-07,4.680253518074551e-09
1811,1.42903374467096e-07,6.267691787797958e-08
1812,1.7870294755084615e-07,0.0
1813,1.4378707646756084e-07,0.0
1814,2.643208745212178e-07,1.2586708564299443e-08
1815,1.8880564311984926e-07,0.0
1816,2.3176039576355834e-07,1.1588019432906549e-08
1817,1.6502858102285245e-07,5.4490570278176165e-08
1818,2.443841253807477e-07,2.384235386898581e-08
1819,1.738976465048836e-07,1.2421260464634543e-08
1820,1.874904000942479e-07,2.254631326081835e-08
1821,1.6370070454740926e-07,2.3667571014129862e-08
1822,2.406147814326687e-07,1.9048670196752937e-08
1823,1.5416991061556473e-07,8.894418535021487e-09
1824,1.7263280938095704e-07,3.3684450784221553e-09
1825,1.576174355477633e-07,1.7610886082763955e-09
1826,1.9113325322450692e-07,1.7615968683770689e-09
1827,2.037017310385636e-07,1.1982455028203276e-08
1828,1.770254129951354e-07,1.0089530988466322e-08
1829,1.2345373079369892e-07,2.8291481157793896e-08
1830,1.8368831433690502e-07,9.39315203396518e-09
1831,1.4811645598911127e-07,2.0268567268999504e-08
1832,1.2582871988797706e-07,3.3824925083081325e-08
1833,1.7259606011066353e-07,6.950177322551099e-09
1834,1.736222685622124e-07,3.733812370398937e-09
1835,1.4218605315363675e-07,1.739510224751939e-08
1836,1.7406742358616611e-07,1.68018754465038e-08
1837,1.544651837548372e-07,4.174734336004349e-09
1838,1.5149188925533963e-07,6.312161904276081e-09
1839,1.3563462175625318e-07,6.292327547896548e-09
1840,1.0127804728199408e-07,6.3696887764308485e-09
1841,1.4767262257464608e-07,8.346713542550788e-09
1842,1.4825265282070177e-07,7.379091560011375e-09
1843,1.0159887153804448e-07,9.451057714215949e-09
1844,1.7179196731831325e-07,9.879410178825765e-09
1845,1.2499710067004344e-07,1.674068439427856e-09
1846,1.2235908286584163e-07,1.3465353276842507e-08
1847,1.310553301436812e-07,1.4561703842730367e-08
1848,1.504456434986423e-07,4.82713291560799e-09
1849,9.971503800443315e-08,1.9272654583346593e-08
1850,9.572484316322516e-08,1.9009188889640427e-08
1851,9.996630012665264e-08,1.096404567135778e-08
1852,1.1133032984389502e-07,3.2552727180501506e-09
1853,1.1227231766497425e-07,1.7318601663873778e-08
1854,1.288524771325683e-07,8.313063126763609e-09
1855,1.2524371584277105e-07,9.552486801567284e-09
1856,1.113095677851561e-07,2.0708757375587084e-08
1857,8.298565745690212e-08,1.4644527812635033e-09
1858,1.0912897607795458e-07,1.1255455234504552e-08
1859,9.420520541425503e-08,1.7313389832906978e-08
1860,8.010071894659632e-08,1.2358396972445007e-08
1861,8.583054267319312e-08,7.073945429425521e-09
1862,1.0391368476803109e-07,1.0391368654438793e-08
