year,ont_VERB eu_VERB,ont_VERB chu_VERB
1800,2.362210761930328e-05,0.0
1801,2.500003574823495e-05,0.0
1802,2.6243151296512224e-05,2.2378401354217203e-09
1803,2.211489663750399e-05,0.0
1804,2.432795736240223e-05,0.0
1805,2.517652501410339e-05,0.0
1806,2.4070583094726317e-05,0.0
1807,2.3202685042633675e-05,0.0
1808,2.398865944996942e-05,0.0
1809,2.3173135559773073e-05,0.0
1810,2.3927796064526774e-05,0.0
1811,2.2247799279284663e-05,0.0
1812,2.2961996364756487e-05,0.0
1813,2.6123236239072867e-05,0.0
1814,2.9440310754580423e-05,0.0
1815,2.6891319066635333e-05,0.0
1816,2.431166467431467e-05,0.0
1817,2.4855484298313968e-05,0.0
1818,2.360750841035042e-05,0.0
1819,2.4495759134879336e-05,0.0
1820,2.6039806471089832e-05,1.1866481131050932e-09
1821,2.464583121764008e-05,0.0
1822,2.455774665577337e-05,0.0
1823,2.2165879272506572e-05,0.0
1824,2.2020367396180518e-05,0.0
1825,2.2145688490127213e-05,0.0
1826,2.1635052689816803e-05,0.0
1827,2.305147791048512e-05,9.217273055917019e-10
1828,2.3053662516758777e-05,0.0
1829,2.5049963369383477e-05,8.57317605795771e-10
1830,2.4454549929942004e-05,0.0
1831,2.6826228349818848e-05,0.0
1832,2.500744267308619e-05,0.0
1833,2.2680744223180227e-05,0.0
1834,2.353701893298421e-05,0.0
1835,2.190799750678707e-05,0.0
1836,2.2298105250229128e-05,0.0
1837,2.35128009080654e-05,0.0
1838,2.2556510884896852e-05,0.0
1839,2.3313772544497624e-05,0.0
1840,2.3734097339911386e-05,0.0
1841,2.4334520276170224e-05,0.0
1842,2.3593638616148382e-05,0.0
1843,2.5166984414681792e-05,1.1813822142769936e-09
1844,2.2509688278660178e-05,0.0
1845,2.272268829983659e-05,0.0
1846,2.4550265152356587e-05,0.0
1847,2.4737099010962993e-05,0.0
1848,2.691046211111825e-05,8.045221711050488e-10
1849,2.5341863874928094e-05,0.0
1850,2.4255725293187425e-05,6.788996032014438e-10
1851,2.3928063455969095e-05,0.0
1852,2.4230948838521726e-05,1.3021090872200602e-09
1853,2.3973125280463137e-05,0.0
1854,2.37540589296259e-05,5.195664454227256e-10
1855,2.324916022189427e-05,0.0
1856,2.3106831577024423e-05,0.0
1857,2.378808130742982e-05,0.0
1858,2.3395687094307505e-05,0.0
1859,2.339140701224096e-05,0.0
1860,2.387092899880372e-05,0.0
1861,2.4751263481448404e-05,9.431927461278633e-10
1862,2.408448199275881e-05,0.0
1863,2.392023816355504e-05,0.0
1864,2.405275336059276e-05,2.3973640850272204e-09
1865,2.3730968678137287e-05,0.0
1866,2.38439351960551e-05,0.0
1867,2.3942800908116624e-05,2.426405742994575e-09
1868,2.420735836494714e-05,0.0
1869,2.36699288507225e-05,2.441759683335931e-09
1870,2.2608781364397146e-05,1.1468097582678638e-09
1871,2.624705302878283e-05,1.0621177271019633e-09
1872,2.4807999579934403e-05,0.0
1873,2.361658334848471e-05,7.781805422268917e-09
1874,2.3846458134357817e-05,0.0
1875,2.4467539333272725e-05,0.0
1876,2.4525053959223442e-05,0.0
1877,2.3651355149922892e-05,0.0
1878,2.4172055418603122e-05,0.0
1879,2.42271398747107e-05,3.0546627449723474e-09
1880,2.3671584131079726e-05,3.2089231272180996e-09
1881,2.3812508516130038e-05,2.7890030285249168e-09
1882,2.345158100069966e-05,0.0
1883,2.35768220591126e-05,0.0
1884,2.3578621039632708e-05,0.0
1885,2.3991944544832222e-05,0.0
1886,2.3326045266003348e-05,6.453463874400711e-10
1887,2.3665392291150056e-05,6.528924623161458e-10
1888,2.3699316443526186e-05,4.4384300679212174e-09
1889,2.449668500048574e-05,0.0
1890,2.515114647394512e-05,2.6217545912032847e-09
1891,2.484415927028749e-05,6.374220040683554e-10
1892,2.444594429107383e-05,1.2537024751679837e-09
1893,2.4098499125102535e-05,1.2316833108982905e-09
1894,2.4139306333381683e-05,0.0
1895,2.4207469323300757e-05,2.4074457982692365e-09
1896,2.4017419491428882e-05,4.717623180994224e-09
1897,2.463767486915458e-05,2.330685422435863e-09
1898,2.407403735560365e-05,1.13167097914868e-09
1899,2.37591902987333e-05,2.7637891975018647e-09
1900,2.379007673880551e-05,4.1528426253378825e-09
1901,2.400083940301556e-05,3.353243460679778e-09
1902,2.0876563212368637e-05,3.437198747846537e-09
1903,2.2968757548369467e-05,1.6200660812870638e-09
1904,2.2548165361513384e-05,1.6123875568041512e-09
1905,2.2629412342212163e-05,8.25721468977747e-09
1906,2.2709516997565515e-05,4.629766015007419e-09
1907,2.2287540559773333e-05,8.228549397415463e-09
1908,2.3174879970611073e-05,4.4202499438483756e-09
1909,2.1558355001616292e-05,0.0
1910,2.2308087864075787e-05,7.481811059584231e-09
1911,2.2075297238188796e-05,5.3203743632934675e-09
1912,2.2017098672222346e-05,7.814131730565776e-09
1913,2.1911422663833946e-05,5.833288574397244e-09
1914,2.2950411221245304e-05,4.018046229070649e-09
1915,2.8244376153452322e-05,7.068456930880984e-09
1916,2.6834679374587722e-05,1.648119329900055e-08
1917,2.660564314282965e-05,8.773139770212879e-09
1918,2.4569359084125608e-05,8.040463406189247e-09
1919,2.4243343432317488e-05,4.603924186330488e-09
1920,2.168005630664993e-05,1.0601124422748853e-08
